"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"dforeigncap","-.2144201",".0535376","-4.005041",".000062","","","",""
"cha0bed","-1.39016",".0598329","-23.23403","0","-.2292112",".1209186","-1.895583",".058028"
"cha1bed","-1.299366",".0488849","-26.58009","0","-.2499819",".1063792","-2.349913",".0187864"
"cha2bed","-1.294862",".0452499","-28.61582","0","-.4506454",".1044286","-4.315345",".000016"
"cha3bed","-1.176239",".0431455","-27.26213","0","-.4856141",".1032715","-4.702306","2.59e-06"
"cha4bed","-.6357731",".0463734","-13.70987","0",".0714603",".101027",".7073389",".4793632"
"chaelec","-.0668813",".0279517","-2.392742",".016723",".2988198",".0526625","5.674239","1.41e-08"
"chaoil","-.1232192",".0352797","-3.492638",".0004783",".3676683",".0555184","6.622463","3.61e-11"
"chagas","-.0984705",".0270764","-3.63677",".0002761",".6906028",".0510893","13.51756","1.79e-41"
"chaplum",".3437648",".1337065","2.571041",".0101393","-.3107284",".1143182","-2.718102",".0065708"
"chaki","-.0798079",".0884238","-.9025618",".3667585",".3220689",".0784612","4.104819",".0000406"
"cha10",".2436037",".0130988","18.59744","0","1.522346",".0358127","42.50855","0"
"cha20",".1435527",".0152448","9.416521","0","-.9145799",".0380991","-24.00528","9.4e-126"
"cha30","-.0014083",".0174485","-.0807114",".9356715","-.174311",".0272645","-6.393336","1.65e-10"
"chadet","-.1213412",".0202337","-5.996986","2.01e-09","-.027042",".037527","-.7206026",".4711615"
"chashaat","-.2619998",".0260508","-10.05727","0",".1210522",".0671362","1.803083",".0713885"
"chasha3unit","-.0831768",".0410708","-2.025206",".0428462",".0300104",".0523045",".5737625",".5661343"
"chasha4unit","-.1733644",".0363","-4.775883","1.79e-06",".080351",".0539714","1.488771",".1365618"
"Ql10bed","-.3333771",".0489517","-6.81033","9.74e-12",".2911374",".0567571","5.129528","2.93e-07"
"Ql11bed","-.3585863",".0361358","-9.923292","0",".2646467",".0508133","5.208222","1.92e-07"
"Ql12bed","-.3309418",".0315552","-10.48772","0",".2051204",".0476547","4.304302",".0000168"
"Ql13bed","-.3941388",".0290011","-13.5905","0",".1844907",".0459047","4.018993",".0000586"
"Ql14bed","-.3940174",".0356687","-11.04658","0",".4640869",".0598865","7.749447","9.62e-15"
"Ql1elec","-.0572194",".0151096","-3.786951",".0001525",".1985438",".0259616","7.647602","2.13e-14"
"Ql1oil","-.0496447",".01641","-3.025267",".0024841",".164476",".0263125","6.250876","4.15e-10"
"Ql1gas","-.0522228",".0136826","-3.816722",".0001352",".233747",".0242595","9.635263","6.26e-22"
"Ql1plum","-.1850329",".1455049","-1.271661",".2034936",".1140152",".1279252",".8912647",".3727967"
"Ql1ki",".0551108",".1269352",".4341647",".6641688",".4311064",".0885476","4.868641","1.13e-06"
"Ql110","-.1719377",".0100829","-17.05238","0","1.980495",".0363335","54.50874","0"
"Ql120","-.0149416",".0158621","-.9419646",".3462108","-.8766842",".0393065","-22.30381","5.2e-109"
"Ql130","-.1146762",".0178647","-6.419148","1.37e-10","-.2338095",".0281827","-8.296204","1.13e-16"
"Ql1det","-.0085145",".0107998","-.7884014",".4304619","-.0202507",".0147784","-1.370286",".1706113"
"Ql1shaat","-.0123674",".0122331","-1.010981",".3120257","-.0033037",".0198345","-.166562",".8677162"
"Ql1sha3unit",".1085552",".0170365","6.371919","1.87e-10","-.0477712",".0161614","-2.955886",".003121"
"Ql1sha4unit","-.0124767",".0200547","-.6221356",".5338527","-.0034371",".0207842","-.165371",".8686535"
"l1sharebach",".1046421",".0127158","8.229316","2.22e-16",".1414582",".0203934","6.936483","4.13e-12"
"l1loinc","-.0050881",".0073527","-.6920105",".4889308","-.0584472",".0086653","-6.744954","1.57e-11"
"l1shanhwhite","-.0020168",".0050031","-.403101",".6868739","-.0973863",".0073754","-13.20423","1.17e-39"
"l1shaless25","-.1159899",".0275086","-4.216488",".0000248","-.2718588",".0403082","-6.744497","1.57e-11"
"l1shamore65","-.0581499",".0222842","-2.609472",".0090682","-.1066749",".0336031","-3.174554",".0015027"
"l1shafakid",".0657308",".0169961","3.867394",".00011","-.0721012",".0280919","-2.566621",".0102759"
"l1shaown","-.069023",".012812","-5.387381","7.15e-08",".0698961",".0222054","3.147711",".0016477"
"l1vacrat",".0374409",".0224717","1.666136",".0956863",".5187069",".0372503","13.92492","6.80e-44"
"l1loden","-.0130406",".0011651","-11.19243","0","-.0252399",".0023448","-10.76432","5.90e-27"
"l1foreigncap","-.0304345",".0126672","-2.402619",".0162781",".0213847",".0208208","1.027083",".3043923"
"pull",".0625442",".2979707",".2099004",".8337454","4.442372",".7947332","5.589765","2.30e-08"
"m1",".0700041",".0261209","2.680006",".0073621","-.1174928",".0623995","-1.882912",".0597252"
"m2","-.198185",".0275871","-7.183976","6.77e-13","-.1165935",".063278","-1.84256",".0654064"
"m3",".1062014",".027621","3.844946",".0001206","-.106968",".0639172","-1.673539",".0942352"
"m4",".1792286",".0269331","6.654585","2.84e-11",".0257468",".0629098",".4092658",".6823485"
"m5",".0701024",".0274898","2.550121",".0107686","-.0707888",".0653299","-1.08356",".2785717"
"m6","-.2142447",".0286477","-7.478595","7.51e-14","-.1015973",".0644742","-1.57578",".1150905"
"m7",".1371538",".0343906","3.988115",".0000666","-.0897214",".0659521","-1.360403",".1737162"
"m8","-.2670594",".0264658","-10.09075","0","-.0352772",".0625944","-.5635843",".5730427"
"m9",".2462297",".027737","8.877291","0",".0187009",".0686044",".2725908",".7851703"
"m10",".4848425",".0294099","16.48569","0",".0756691",".0747101","1.012835",".3111499"
"m11","-.0159993",".0324456","-.4931128",".6219329","-.1106718",".0639818","-1.72974",".0836905"
"m12",".0265327",".0305761",".8677617",".3855248","-.2281168",".0649965","-3.50968",".0004495"
"m13","-.044337",".0320355","-1.383998",".166359","-.1477497",".06401","-2.308227",".0209955"
"m14","-.0477214",".0362276","-1.317267",".1877492",".0068669",".0753312",".0911558",".9273696"
"m15",".1316467",".0264287","4.981212","6.32e-07","-.1251576",".0624119","-2.005348",".0449378"
"m16",".0701006",".0256213","2.736029",".0062186","-.0311981",".06201","-.5031142",".6148889"
"m17",".1881195",".0264108","7.122823","1.06e-12","-.039211",".0625086","-.6272906",".5304751"
"m18","-.0812454",".0259847","-3.126663",".001768","-.010297",".061785","-.1666588",".86764"
"m19","-.2469524",".0300726","-8.211876","2.22e-16",".0186014",".065074",".2858501",".7749955"
"m20",".3827355",".0260667","14.68294","0",".0910448",".0628783","1.447952",".1476443"
"m21",".1063888",".0285172","3.730681",".000191","-.1426476",".0672205","-2.122086",".0338414"
"m22","-.1085481",".0274936","-3.948117",".0000788","-.1488427",".0644523","-2.309347",".0209333"
"m23",".1468367",".0288582","5.088215","3.61e-07","-.0970715",".0637432","-1.522854",".1278093"
"m24",".1842582",".0296842","6.207293","5.39e-10","-.0114919",".0635641","-.1807931",".8565316"
"m25",".16044",".0267134","6.005976","1.90e-09","-.0369915",".0617636","-.5989204",".549232"
"m26","-.0529163",".0271244","-1.950876",".0510718","-.0223513",".0623207","-.3586488",".7198612"
"m27","-.0285704",".0306781","-.9312974",".3516998",".0142295",".063518",".2240231",".8227414"
"m28",".2871108",".0356601","8.051327","8.88e-16",".1074817",".0856343","1.255125",".2094466"
"m29","-.1059863",".0352677","-3.005195",".0026541","-.0071407",".0668101","-.1068809",".9148844"
"m30",".1504141",".0267089","5.631603","1.79e-08",".0023984",".0630609",".0380331",".9696616"
"m31","-.1067521",".0263068","-4.057967",".0000495","-.0242885",".0614626","-.395175",".6927175"
"m32","-.0186195",".0266351","-.6990604",".4845143","-.0587887",".0637744","-.9218222",".3566312"
"m33","-.1088159",".0273182","-3.98327",".000068","-.1155793",".0634754","-1.82085",".0686429"
"m34",".3074541",".0339161","9.065131","0","-.0485027",".0650091","-.7460903",".4556207"
"m35",".0751033",".0267001","2.812847",".0049105","-.1191615",".0615317","-1.936586",".0528085"
"m36","-.1103113",".0262102","-4.20871",".0000257","-.0998904",".0620747","-1.609197",".1075874"
"m37",".0122402",".0258431",".4736356",".6357598","-.0492728",".061646","-.7992852",".4241335"
"m38",".8295669",".0329548","25.17286","0","-.0609905",".063063","-.9671367",".3334861"
"m39","-.4039652",".0295693","-13.66163","0","-.0404145",".0631299","-.6401795",".5220624"
"m40",".097836",".0317968","3.076911",".0020916","-.2214544",".0717288","-3.087384",".0020217"
"m41","-.0037051",".0430572","-.0860516",".9314254","-.1919054",".0746737","-2.569919",".0101786"
"m42",".1291237",".0332061","3.888548",".0001008","-.2695995",".070151","-3.843131",".0001218"
"m43","-.0426034",".0335561","-1.269616",".2042213","-.2417562",".0688697","-3.510341",".0004484"
"m44",".0489923",".0276523","1.771727",".0764398",".0378415",".0659104",".5741356",".5658818"
"m45",".0130622",".0280655",".4654169",".6416329","-.0092514",".0686373","-.1347866",".8927818"
"m46",".6057601",".0256932","23.5767","0","-.0681083",".0622633","-1.093874",".2740218"
"m47","-.3300161",".0259834","-12.70105","0","-.0969332",".0629763","-1.539201",".1237692"
"m48",".0211533",".0307617",".6876511",".4916725","-.3391957",".0649707","-5.220752","1.80e-07"
"m49",".0138837",".0315699",".4397766",".6600989","-.2981655",".0638422","-4.670353","3.02e-06"
"m50",".2502348",".0296254","8.44664","0","-.1118268",".0649357","-1.722116",".0850623"
"m51","-.1593578",".0325371","-4.897731","9.69e-07","-.1957578",".0726492","-2.694564",".0070533"
"m52",".1809545",".0267834","6.756216","1.42e-11","-.1428368",".062626","-2.280792",".0225701"
"m53",".0333894",".0270105","1.236164",".2163977","-.1269496",".0631671","-2.009742",".0444704"
"m54",".6071571",".0266369","22.7938","0","-.1246049",".0631017","-1.974667",".0483181"
"m55","-.2583035",".0264761","-9.756114","0","-.0847994",".0627726","-1.350897",".176742"
"m56",".3958509",".0283379","13.96896","0",".0285952",".0649222",".4404531",".6596132"
"m57","-.2561022",".0280181","-9.140606","0","-.0508805",".0630103","-.8074947",".4193901"
"m58",".3772762",".0380667","9.910931","0","0",".",".","."
"m59",".0984543",".040495","2.431269",".015046",".0759402",".0752877","1.008666",".3131457"
"m60",".8371852",".0265648","31.51482","0","-.0256714",".0624313","-.4111949",".6809336"
"m61","-.1987745",".0263453","-7.544978","4.53e-14",".0181906",".062691",".2901625",".7716946"
"m62","-.26135",".026606","-9.822978","0","-.0482463",".0623578","-.773701",".4391157"
"m63",".5502811",".0264144","20.83262","0","-.0266797",".0619628","-.430577",".6667801"
"m64","-.0488693",".0260072","-1.87907",".0602349","-.0636497",".0623189","-1.021354",".3070978"
"m65",".5753152",".0260163","22.11362","0",".0450266",".0628018",".7169632",".4734043"
"m66","-.2187318",".0261386","-8.36815","0","-.0342449",".0634754","-.5394986",".5895482"
"m67",".2869829",".0268477","10.68928","0","-.0143776",".0632498","-.2273144",".8201814"
