"","est1","","",""
"","b","se","t","p"
"dforeigncap","-.2144201",".0535376","-4.005041",".000062"
"cha0bed","-1.39016",".0598329","-23.23403","0"
"cha1bed","-1.299366",".0488849","-26.58009","0"
"cha2bed","-1.294862",".0452499","-28.61582","0"
"cha3bed","-1.176239",".0431455","-27.26213","0"
"cha4bed","-.6357731",".0463734","-13.70987","0"
"chaelec","-.0668813",".0279517","-2.392742",".016723"
"chaoil","-.1232192",".0352797","-3.492638",".0004783"
"chagas","-.0984705",".0270764","-3.63677",".0002761"
"chaplum",".3437648",".1337065","2.571041",".0101393"
"chaki","-.0798079",".0884238","-.9025618",".3667585"
"cha10",".2436037",".0130988","18.59744","0"
"cha20",".1435527",".0152448","9.416521","0"
"cha30","-.0014083",".0174485","-.0807114",".9356715"
"chadet","-.1213412",".0202337","-5.996986","2.01e-09"
"chashaat","-.2619998",".0260508","-10.05727","0"
"chasha3unit","-.0831768",".0410708","-2.025206",".0428462"
"chasha4unit","-.1733644",".0363","-4.775883","1.79e-06"
"Ql10bed","-.3333771",".0489517","-6.81033","9.74e-12"
"Ql11bed","-.3585863",".0361358","-9.923292","0"
"Ql12bed","-.3309418",".0315552","-10.48772","0"
"Ql13bed","-.3941388",".0290011","-13.5905","0"
"Ql14bed","-.3940174",".0356687","-11.04658","0"
"Ql1elec","-.0572194",".0151096","-3.786951",".0001525"
"Ql1oil","-.0496447",".01641","-3.025267",".0024841"
"Ql1gas","-.0522228",".0136826","-3.816722",".0001352"
"Ql1plum","-.1850329",".1455049","-1.271661",".2034936"
"Ql1ki",".0551108",".1269352",".4341647",".6641688"
"Ql110","-.1719377",".0100829","-17.05238","0"
"Ql120","-.0149416",".0158621","-.9419646",".3462108"
"Ql130","-.1146762",".0178647","-6.419148","1.37e-10"
"Ql1det","-.0085145",".0107998","-.7884014",".4304619"
"Ql1shaat","-.0123674",".0122331","-1.010981",".3120257"
"Ql1sha3unit",".1085552",".0170365","6.371919","1.87e-10"
"Ql1sha4unit","-.0124767",".0200547","-.6221356",".5338527"
"l1sharebach",".1046421",".0127158","8.229316","2.22e-16"
"l1loinc","-.0050881",".0073527","-.6920105",".4889308"
"l1shanhwhite","-.0020168",".0050031","-.403101",".6868739"
