"","reg1_case_P1","","","","reg4_case_P1","","","","reg5_case_P1","","","","reg1_case_P2","","","","reg4_case_P2","","","","reg5_case_P2","","","","reg1_case_P4","","","","reg4_case_P4","","","","reg5_case_P4","","","","reg1_case_P5","","","","reg4_case_P5","","","","reg5_case_P5","","","","reg1_death_P1","","","","reg4_death_P1","","","","reg5_death_P1","","","","reg1_death_P2","","","","reg4_death_P2","","","","reg5_death_P2","","","","reg1_death_P4","","","","reg4_death_P4","","","","reg5_death_P4","","","","reg1_death_P5","","","","reg4_death_P5","","","","reg5_death_P5","","","","reg1_case1_P1","","","","reg4_case1_P1","","","","reg5_case1_P1","","","","reg1_case1_P2","","","","reg4_case1_P2","","","","reg5_case1_P2","","","","reg1_case1_P4","","","","reg4_case1_P4","","","","reg5_case1_P4","","","","reg1_case1_P5","","","","reg4_case1_P5","","","","reg5_case1_P5","","","","reg1_death1_P1","","","","reg4_death1_P1","","","","reg5_death1_P1","","","","reg1_death1_P2","","","","reg4_death1_P2","","","","reg5_death1_P2","","","","reg1_death1_P4","","","","reg4_death1_P4","","","","reg5_death1_P4","","","","reg1_death1_P5","","","","reg4_death1_P5","","","","reg5_death1_P5","","","","reg1_case_P3","","","","reg4_case_P3","","","","reg5_case_P3","","","","reg1_death_P3","","","","reg4_death_P3","","","","reg5_death_P3","","","","reg1_case1_P3","","","","reg4_case1_P3","","","","reg5_case1_P3","","","","reg1_death1_P3","","","","reg4_death1_P3","","","","reg5_death1_P3","","","","reg1_case_1_medianw_P1","","","","reg5_case_1_medianw_P1","","","","reg1_case_1_medianw_P2","","","","reg5_case_1_medianw_P2","","","","reg1_case_1_medianw_P4","","","","reg5_case_1_medianw_P4","","","","reg1_case_1_medianw_P5","","","","reg5_case_1_medianw_P5","","","","reg1_death_1_medianw_P1","","","","reg5_death_1_medianw_P1","","","","reg1_death_1_medianw_P2","","","","reg5_death_1_medianw_P2","","","","reg1_death_1_medianw_P4","","","","reg5_death_1_medianw_P4","","","","reg1_death_1_medianw_P5","","","","reg5_death_1_medianw_P5","","","","reg1_case1_1_medianw_P1","","","","reg5_case1_1_medianw_P1","","","","reg1_case1_1_medianw_P2","","","","reg5_case1_1_medianw_P2","","","","reg1_case1_1_medianw_P4","","","","reg5_case1_1_medianw_P4","","","","reg1_case1_1_medianw_P5","","","","reg5_case1_1_medianw_P5","","","","reg1_death1_1_medianw_P1","","","","reg5_death1_1_medianw_P1","","","","reg1_death1_1_medianw_P2","","","","reg5_death1_1_medianw_P2","","","","reg1_death1_1_medianw_P4","","","","reg5_death1_1_medianw_P4","","","","reg1_death1_1_medianw_P5","","","","reg5_death1_1_medianw_P5","","","","reg1_case_2_medianw_P1","","","","reg5_case_2_medianw_P1","","","","reg1_case_2_medianw_P2","","","","reg5_case_2_medianw_P2","","","","reg1_case_2_medianw_P4","","","","reg5_case_2_medianw_P4","","","","reg1_case_2_medianw_P5","","","","reg5_case_2_medianw_P5","","","","reg1_death_2_medianw_P1","","","","reg5_death_2_medianw_P1","","","","reg1_death_2_medianw_P2","","","","reg5_death_2_medianw_P2","","","","reg1_death_2_medianw_P4","","","","reg5_death_2_medianw_P4","","","","reg1_death_2_medianw_P5","","","","reg5_death_2_medianw_P5","","","","reg1_case1_2_medianw_P1","","","","reg5_case1_2_medianw_P1","","","","reg1_case1_2_medianw_P2","","","","reg5_case1_2_medianw_P2","","","","reg1_case1_2_medianw_P4","","","","reg5_case1_2_medianw_P4","","","","reg1_case1_2_medianw_P5","","","","reg5_case1_2_medianw_P5","","","","reg1_death1_2_medianw_P1","","","","reg5_death1_2_medianw_P1","","","","reg1_death1_2_medianw_P2","","","","reg5_death1_2_medianw_P2","","","","reg1_death1_2_medianw_P4","","","","reg5_death1_2_medianw_P4","","","","reg1_death1_2_medianw_P5","","","","reg5_death1_2_medianw_P5","","","","reg1_case_1_median_bw_P1","","","","reg5_case_1_median_bw_P1","","","","reg1_case_1_median_bw_P2","","","","reg5_case_1_median_bw_P2","","","","reg1_case_1_median_bw_P4","","","","reg5_case_1_median_bw_P4","","","","reg1_case_1_median_bw_P5","","","","reg5_case_1_median_bw_P5","","","","reg1_death_1_median_bw_P1","","","","reg5_death_1_median_bw_P1","","","","reg1_death_1_median_bw_P2","","","","reg5_death_1_median_bw_P2","","","","reg1_death_1_median_bw_P4","","","","reg5_death_1_median_bw_P4","","","","reg1_death_1_median_bw_P5","","","","reg5_death_1_median_bw_P5","","","","reg1_case1_1_median_bw_P1","","","","reg5_case1_1_median_bw_P1","","","","reg1_case1_1_median_bw_P2","","","","reg5_case1_1_median_bw_P2","","","","reg1_case1_1_median_bw_P4","","","","reg5_case1_1_median_bw_P4","","","","reg1_case1_1_median_bw_P5","","","","reg5_case1_1_median_bw_P5","","","","reg1_death1_1_median_bw_P1","","","","reg5_death1_1_median_bw_P1","","","","reg1_death1_1_median_bw_P2","","","","reg5_death1_1_median_bw_P2","","","","reg1_death1_1_median_bw_P4","","","","reg5_death1_1_median_bw_P4","","","","reg1_death1_1_median_bw_P5","","","","reg5_death1_1_median_bw_P5","","","","reg1_case_2_median_bw_P1","","","","reg5_case_2_median_bw_P1","","","","reg1_case_2_median_bw_P2","","","","reg5_case_2_median_bw_P2","","","","reg1_case_2_median_bw_P4","","","","reg5_case_2_median_bw_P4","","","","reg1_case_2_median_bw_P5","","","","reg5_case_2_median_bw_P5","","","","reg1_death_2_median_bw_P1","","","","reg5_death_2_median_bw_P1","","","","reg1_death_2_median_bw_P2","","","","reg5_death_2_median_bw_P2","","","","reg1_death_2_median_bw_P4","","","","reg5_death_2_median_bw_P4","","","","reg1_death_2_median_bw_P5","","","","reg5_death_2_median_bw_P5","","","","reg1_case1_2_median_bw_P1","","","","reg5_case1_2_median_bw_P1","","","","reg1_case1_2_median_bw_P2","","","","reg5_case1_2_median_bw_P2","","","","reg1_case1_2_median_bw_P4","","","","reg5_case1_2_median_bw_P4","","","","reg1_case1_2_median_bw_P5","","","","reg5_case1_2_median_bw_P5","","","","reg1_death1_2_median_bw_P1","","","","reg5_death1_2_median_bw_P1","","","","reg1_death1_2_median_bw_P2","","","","reg5_death1_2_median_bw_P2","","","","reg1_death1_2_median_bw_P4","","","","reg5_death1_2_median_bw_P4","","","","reg1_death1_2_median_bw_P5","","","","reg5_death1_2_median_bw_P5","","","","reg1_case_1_medianw_P3","","","","reg5_case_1_medianw_P3","","","","reg1_death_1_medianw_P3","","","","reg5_death_1_medianw_P3","","","","reg1_case1_1_medianw_P3","","","","reg5_case1_1_medianw_P3","","","","reg1_death1_1_medianw_P3","","","","reg5_death1_1_medianw_P3","","","","reg1_case_2_medianw_P3","","","","reg5_case_2_medianw_P3","","","","reg1_death_2_medianw_P3","","","","reg5_death_2_medianw_P3","","","","reg1_case1_2_medianw_P3","","","","reg5_case1_2_medianw_P3","","","","reg1_death1_2_medianw_P3","","","","reg5_death1_2_medianw_P3","","","","reg1_case_1_median_bw_P3","","","","reg5_case_1_median_bw_P3","","","","reg1_death_1_median_bw_P3","","","","reg5_death_1_median_bw_P3","","","","reg1_case1_1_median_bw_P3","","","","reg5_case1_1_median_bw_P3","","","","reg1_death1_1_median_bw_P3","","","","reg5_death1_1_median_bw_P3","","","","reg1_case_2_median_bw_P3","","","","reg5_case_2_median_bw_P3","","","","reg1_death_2_median_bw_P3","","","","reg5_death_2_median_bw_P3","","","","reg1_case1_2_median_bw_P3","","","","reg5_case1_2_median_bw_P3","","","","reg1_death1_2_median_bw_P3","","","","reg5_death1_2_median_bw_P3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"0.P1","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.P1","140.0803","14.64495","9.56509","7.02e-13","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.687445",".9468307","6.006824","2.14e-07","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284.9463","82.98241","3.433815",".0012046","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.76847","5.742093","2.746118",".0083594","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.3591","14.69664","7.849347","3.72e-10","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","4.242225",".7980758","5.315567","2.73e-06","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","73.72243","10.07012","7.32091","2.37e-09","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","2.773952",".3949991","7.022679","6.79e-09","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","189.9382","21.3917","8.879062","7.50e-12","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","8.347345","1.467851","5.686778","6.69e-07","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","574.6997","177.4425","3.238795",".0021354","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","33.15895","12.42757","2.668176",".0102533","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","182.8393","20.3926","8.965965","1.73e-11","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","6.913582","1.346158","5.135788","6.15e-06","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","167.6509","30.36","5.5221","1.69e-06","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","6.952546","1.619378","4.293344",".0000953","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","182.2371","23.29221","7.823948","3.55e-10","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","8.326594","1.527599","5.450771","1.62e-06","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","702.1344","217.4596","3.228804",".0022206","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","41.41731","15.6725","2.642674",".0110128","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHI","262.4505","58.16169","4.512428",".0000391","1.277976","81.79225",".0156247",".9875973","0",".",".",".","201.8186","60.54403","3.333419",".0017473","39.26683","83.12428",".472387",".6390393","0",".",".",".","9.08026","57.32629",".1583961",".8762575","126.8457","62.83504","2.01871",".0630956","0",".",".",".","430.0984","119.0363","3.613169",".0056314","-90.64067","113.718","-.7970655",".4459303","0",".",".",".","11.59988","3.489841","3.323898",".0016668","-3.343468","4.121857","-.8111558",".4211989","0",".",".",".","9.381019","3.319323","2.826185",".007059",".2881086","4.377184",".0658205",".9478258","0",".",".",".",".984664","2.362812",".4167339",".6827754","6.048925","3.82916","1.5797",".1364979","0",".",".",".","22.70486","6.400678","3.547259",".0062427","-6.332862","7.801737","-.8117246",".4378905","0",".",".",".","1280.171","483.404","2.648243",".0107972","-217.8676","445.2945","-.4892663",".6268363","0",".",".",".","1931.775","561.1338","3.442628",".0012751","196.1449","553.5875",".354316",".7248338","0",".",".",".","1954.596","384.1004","5.088763",".0001334","-949.2105","957.3328","-.9915157",".3382623","0",".",".",".","4808.93","1406.666","3.418672",".007644","-3151.289","1612.881","-1.953826",".0824584","0",".",".",".","74.9338","35.96636","2.083441",".0423434","-11.3761","32.6621","-.3482966",".7291094","0",".",".",".","87.30924","29.463","2.963352",".0048956","23.48912","24.83596",".9457704",".3495503","0",".",".",".","68.72855","19.65637","3.496503",".0032467","-20.9414","40.00299","-.5234959",".6088165","0",".",".",".","222.3719","74.96024","2.966532",".0157911","-151.0954","87.82556","-1.720403",".1194699","0",".",".",".","245.3173","55.46448","4.422962",".0000526","-55.01748","85.69619","-.6420062",".5238615","0",".",".",".","10.91367","3.319836","3.287414",".0018543","-5.643618","4.469739","-1.262628",".2126989","0",".",".",".","1215.936","465.1695","2.613964",".0117945","-479.0389","474.816","-1.008894",".3179819","0",".",".",".","71.04448","34.40011","2.06524",".044104","-27.0072","35.97637","-.7506926",".4564277","0",".",".",".","198.0694","47.92058","4.133284",".0001426","0",".",".",".","155.9381","68.0812","2.290472",".0276333","0",".",".",".","-1.813547","90.34859","-.0200728",".9844233","0",".",".",".","424.3967","34.55235","12.28272",".0011623","0",".",".",".","6.440365","2.326924","2.767759",".0079949","0",".",".",".","6.774723","4.325006","1.566408",".1255439","0",".",".",".",".999069","2.484654",".4020958",".6969955","0",".",".",".","36.18387","6.187838","5.847579",".009968","0",".",".",".","208.6287","50.80922","4.106119",".0001556","0",".",".",".","475.6377","126.5468","3.758591",".0005739","0",".",".",".","201.0699","120.2142","1.672597",".1287368","0",".",".",".","231.9943","69.06121","3.359256",".0437574","0",".",".",".","7.071495","1.763202","4.010599",".0002108","0",".",".",".","16.85725","4.198511","4.015054",".00027","0",".",".",".","2.938242","4.641764",".6330011",".5424804","0",".",".",".","14.56413","2.410703","6.041443",".0090947","0",".",".",".","351.5752","86.76954","4.051827",".0001772","0",".",".",".","236.3247","86.2626","2.739597",".0090656","0",".",".",".","-3.308894","62.10677","-.0532775",".9583208","0",".",".",".","483.448","200.306","2.413547",".0422736","0",".",".",".","17.68033","5.7083","3.097302",".0031997","0",".",".",".","11.30273","4.245006","2.662594",".0110274","0",".",".",".",".1675876","3.733536",".0448871",".9648795","0",".",".",".","22.11071","10.03875","2.202535",".0587611","0",".",".",".","2646.751","991.5547","2.669294",".0102236","0",".",".",".","3365.933","988.9533","3.403531",".0014978","0",".",".",".","2765.828","526.8305","5.249939",".0001569","0",".",".",".","6415.423","1980.319","3.23959",".0118849","0",".",".",".","160.7373","75.83568","2.119548",".0390316","0",".",".",".","155.9927","52.66166","2.962169",".0050644","0",".",".",".","99.82726","29.08018","3.432829",".0044525","0",".",".",".","311.0317","110.985","2.802465",".0231099","0",".",".",".","205.8174","64.84825","3.173831",".0027447","0",".",".",".","69.37704","98.47921",".7044841",".4860737","0",".",".",".","-5.544342","43.78135","-.126637",".9013248","0",".",".",".","-217.0012","300.9009","-.7211718",".6022436","0",".",".",".","8.200959","3.442575","2.382217",".0215965","0",".",".",".","6.354791","3.994021","1.591076",".1211279","0",".",".",".",".6388508","3.178268",".201006",".8440606","0",".",".",".","-15.50358","29.33532","-.5284951",".6904863","0",".",".",".","459.1107","116.5644","3.938688",".0002887","0",".",".",".","873.4585","227.4534","3.840165",".0005284","0",".",".",".","746.4695","180.6503","4.132124",".0013902","0",".",".",".","3908.778","4590.534",".8514865",".5509562","0",".",".",".","17.04711","4.870733","3.499907",".0010789","0",".",".",".","33.51435","9.062204","3.698256",".0007853","0",".",".",".","23.56448","7.548147","3.121889",".0088238","0",".",".",".","123.7384","157.4773",".7857539",".5760152","0",".",".",".","402.6606","112.7009","3.572826",".0008042","0",".",".",".","310.0346","105.3069","2.944107",".005434","0",".",".",".","103.7247","71.19354","1.45694",".1730795","0",".",".",".","466.4599","160.3131","2.909681",".0269916","0",".",".",".","21.60956","7.363716","2.9346",".0050706","0",".",".",".","14.02745","5.463457","2.567505",".0141915","0",".",".",".","5.642747","1.968562","2.86643",".0153392","0",".",".",".","24.39902","8.897501","2.742233",".033636","0",".",".",".","3649.949","1370.234","2.663741",".0104294","0",".",".",".","4112.053","1261.372","3.259985",".0023154","0",".",".",".","3681.556","585.2363","6.290717",".0000591","0",".",".",".","6507.497","1810.983","3.593351",".0114576","0",".",".",".","228.3842","108.0049","2.114573",".0395776","0",".",".",".","192.6322","67.71232","2.844862",".0070431","0",".",".",".","130.8556","29.46165","4.441557",".0009925","0",".",".",".","313.5888","104.8194","2.991705",".0242667","0",".",".",".","182.062","44.90852","4.054064",".0001837","0",".",".",".","6.010664","2.193617","2.740069",".0085992","0",".",".",".","193.6287","47.05966","4.114537",".0001514","0",".",".",".","6.616616","1.647","4.017374",".0002063","0",".",".",".","331.6936","83.5527","3.969874",".0002303","0",".",".",".","16.6957","5.452962","3.061766",".0035363","0",".",".",".","2518.994","955.7129","2.635722",".0111521","0",".",".",".","152.5102","72.61407","2.100285",".0407691","0",".",".",".","189.5595","61.0996","3.102467",".0033472","0",".",".",".","7.676014","3.260475","2.354263",".0230881","0",".",".",".","429.1197","109.3386","3.924686",".0003014","0",".",".",".","15.97371","4.566421","3.498081",".0010847","0",".",".",".","380.6951","108.6497","3.503877",".0009898","0",".",".",".","20.47105","7.037288","2.908941",".0054382","0",".",".",".","3477.158","1322.562","2.629109",".011404","0",".",".",".","216.8501","103.5001","2.095169",".041347","0",".",".","."
"0.P1#c.EHI","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",".",".",".","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.P1#c.EHI","","","","","430.4814","95.52864","4.506308",".0000411","416.2449","92.26516","4.511398",".0000392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.99709","5.764619","3.295463",".0018313","18.39797","5.53648","3.323045",".001671","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2103.26","794.5318","2.647169",".0108858","2030.084","766.7693","2.647581",".0108157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123.1121","59.07877","2.083863",".0424094","118.8352","57.05753","2.082726",".0424115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314.138","76.03781","4.131339",".0001435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.21561","3.692299","2.766736",".0080166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.8515","80.59162","4.105284",".000156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.21624","2.797336","4.009617",".0002115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557.5969","137.6721","4.050181",".0001781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.04074","9.057978","3.095695",".0032142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4197.178","1573.133","2.668037",".010257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254.9062","120.3336","2.11833",".0391395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326.4484","102.9096","3.172186",".0027574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.00654","5.46327","2.380725",".0216739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","727.7983","184.7418","3.939543",".000288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.01343","7.714386","3.501695",".0010733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","638.5803","178.844","3.570601",".0008097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.27426","11.68612","2.932903",".0050942","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5788.31","2174.24","2.662222",".0104705","","","","","","","","","","","","","","","","","","","","","","","","","","","","","362.2101","171.403","2.113208",".0396999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
