"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"t48","-.0577692",".1313491","-.4398144",".6620456","-.0739273",".1242099","-.5951804",".5545187","-.0753323",".1234471","-.6102401",".5445813","","","","","0",".",".","."
"strongban","","","","","-.0806698",".0255361","-3.159046",".0027381","-.0763544",".0252466","-3.024342",".0039937","-.0711778",".0444863","-1.599994",".116162","-.0253221",".0413855","-.6118586",".5435188"
"weakban","","","","",".0752763",".0374043","2.012504",".0497957",".0750804",".0368965","2.034892",".0474049",".0372082",".0293835","1.266296",".211518",".115793",".0326695","3.544376",".000889"
"laccidentmv2","","","","","","","","",".179688",".0485273","3.702822",".00055",".4127762",".0498202","8.285321","8.19e-11",".1649365",".0487467","3.38354",".0014328"
"time","","","","","","","","","","","","",".0095341",".003665","2.601398",".0123081","-.0056767",".0047435","-1.196714",".2372955"
"time","","","","","","","","","","","","","0",".",".",".","","","",""
"stt1","","","","","","","","","","","","","-.009136",".0026406","-3.459814",".0011441","-.0062959",".0021727","-2.89774",".0056486"
"stt2","","","","","","","","","","","","","0",".",".",".","0",".",".","."
"stt3","","","","","","","","","","","","","-.0094671",".0034472","-2.746298",".0084597","-.0055558",".0026475","-2.098547",".0411433"
"stt4","","","","","","","","","","","","","-.0028313",".0020519","-1.379842",".1740291",".0061484",".0025844","2.379052",".021382"
"stt5","","","","","","","","","","","","","-.0087421",".0028517","-3.065607",".0035609","-.0066293",".0018079","-3.66687",".0006138"
"stt6","","","","","","","","","","","","","-.0025709",".0021348","-1.204253",".2343967",".0010331",".0013972",".7394348",".463244"
"stt7","","","","","","","","","","","","","-.0052108",".002667","-1.953823",".0565628",".0027867",".0020714","1.345365",".1848289"
"stt8","","","","","","","","","","","","","-.0123187",".0019747","-6.238163","1.08e-07","-.0068264",".0014983","-4.556128",".0000359"
"stt9","","","","","","","","","","","","","0",".",".",".","0",".",".","."
"stt10","","","","","","","","","","","","","-.0076707",".0027539","-2.785457",".0076296","-.0073845",".0023233","-3.178458",".0025913"
"stt11","","","","","","","","","","","","","-.0067041",".0027551","-2.433362",".0187333","-.001737",".0019413","-.8947523",".3753844"
"stt12","","","","","","","","","","","","",".0018813",".0018849",".9980453",".3232623",".0008835",".0015665",".5639929",".5753849"
"stt13","","","","","","","","","","","","","-.0045622",".001733","-2.6325",".0113675","-.0023619",".0017747","-1.330893",".1895117"
"stt14","","","","","","","","","","","","","-.0106147",".0038626","-2.74806",".0084206","-.0049948",".0026811","-1.862937",".0685965"
"stt15","","","","","","","","","","","","","-.0099363",".0026928","-3.6899",".0005721","-.0061738",".0021638","-2.85319",".0063691"
