Implemented,study-id,cite-key,Authors,Title,Journal,Source,Search Term,JEL/EconLit (if avail),Semantic Scholar ID,URL,Repo,Language,Semantic Scholar Citation Count
1,strain-2023,holzer_did_2024,Michael Strain,Did Pandemic Unemployment Benefits Increase Unemployment? Evidence from the Early State-Level Expirations,Economic Inquiry,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""unemployment""","J08, J65, H31",4f14ce6d292c102dcac7a5a7461282579b4dd03f,https://onlinelibrary.wiley.com/doi/10.1111/ecin.13180,https://www.openicpsr.org/openicpsr/project/193365/version/V3/view?path=/openicpsr/193365/fcr:versions/V3/ICPSR-replication-package-v3.zip&type=file,Stata,25.0
1,wang-2022,wang_import_2024,"Feicheng Wang, University of Göttingen; Krisztina Kis-Katos, University of Göttingen; Minghai Zhou, Zhejiang University",Import competition and the gender employment gap in China,Journal of Human Resources,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""employment""",,3af029687e9f34aa86cb97d4a41f36d4db14e3ad,https://muse-jhu-edu.us1.proxy.openathens.net/article/940729,https://www.openicpsr.org/openicpsr/project/171361/version/V1/view,Stata,13.0
1,topalova-2010,topalova_factor_2010,Petia Topalova,Factor Immobility and Regional Impacts of Trade Liberalization: Evidence on Poverty from India,American Economic Journal: Applied Economics,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""poverty""","F13, I32, O15, O18, O19, O24",a8435ab22e06136308d1be48d87bb89866f5b05a,https://www.aeaweb.org/articles?id=10.1257/app.2.4.1,https://www.openicpsr.org/openicpsr/project/113765/version/V1/view,Stata,845.0
1,chodorow-2012,chodorow-reich_does_2012,Gabriel Chodorow-Reich,Does State Fiscal Relief during Recessions Increase Employment? Evidence from the American Recovery and Reinvestment Act,American Economic Review,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,“state-level”,"H75, I18, I38, R23",cd11af87cc24cae174610bde90d32c37eb786443,https://www.aeaweb.org/articles?id=10.1257/pol.4.3.118,https://www.openicpsr.org/openicpsr/project/114788/version/V1/view?path=/openicpsr/114788/fcr:versions/V1/20100254_data/data/CES/totalempjune82011.dta&type=file,Stata,344.0
1,guzman-2022,debnam_guzman_identity_2022,Jakina Debnam Guzman & Marie Christelle Mabeu &Roland Pongou ,Identity during a Crisis: COVID-19 and Ethnic Divisions in the United States,AEA Papers and Proceedings,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""county-level""","H51, H75, I12, I18, J15",f24822903c64777cc58d5fd1065c3481166c18ab,"https://www.aeaweb.org/articles?id=10.1257/pandp.20221115#:~:text=United%20States%20counties%20with%20higher,levels%20of%20high%2Drisk%20populations.",https://www.openicpsr.org/openicpsr/project/159362/version/V1/view,Stata,1.0
1,dhaliwal-2020,dhaliwal_ruralnonrural_2021,"Tasminda Dhaliwal, University of Southern California; Paul Bruno, University of Illinois at Urbana-Champaign",The Rural-Nonrural Divide?: Data and Analysis Files,AERA Open,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,“state-level”,,473820e23227678082931d2349295634673999cd,https://journals.sagepub.com/doi/full/10.1177/2332858420982549,https://www.openicpsr.org/openicpsr/project/129661/version/V1/view?path=/openicpsr/129661/fcr:versions/V1&type=project,Stata,16.0
1,dickstein-2015,dickstein_impact_2015,Michael J. Dickstein; Mark Duggan; Joe Orsini; Pietro Tebaldi,The Impact of Market Size and Composition on Health Insurance Premiums: Evidence from the First Year of the Affordable Care Act,American Economic Review: Papers & Proceedings,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""county""","G22, H51, H75, I13",eab9d54147223c84a6f6a8f8f952ab72dd0d4136,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.p20151083,https://www.openicpsr.org/openicpsr/project/113406/version/V1/view,Stata,43.0
1,maestas-2014,maestas_disability_2014,Nicole Maestas; Kathleen J. Mullen; Alexander Strand,Disability Insurance and Health Insurance Reform: Evidence from Massachusetts,American Economic Review: Papers & Proceedings,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,"""county""","G22, H51, H75, I13, I18, J14",21178ddf610aa2807497d4e38ce658af53cea339,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.104.5.329,https://www.openicpsr.org/openicpsr/project/112792/version/V1/view,Stata,41.0
1,fitzpatrick-2014,fitzpatrick_early_2014,Maria D. Fitzpatrick and Michael F. Lovenheim,Early Retirement Incentives and Student Achievement,American Economic Journal: Economic Policy,https://www.openicpsr.org/openicpsr/search/studies?start=50&ARCHIVE=openicpsr&ARCHIVE=openicpsr&ARCHIVE=openicpsr&sort=score%20desc%2CDATEUPDATED%20desc&rows=25&q=crime,district-level,"H75, I21, I28, J26, J45",858e6ddb79711c4d84f3cd445ded7518b115c70a,https://pubs.aeaweb.org/doi/pdfplus/10.1257/pol.6.3.120,https://www.openicpsr.org/openicpsr/project/114865/version/V1/view,Stata,0.0
1,bove-2017,bove_police_2017,Vincenzo Bove & Evelina Gavrilova,Police Officer on the Frontline or a Soldier? The Effect of Police Militarization on Crime,American Economic Journal: Economic Policy,https://www.openicpsr.org/openicpsr/project/112307/version/V1/view,county,"H56, H76, K42",3495a71f7186578117e137f175ab3ca4dfe2cf51,https://www.aeaweb.org/articles?id=10.1257/pol.20150478,https://www.openicpsr.org/openicpsr/project/114670/version/V1/view,Stata,79.0
