,,,,,FILL THESE COLUMNS FOR ALL VARIABLES,,,,,,ONLY NEEDED FOR NOISED VARIABLES,,,,,
Implemented,study-id,result-ids,variable-id,desc,query type,query notes,noised,reg-role,interaction variable?,constructed from microdata by authors,data-dependent-bounds,component-variables,data domain,data type,dataset publisher,dataset
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,arhisesl_sdf,"change in hispanic esl enrollment share, 1976 to 2000",change in count / count,"ASSUMPTION: 2000 share is invariant, since not enough vars to reconstruct",1,instrumented,0,0,,arDm_his_esl1976,"age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,inst_sca,((arDm_his_esl_good1976+instca)/(arDm_tot2_good1976+instca))-arhisesl_s1976,complex,,1,instrument,0,0,,"arDm_his_esl_good1976, arDm_tot2_good1976","age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,sch1ageshindnh1970,"district share of msa's non-hispanics in age group, 1970",count / sum(count),"not derived in authors' code, not enough component vars to deconstruct",0,custom computation,0,0,,,"age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,arDm_his_esl1976,"hispanic esl enrollment in secondary boundary, 1976",count,,1,custom computation,0,0,,arDm_his_esl1976,"age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,hhkidsnh,"non-hispanic families with kids, 1970",count,,1,custom computation,0,0,,hhkidsnh,"age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,anderson-2014,all3-arrests,total_crime1_rate,"arrests per 1000 people in age group, per the paper",sum / count,,1,dep,0,0,,"total_crime1, county_pop, count1315, count1618",crime,Administrative,Federal Bureau of Investigation,Uniform Crime Reports (UCR)
1,anderson-2014,property3-arrests,property1_rate,"arrests per 1000 people in age group, per the paper",sum / count,,1,dep,0,0,,"property1, county_pop, count1315, count1618",crime,Administrative,Federal Bureau of Investigation,Uniform Crime Reports (UCR)
1,anderson-2014,violent3-arrests,violent1_rate,"arrests per 1000 people in age group, per the paper",sum / count,,1,dep,0,0,,"violent1, county_pop, count1315, count1618",crime,Administrative,Federal Bureau of Investigation,Uniform Crime Reports (UCR)
1,anderson-2014,all,popratio1315,,count / count,,1,control,0,0,,"count1315, county_pop",age,Census,U.S. Census Bureau,?
1,anderson-2014,all,popratio1618,,count / count,,1,control,0,0,,"count1618, county_pop",age,Census,U.S. Census Bureau,?
1,anderson-2014,all,popratio_male,,count / count,,1,control,0,0,,"count_male, county_pop",sex/gender,Census,U.S. Census Bureau,?
1,anderson-2014,all,popratio_black,,count / count,,1,control,0,0,,"count_black, county_pop",race/ethnicity,Census,U.S. Census Bureau,?
1,anderson-2014,all,log_income,log real personal income per capita in 2000 dollars,log sum / count,"assumption on max income for an individual: $500,000",1,control,0,0,,total_income,income,Blended,Bureau of Economic Analysis,?
1,anderson-2014,all,pop_dense_thou,population / (area * 1000),count / invariant,,1,control,0,0,,county_pop,population,Census,U.S. Census Bureau,?
1,charles-2019,all,nadults,,count,,1,weights,0,0,,nadults,age,Estimates,Census Bureau,Population Estimates
