"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"0.endonlyfpuc#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endonlyfpuc#1.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#1.baseyear2019#1.post","","","","","","","","",".411454",".3176413","1.295341",".2018084","","","","","","","","",".435873",".5076706",".8585745",".3951257","","","","","","","","",".8495263",".5331187","1.593503",".1180481"
"_cons","76.8063",".0414722","1851.993","1.7e-111","79.63298","3.070962","25.93096","1.07e-28","78.25769",".0270873","2889.094","3.4e-120","68.8826",".0470276","1464.726","6.5e-107","68.90257","2.737596","25.169","3.76e-28","70.09736",".0371292","1887.933","7.1e-112","58.00361",".0497277","1166.424","1.8e-102","58.9716","2.671782","22.07201","8.96e-26","59.41509",".0368535","1612.199","8.6e-109"
"N","322","","","","322","","","","644","","","","322","","","","322","","","","644","","","","322","","","","322","","","","644","","",""
"r2",".8746661","","","",".876267","","","",".9469852","","","",".9250058","","","",".9252748","","","",".9635464","","","",".9177366","","","",".9183776","","","",".9639594","","",""
"df_m","2","","","","4","","","","2","","","","2","","","","4","","","","2","","","","2","","","","4","","","","2","","",""
"df_r","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","","","45","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
