"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"0.endfpucandpua","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endfpucandpua","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"0.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"0.endfpucandpua#0.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"0.endfpucandpua#1.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endfpucandpua#0.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endfpucandpua#1.post","-.7222164",".3108157","-2.323616",".0247218","-.9147086",".3272458","-2.795173",".0075985","0",".",".",".","-.8286682",".3760116","-2.203837",".0326942","-1.038639",".4032668","-2.575562",".0133638","0",".",".",".","-.7734131",".3577839","-2.161676",".0360001","-1.001289",".3878205","-2.581835",".0131547","0",".",".","."
"0.endonlyfpuc","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endonlyfpuc","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"0.endonlyfpuc#0.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"0.endonlyfpuc#1.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endonlyfpuc#0.post","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.endonlyfpuc#1.post","-.7459198",".4236691","-1.760619",".085098","-.8722794",".4803289","-1.816005",".0760354","0",".",".",".","-.4469584",".4359913","-1.025154",".3107698","-.5368179",".4508241","-1.190748",".239996","0",".",".",".","-.4301196",".4025648","-1.068448",".2910167","-.525971",".4179089","-1.258578",".2146733","0",".",".","."
"stringencyindex","","","","",".0081548",".0126361",".6453624",".5219695","","","","","","","","",".0168639",".0133234","1.265733",".2121228","","","","","","","","",".0187355",".0138345","1.354256",".1824163","","","",""
"lnnewcases","","","","",".1044047",".2300809",".4537738",".6521726","","","","","","","","","-.0651458",".230597","-.2825094",".7788484","","","","","","","","","-.0777036",".225604","-.3444247",".7321314","","","",""
"0.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#0.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#1.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#0.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#1.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endfpucandpua#1.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#1.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endfpucandpua#1.baseyear2019#1.post","","","","","","","","","-.9876876",".4455769","-2.216649",".0317442","","","","","","","","","-.8887537",".4607335","-1.928997",".0600525","","","","","","","","","-.8253132",".4230633","-1.950803",".0573242"
"0.endonlyfpuc#0.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endonlyfpuc#1.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#0.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"1.endonlyfpuc#1.baseyear2019","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endonlyfpuc#0.baseyear2019#0.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
"0.endonlyfpuc#0.baseyear2019#1.post","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".",".","","","","","","","","","0",".",".","."
