year	med_wage	cons_share	manuf_share	nonemp	nonemp_all	nonemp_high
1977		0.0743588	0.2415769	0.16546	0.16546	
1978		0.0809961	0.2369502	0.1578099	0.1578099	
1979		0.0836955	0.2445457	0.1523095	0.1523095	
1980		0.0830403	0.2394696	0.1618399	0.1618399	
1981		0.07923	0.2317965	0.1722206	0.1722206	
1982		0.074039	0.2148305	0.1939332	0.1939332	
1983		0.073946	0.2022152	0.2143835	0.2143835	
1984		0.0826738	0.2062395	0.1858244	0.1858244	
1985		0.0863855	0.2066548	0.1790905	0.1790905	
1986		0.0869953	0.2044883	0.1808672	0.1808672	
1987		0.0867114	0.1976175	0.17722	0.17722	
1988		0.086541	0.2019839	0.1716212	0.1716212	
1989		0.0898119	0.2022626	0.1621662	0.1621662	
1990		0.093692	0.1948368	0.1643717	0.1643717	
1991		0.0836423	0.1862061	0.1823641	0.1823641	
1992		0.0782664	0.1797373	0.1911798	0.1911798	
1993		0.0795617	0.1758769	0.1908896	0.1908896	
1994		0.0785704	0.1799373	0.1881727	0.1881727	
1995		0.0840674	0.1812094	0.1764025	0.1764025	
1996		0.0870818	0.1784131	0.1761152	0.1761152	
1997		0.0899474	0.1806785	0.1696179	0.1696179	
1998		0.0918781	0.1785537	0.1630883	0.1630883	
1999		0.0946032	0.1750714	0.1614781	0.1614781	
2000		0.0954924	0.1706418	0.1622678	0.1622678	
2001		0.0985137	0.1621607	0.1685977	0.1685977	
2002		0.0972917	0.1534448	0.1849358	0.1849358	
2003		0.1012636	0.140334	0.1930044	0.1930044	
2004		0.1038006	0.1385872	0.1941692	0.1941692	
2005		0.1067861	0.1350344	0.1887527	0.1887527	
2006		0.1104943	0.1350175	0.182279	0.182279	
2007		0.1128857	0.1318605	0.1810346	0.1810346	
2008		0.1042602	0.1284806	0.1924327	0.1924327	
2009		0.0909711	0.1158992	0.2376299	0.2376299	
2010		0.0876897	0.1116194	0.2499294	0.2499294	
2011		0.0836626	0.1124511	0.2472	0.2472	
