"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"treat7x9","-.986594",".2376932","-4.150703",".0000449","-1.083882",".2198966","-4.929051","1.47e-06"
"treat10x12","-.4910916",".1564034","-3.139903",".0018844","-.5614514",".1764074","-3.182697",".0016358"
"treat13x15","-.2067199",".0864987","-2.38986",".0175648","-.2360438",".1249263","-1.889465",".0599379"
"treat16x18","-.0493693",".0540464","-.9134612",".3618431","-.0640462",".0731584","-.8754457",".3821364"
"_cons","8.34722",".067881","122.9684","4.6e-233","8.299947",".0771194","107.6246","3.0e-218"
"N","1319566","","","","1030666","","",""
"r2",".1304579","","","",".1548531","","",""
"df_m","4","","","","4","","",""
"df_r","261","","","","261","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
