"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"v_fe99","-.3962068",".2589969","-1.529774",".1434568","-.3591847",".2514111","-1.428675",".1702216",".8067563",".1672962","4.822321",".0001366",".8233021",".1754809","4.691692",".0001817"
"v_fe100",".2026333",".1235669","1.639867",".1183916",".2111458",".1224306","1.724616",".1017263","1.370137",".1820119","7.52773","5.77e-07","1.3764",".1772575","7.764978","3.74e-07"
"v_fe101","1.141062",".1157099","9.861401","1.11e-08","1.152945",".1135672","10.1521","7.08e-09","1.673533",".1687052","9.919868","1.01e-08","1.667006",".1705337","9.775234","1.27e-08"
"v_fe102",".3441739",".2714361","1.267974",".2209637",".3828443",".2633278","1.45387",".1631968",".633754",".1892377","3.348983",".0035729",".6528127",".1979159","3.298435",".0039951"
"v_fe103",".6284083",".1208854","5.198382",".0000606",".6242898",".1236871","5.047332",".0000838","1.04162",".1788804","5.822996",".0000162","1.02992",".1782684","5.777359",".0000178"
"v_fe104","1.250448",".1149163","10.88139","2.40e-09","1.260659",".1133178","11.12499","1.69e-09","2.013069",".1636586","12.30042","3.39e-10","2.004114",".1663209","12.04969","4.72e-10"
"v_fe105","-.5638989",".1057987","-5.329925",".0000457","-.5536766",".1042233","-5.312408",".0000475",".4961794",".1694059","2.928937",".0089665",".4903652",".1709916","2.867774",".0102326"
"v_fe106","-.2436011",".3717387","-.6553019",".5205612","-.1886982",".3602563","-.5237887",".6068152","-.1113756",".3593797","-.3099107",".7601881","-.0719775",".3725865","-.1931832",".8489786"
"v_fe107",".7802521",".325898","2.394161",".0277574",".8169305",".3157588","2.587198",".0185928",".1961029",".2799033",".7006095",".4925046",".2395501",".2865764",".8359032",".4141684"
"v_fe108","-.7934277",".340883","-2.327566",".0317998","-.7432519",".3302673","-2.250456",".0371612","-.8277288",".3169608","-2.611455",".0176684","-.792783",".3291863","-2.408311",".0269627"
"v_fe109","-1.022759",".3695149","-2.767841",".01268","-.9681342",".3580013","-2.704275",".0145192","-.3656784",".3578933","-1.021753",".320435","-.3200267",".3695328","-.8660306",".3978702"
"v_fe110","2.063011",".0675367","30.54651","5.83e-17","2.06831",".0664914","31.10643","4.23e-17",".3887312",".1467873","2.648263",".0163488",".3711645",".149156","2.488431",".0228506"
"v_fe111",".3988759",".3382752","1.179146",".2536917",".4486477",".3277474","1.368883",".1878776","-.057052",".3205483","-.1779826",".8607244","-.0217097",".332862","-.0652215",".9487166"
"v_fe112","-.5038353",".3672286","-1.371994",".186924","-.4511056",".3561891","-1.266478",".2214865","-.0301484",".3688686","-.081732",".9357618",".0082069",".3823709",".0214632",".9831123"
"v_fe113","-1.029949",".3082622","-3.341145",".0036354","-.9848219",".2986063","-3.298062",".0039984",".8366651",".278401","3.005252",".0075981",".8680103",".2898578","2.994607",".0077761"
"v_fe114","-.5171714",".367983","-1.405422",".1769212","-.4507687",".3538071","-1.274052",".2188498",".3033802",".3675211",".8254769",".4199073",".370456",".3847936",".9627396",".3484345"
"v_fe115","-1.09713",".328716","-3.337623",".0036638","-1.048263",".3181834","-3.294524",".0040297",".6237297",".319279","1.953557",".0664755",".6602614",".334212","1.975577",".0637386"
"v_fe116","-.8718051",".322542","-2.70292",".0145611","-.8246455",".3126131","-2.637911",".0167101",".4240637",".3047382","1.391567",".1810133",".4576275",".3166557","1.445189",".1655898"
"v_fe117","-.7647146",".2891259","-2.644919",".0164647","-.7224489",".2799394","-2.580733",".0188467",".86188",".2517616","3.423398",".0030303",".8898267",".2624619","3.390309",".0032607"
"v_fe118","-.3482519",".1679611","-2.073408",".0527624","-.3260675",".1631568","-1.998492",".0609981",".5083341",".108365","4.690942",".000182",".5197759",".1139011","4.563397",".0002409"
"v_fe119","-.2826286",".2951762","-.957491",".3510042","-.2221878",".2819214","-.7881197",".4408829","1.255142",".2718843","4.616456",".0002144","1.290785",".2799952","4.610024",".0002174"
"v_fe120","-.7946258",".2924421","-2.717207",".0141255","-.7520071",".2833149","-2.654316",".016141",".356625",".268497","1.328227",".2006996",".3865653",".279637","1.382383",".1837678"
"v_fe121",".0067404",".2933732",".0229756",".9819225",".0514856",".2836273",".1815254",".8579836","-.0531403",".2846321","-.186698",".8539855","-.020237",".2965549","-.0682403",".9463467"
"v_fe122","-.1357576",".2837754","-.478398",".6381261","-.0926309",".2744108","-.3375628",".7395973","1.471304",".2618364","5.619175",".0000248","1.497356",".273461","5.475574",".0000336"
"v_fe123",".1306807",".2860893",".4567831",".6532912",".1724004",".2770916",".6221782",".5416265",".8687784",".269661","3.221743",".0047308",".8992981",".2809352","3.201087",".0049506"
"v_fe124",".3135528",".2801825","1.119102",".2778089",".3543052",".2713989","1.305478",".2081711","-.3202207",".2639957","-1.212977",".2408176","-.2921556",".2755995","-1.060073",".3031295"
"v_fe125","-.0529915",".3011792","-.1759466",".8623002","-.0104912",".2927846","-.0358326",".9718102","-.8525898",".3043286","-2.801544",".0117976","-.7808706",".319861","-2.441281",".0251929"
"v_fe126",".1664232",".2854589",".5830023",".5671248",".1874826",".2792732",".6713233",".5105388",".4003816",".2612351","1.532649",".1427501",".4248298",".267685","1.587051",".1299116"
"v_fe127","-.4008589",".1894785","-2.11559",".0485816","-.3738256",".1825075","-2.048276",".0554059",".9747818",".1082492","9.004977","4.37e-08",".9852876",".1125084","8.757455","6.60e-08"
"v_fe128","-.2486427",".1635091","-1.520666",".1457157","-.2289449",".1597003","-1.433591",".1688318",".7638808",".0996426","7.666206","4.47e-07",".7668481",".106052","7.230866","1.00e-06"
"v_fe129",".2963006",".1650868","1.794817",".0894943",".3178087",".1606393","1.9784",".0633952",".0729105",".1001443",".7280546",".4759454",".0851322",".1031295",".8254886",".4199009"
"v_fe130",".3781957",".1997991","1.89288",".0745671",".405215",".1942455","2.086097",".0514717","-.2582304",".1562882","-1.652271",".1158158","-.2411034",".1618452","-1.489717",".1536126"
"v_fe131","-.7864178",".1919625","-4.096727",".0006771","-.7605531",".1866101","-4.075626",".0007097","-.001785",".1341904","-.013302",".9895332",".0112547",".139511",".0806726",".9365925"
"v_fe132","-1.04257",".1885902","-5.528228",".00003","-1.018921",".1836762","-5.547379",".0000288",".1688381",".135305","1.247833",".2280822",".1856452",".1400868","1.325216",".2016761"
"v_fe133",".2872995",".1902203","1.510351",".1483094",".3128948",".1849262","1.691998",".1078849","-.0958349",".152599","-.6280178",".5378795","-.0830433",".1602443","-.5182294",".6106099"
"v_fe134",".2658763",".1893494","1.404157",".1772916",".291337",".1840844","1.582627",".1309181","-.6338855",".1475973","-4.294696",".0004362","-.6234926",".1551319","-4.019112",".0008048"
"v_fe135",".8349864",".1884784","4.430142",".0003232",".8603124",".1832426","4.694937",".0001804",".8868458",".1459077","6.078128","9.61e-06",".9020193",".1529092","5.899052",".0000139"
"v_fe136","-.098007",".1766497","-.5548101",".5858534","-.0751087",".1720973","-.4364317",".6677134",".6385875",".1276812","5.001421",".0000926",".6475848",".1317962","4.91353",".000112"
"v_fe137","-.1656245",".1625426","-1.018961",".3217228","-.1448696",".1583889","-.9146446",".3724687",".4000283",".1040882","3.843167",".0011911",".4078942",".1093981","3.728532",".0015378"
"v_fe138","-.1321909",".1743475","-.7582032",".4581423","-.1090865",".1695618","-.6433435",".5281131","-.6566626",".1306365","-5.026641",".0000876","-.6455142",".1375829","-4.69182",".0001817"
"v_fe139",".7060385",".1599358","4.414512",".0003346",".7219011",".1543221","4.677886",".0001873","-.0923111",".106331","-.8681479",".3967408","-.0640719",".1072655","-.5973204",".5577336"
"v_fe140","-.5418433",".2007869","-2.698599",".0146953","-.5163829",".1956385","-2.639475",".016655",".2782169",".1898931","1.465124",".1601365",".2977976",".1944362","1.531595",".1430087"
"v_fe141",".4503787",".20901","2.154819",".0449665",".4717607",".2018929","2.336688",".0312154","1.171599",".1702561","6.881391","1.95e-06","1.200708",".1742171","6.892018","1.91e-06"
"v_fe142",".0040023",".2047893",".0195434",".9846227",".0324817",".1972758",".1646509",".8710536","-.3449977",".1707814","-2.020113",".0585098","-.3076799",".1765115","-1.743115",".09837"
"v_fe143","-.5549185",".2017737","-2.750202",".0131667","-.569966",".201566","-2.827689",".0111541",".8284429",".1677856","4.937509",".0001063",".8462851",".1720536","4.918731",".0001107"
"v_fe144",".6591485",".247727","2.660785",".0159216",".6913328",".2409246","2.869498",".0101946","1.211345",".255168","4.747246",".0001609","1.238572",".2646148","4.680661",".0001862"
"v_fe145","-.5094717",".2061251","-2.471662",".0236592","-.4831334",".2007125","-2.407091",".0270304",".1805709",".1857124",".9723146",".3437799",".1966501",".1938225","1.014589",".3237465"
"v_fe146","-1.035777",".2171307","-4.770294",".000153","-1.006235",".208916","-4.816459",".0001383","-.1617379",".198196","-.8160504",".4251394","-.1284659",".2033517","-.6317428",".5354967"
"v_fe147","1.991738",".1589348","12.53179","2.50e-10","2.004934",".1532739","13.08073","1.24e-10","1.323496",".1134411","11.66682","7.93e-10","1.347124",".1126887","11.95438","5.37e-10"
