"","est1","","",""
"","b","se","t","p"
"t15000","1.220211",".3754519","3.249979",".0012128"
"pop15000",".0002381",".0003328",".7155715",".4745091"
"pop15000_2","1.20e-07","1.44e-07",".838677",".4019542"
"pop15000_3","1.82e-11","1.78e-11","1.024715",".305873"
"t15000_int1",".0000956",".0007455",".1282231",".8980115"
"t15000_int2","-3.93e-07","3.98e-07","-.9867956",".3241045"
"t15000_int3","3.22e-11","5.74e-11",".5615291",".5746275"
"north",".4178087",".2346704","1.780406",".0754694"
"CE","-.2924224",".1802918","-1.621939",".1052939"
"south","0",".",".","."
"area","-.0000327",".001035","-.0315578",".9748342"
"alt_max",".0001606",".0001037","1.549218",".1218087"
"end_rev_transf_pc",".0000946",".0001139",".8310006",".4062738"
"income_pc","-2.34e-06",".0000279","-.0839532",".9331191"
"elderly_index","-.0908024",".1437275","-.6317679",".5277573"
"active_pop","-.1607752","1.479336","-.1086806",".9134889"
"family_size","-.4334661",".2898473","-1.495498",".1352625"
"duration","-.0003169",".0001115","-2.841482",".004629"
"term_limit","-.348126",".0845564","-4.117087",".0000432"
"_cons","5.382724","1.074878","5.007754","7.08e-07"
"N","2027","","",""
"r2",".1608542","","",""
"df_m","16","","",""
"df_r","660","","",""
"df_b","","","",""
"df","","","",""
