Yearly probability of conflict onset, within-cells									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
									Polity <=0
			Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Gov
	Polity >0	Polity <=0	Gov	Terr	Type 3	Type 4	Inter	Gov	+/- 5 yrs
VARIABLES	controls	controls	controls	controls	controls	controls	controls	+/- 5 years	avglogcapdist*post_capchange
									
1964.year	-0.000109	-0.000495***	-7.64e-05	-0.000429***	-0.000368***	-0.000127	1.07e-07	-0.000313	0.000260
	[7.83e-05]	[0.000118]	[5.52e-05]	[0.000134]	[8.24e-05]	[0.000142]	[3.91e-07]	[0.000515]	[0.000506]
1965.year	-0.000113	-0.000463***	-4.36e-05	-0.000429***	-0.000337***	-0.000126	4.44e-07	0.00232	0.00290
	[7.97e-05]	[0.000121]	[5.63e-05]	[0.000133]	[9.86e-05]	[0.000141]	[6.79e-07]	[0.00243]	[0.00245]
1966.year	1.08e-05	-0.000433***	-4.62e-05	-0.000397***	-0.000306**	-0.000127	1.60e-07	-0.000587	-2.47e-05
	[8.98e-05]	[9.80e-05]	[5.59e-05]	[0.000113]	[0.000119]	[0.000142]	[7.34e-07]	[0.000734]	[0.000744]
1967.year	-0.000112	-0.000424***	-3.97e-05	-0.000392***	-0.000298***	-0.000126	1.20e-06	-0.000701	-0.000199
	[7.90e-05]	[0.000126]	[5.91e-05]	[0.000138]	[0.000112]	[0.000141]	[1.33e-06]	[0.000806]	[0.000814]
1968.year	-0.000111	-0.000491***	-7.46e-05	-0.000427***	-0.000365***	-0.000127	3.91e-07	0.000151	0.000700***
	[7.91e-05]	[0.000117]	[5.46e-05]	[0.000133]	[8.30e-05]	[0.000142]	[6.04e-07]	[0.000272]	[0.000216]
1969.year	-7.27e-05	-0.000498***	-7.82e-05	-0.000432***	-0.000371***	-0.000127	-2.51e-07	0.000234	0.000924***
	[5.82e-05]	[0.000118]	[5.35e-05]	[0.000134]	[8.60e-05]	[0.000142]	[7.06e-07]	[0.000295]	[0.000293]
1970.year	-3.13e-05	-0.000489***	-7.31e-05	-0.000426***	-0.000363***	-0.000126	6.34e-07	0.000107	0.000880***
	[6.29e-05]	[0.000117]	[5.44e-05]	[0.000133]	[8.38e-05]	[0.000141]	[9.08e-07]	[0.000299]	[0.000296]
1971.year	-3.18e-05	-0.000337**	7.90e-05	-0.000365**	-0.000211	-0.000126	9.95e-07	1.95e-05	0.000796***
	[8.95e-05]	[0.000151]	[9.66e-05]	[0.000150]	[0.000160]	[0.000141]	[1.12e-06]	[0.000327]	[0.000296]
1972.year	-3.03e-05	-0.000462***	-4.21e-05	-0.000429***	-0.000366***	-9.60e-05	5.00e-07	6.10e-05	0.000853***
	[9.14e-05]	[0.000122]	[5.71e-05]	[0.000133]	[8.34e-05]	[0.000139]	[7.43e-07]	[0.000317]	[0.000305]
1973.year	-6.68e-05	-0.000481***	-6.86e-05	-0.000419***	-0.000355***	-0.000126	1.29e-06	8.68e-05	0.000960***
	[8.52e-05]	[0.000116]	[5.39e-05]	[0.000134]	[8.50e-05]	[0.000141]	[1.50e-06]	[0.000328]	[0.000332]
1974.year	-2.37e-05	-0.000492***	-7.38e-05	-0.000428***	-0.000366***	-0.000127	3.08e-07	8.32e-05	0.000828***
	[8.82e-05]	[0.000117]	[5.47e-05]	[0.000133]	[8.26e-05]	[0.000142]	[4.91e-07]	[0.000338]	[0.000307]
1975.year	-2.74e-05	-0.000427***	-3.93e-05	-0.000393***	-0.000330***	-9.73e-05	1.64e-06	0.000415	0.00113***
