Regime change, within cells						
	(1)	(2)	(3)	(4)	(5)	(6)
	Onset Gov	Trend control		transition 5MA		
	Cell-FE	Cell-FE	IsoXCell-FE	Cell-FE	Cell-FE	Cell-FE
VARIABLES	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0
						
1o.onsetGov	-	-	-	-		
						
	[0.178]	[0.0535]	[0.175]	[0.0376]	[0.178]	[0.178]
1984.year	0.261	0.265	0.262	0.0544	0.261	0.261
	[0.404]	[0.242]	[0.401]	[0.0831]	[0.404]	[0.404]
1985.year	0.302	0.307	0.302	0.151	0.302	0.301
	[0.390]	[0.224]	[0.387]	[0.127]	[0.390]	[0.390]
1986.year	0.350	0.359*	0.350	0.159	0.350	0.350
	[0.375]	[0.207]	[0.372]	[0.124]	[0.375]	[0.375]
1987.year	0.471	0.479***	0.471	0.264	0.471	0.471
	[0.345]	[0.168]	[0.342]	[0.166]	[0.345]	[0.345]
1988.year	0.488	0.506***	0.488	0.281*	0.488	0.488
	[0.336]	[0.162]	[0.333]	[0.159]	[0.336]	[0.336]
1989.year	0.475	0.495***	0.476	0.286*	0.475	0.475
	[0.339]	[0.164]	[0.336]	[0.158]	[0.339]	[0.339]
1990.year	0.427	0.453**	0.431	0.185	0.427	0.427
	[0.357]	[0.178]	[0.354]	[0.116]	[0.357]	[0.357]
1991.year	0.366	0.390**	0.365	0.167	0.366	0.366
	[0.349]	[0.175]	[0.348]	[0.112]	[0.349]	[0.349]
1992.year	0.341	0.364**	0.340	0.0879	0.341	0.341
	[0.356]	[0.179]	[0.354]	[0.0726]	[0.356]	[0.356]
1993.year	0.335	0.366**	0.334	0.0758	0.335	0.335
	[0.357]	[0.178]	[0.356]	[0.0746]	[0.357]	[0.357]
1994.year	-0.00537	0.0316	-0.00659	0.0101	-0.00540	-0.00550
	[0.188]	[0.112]	[0.188]	[0.0408]	[0.188]	[0.189]
1995.year	0.00742	0.0554	0.00588	0.0115	0.00743	0.00734
	[0.184]	[0.116]	[0.184]	[0.0395]	[0.184]	[0.184]
1996.year	0.283	0.327*	0.282	0.0701	0.283	0.283
	[0.367]	[0.182]	[0.366]	[0.0756]	[0.367]	[0.367]
1997.year	0.256	0.308*	0.257	0.0636	0.256	0.256
	[0.373]	[0.184]	[0.371]	[0.0769]	[0.373]	[0.373]
