	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	N	mean	sd	min	max	p10	p50	p90
								
avg_ConfIntra	21,203	0.0341	0.116	0	0.934	0	0	0.0833
avg_ConfTerr	21,203	0.0101	0.0664	0	0.934	0	0	0
avg_ConfGov	21,203	0.0257	0.102	0	0.738	0	0	0.0333
avg_ConfIntense	21,203	0.00849	0.0341	0	0.346	0	0	0
avg_ConfNonIntense	21,203	0.0263	0.0924	0	0.918	0	0	0.0833
avg_ConfTerrIntense	21,203	0.00281	0.0212	0	0.346	0	0	0
avg_ConfGovIntense	21,203	0.00567	0.0264	0	0.283	0	0	0
avg_ConfType3	21,203	0.0338	0.116	0	0.918	0	0	0.0833
avg_ConfType4	21,203	0.000281	0.00381	0	0.0851	0	0	0
avg_loggcppc	21,203	9.514	1.109	6.165	11.31	7.704	10.14	10.48
avg_logpop	21,203	8.056	3.516	0	16.65	3.067	8.277	12.53
avg_logdens	21,203	0.339	3.410	-7.912	8.961	-4.557	0.512	4.740
avg_onset	21,203	5.56e-05	0.00128	0	0.0641	0	0	0
avg_onsetInter	21,203	2.28e-06	0.000332	0	0.0484	0	0	0
avg_onsetIntra	21,203	5.09e-05	0.00122	0	0.0641	0	0	0
avg_onsetTerr	21,203	2.85e-05	0.000964	0	0.0641	0	0	0
avg_onsetGov	21,203	2.60e-05	0.000818	0	0.0484	0	0	0
avg_onsetIntense	21,203	6.99e-06	0.000434	0	0.0484	0	0	0
avg_onsetNonIntense	21,203	4.39e-05	0.00113	0	0.0641	0	0	0
avg_onsetTerrIntense	21,203	7.99e-07	0.000116	0	0.0169	0	0	0
avg_onsetGovIntense	21,203	6.19e-06	0.000418	0	0.0484	0	0	0
avg_onsetType3	21,203	4.76e-05	0.00119	0	0.0641	0	0	0
avg_onsetType4	21,203	3.32e-06	0.000243	0	0.0204	0	0	0
population	820	5.338e+06	1.497e+07	82,607	6.763e+07	613,097	1.415e+06	8.999e+06
gdppc	294	3,964	140.2	2,796	3,985	3,985	3,985	3,985
logpop_iso	820	14.23	1.233	11.32	18.03	13.33	14.16	16.01
loggdppc_iso	294	8.284	0.0409	7.936	8.290	8.290	8.290	8.290
democ	20,995	9.175	1.353	0	10	8	10	10
democ_cap	20,995	7.866	3.176	-6.281	10	2.638	10	10
autoc	20,995	0.0864	0.428	0	6	0	0	0
autocracy	20,995	0.0130	0.113	0	1	0	0	0
autocracy2	20,995	0.0541	0.226	0	1	0	0	0
autocracy3	20,866	0.0449	0.207	0	1	0	0	0
_isocode	21,203	96.22	81.17	11	223	11	53	211
tag_gid	21,203	1	0	1	1	1	1	1
sample	21,203	1	0	1	1	1	1	1
								
