Average probability of onset types - cross-cells														
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0
	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls	full controls
VARIABLES	ConfGov	ConfTerr	ConfType3	ConfType4	Intense	NonIntense	Interstate	onset Gov	onset Terr	onset Type3	onset Type4	onset Intense	onset NonIntense	onset Interstate
														
	[0.0192]	[0.00428]	[0.0161]	[0.00492]	[0.0148]	[0.00648]	[0.00345]	[2.62e-05]	[2.42e-05]	[2.70e-05]	[1.56e-05]	[1.58e-05]	[3.06e-05]	[2.36e-06]
ycoord	-0.00268	-0.000897	-0.00418	0.000180	-0.00153	-0.00220	0.000303	-1.60e-06	-1.16e-06	-3.29e-06	5.48e-07	-4.99e-07	-3.23e-06	-1.12e-07
	[0.00287]	[0.00117]	[0.00272]	[0.000709]	[0.00214]	[0.00141]	[0.000317]	[2.26e-06]	[2.21e-06]	[3.07e-06]	[6.12e-07]	[1.05e-06]	[3.29e-06]	[2.22e-07]
avg_degtemper	-0.00264	-0.000334	-0.00305*	-0.000114	-0.00153	-0.00152**	0.000191	-5.46e-06*	-2.04e-06	-6.29e-06**	-8.52e-07	-1.77e-06	-6.25e-06**	1.36e-07
	[0.00178]	[0.000289]	[0.00157]	[0.000389]	[0.00137]	[0.000678]	[0.000211]	[2.80e-06]	[1.78e-06]	[2.58e-06]	[8.97e-07]	[1.40e-06]	[2.63e-06]	[1.88e-07]
avg_prec	5.39e-06	-2.03e-05	-2.17e-05	8.11e-06	1.28e-05	-2.40e-05	-6.00e-07	-5.29e-08	3.23e-08	-1.49e-08	-1.03e-08	3.01e-08	-1.60e-08	-4.01e-09
	[1.42e-05]	[3.02e-05]	[3.39e-05]	[6.77e-06]	[9.44e-06]	[3.48e-05]	[8.94e-07]	[4.66e-08]	[5.79e-08]	[6.47e-08]	[1.92e-08]	[5.88e-08]	[5.84e-08]	[4.26e-09]
														
Observations	14,676	14,676	14,676	14,676	14,676	14,676	14,676	32,116	32,116	32,116	32,116	32,116	32,116	32,116
R-squared	0.849	0.893	0.850	0.928	0.866	0.863	0.680	0.058	0.024	0.049	0.023	0.017	0.051	0.011
Country FEs	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in brackets														
*** p<0.01, ** p<0.05, * p<0.1														
