"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"bartik_wage","4.03296",".9886063","4.07944",".0000647","3.440293",".6238455","5.514655","8.53e-08","","","","","","","",""
"elasticity","-1.000374","1.057566","-.9459209",".345308","-1.090358",".675925","-1.613135",".1079473","","","","","","","",""
"c.bartik_wage#c.elasticity",".6796479",".717199",".9476421",".3444329",".742499",".4656113","1.594676",".1120186","","","","","","","",""
"WRLURI","","","","","","","","","-1.121485",".0822696","-13.63182","1.79e-32","","","",""
"unaval","","","","","","","","","","","","","-1.433958",".2496743","-5.743317","2.52e-08"
"_cons","-5.849198","1.453692","-4.023684",".0000807","-4.999615",".9162221","-5.456771","1.14e-07","-.1154521",".067753","-1.704013",".089542",".3735773",".0838455","4.455544",".0000123"
"N","217","","","","269","","","","269","","","","269","","",""
"r2",".3107618","","","",".3499246","","","",".4103701","","","",".1099575","","",""
"df_m","3","","","","3","","","","1","","","","1","","",""
"df_r","204","","","","256","","","","267","","","","267","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
