"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"int_uf_57",".6259479",".5571536","1.123475",".2660293",".6259479",".5571763","1.123429",".2660486",".74134",".5397799","1.373412",".1750982",".671888",".5655642","1.187996",".2398491",".6720485",".565104","1.189247",".2393605",".7936056",".5464519","1.452288",".1520017","","","","","","","","","","","","","","","",""
"int_uf_58","-2.501073",".7653155","-3.268028",".0018534","-2.501073",".7653467","-3.267895",".0018541","3.477523",".7722745","4.502961",".0000344","-2.586295",".790512","-3.27167",".0018335","-2.586592",".7901742","-3.273446",".0018238","3.488559",".7752961","4.499648",".0000348","","","","","","","","","","","","","","","",""
"int_uf_59","1.198104",".7554414","1.585965",".1183784","1.198104",".7554722","1.5859",".1183931","-4.939085","1.475343","-3.347753",".0014613","1.080894",".7630598","1.416526",".1621606","1.080484",".7631816","1.415763",".1623828","-4.317693","1.447496","-2.98287",".0042235","","","","","","","","","","","","","","","",""
"int_uf_60","-3.720449",".5675642","-6.555116","1.88e-08","-3.962095","1.124164","-3.52448",".0008535","-2.758275","1.375396","-2.00544",".0497574","-3.049689",".4979891","-6.124008","9.55e-08","-3.252814","1.080465","-3.010568",".0039061","-2.039223","1.343102","-1.518293",".1345662","","","","","","","","","","","","","","","",""
"int_uf_61","-5.662161",".449454","-12.59787","5.58e-18","-5.910997",".9764753","-6.053402","1.24e-07","-7.562891","1.219294","-6.202681","7.10e-08","-5.11818",".5130036","-9.97689","4.97e-14","-5.327804","1.003394","-5.309781","1.95e-06","-6.996132","1.24507","-5.619066","6.28e-07","","","","","","","","","","","","","","","",""
"int_uf_62","0",".",".",".","0",".",".",".","-.8459663",".2407002","-3.514605",".0008799","0",".",".",".","0",".",".",".","-.8625956",".2418156","-3.567163",".0007479","","","","","","","","","","","","","","","",""
"int_uf_63","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","","","","","","","","","","","","","","","",""
"int_uf_64","-5.927595","1.477647","-4.01151",".0001807","-5.927595","1.477707","-4.011347",".0001808","0",".",".",".","-6.022868","1.506844","-3.997009",".0001895","-6.0232","1.506722","-3.997553",".0001891","0",".",".",".","","","","","","","","","","","","","","","",""
"int_uf_65","-1.261106",".7570796","-1.665751",".1013481","-1.261106",".7571105","-1.665683",".1013617","-7.31934","1.460868","-5.010266","5.77e-06","-1.41261",".7748177","-1.823152",".0736197","-1.413139",".7749822","-1.823447",".0735743","-6.740078","1.452669","-4.639789",".0000214","","","","","","","","","","","","","","","",""
"int_uf_66","-4.231688",".4845587","-8.733076","4.88e-12","-4.473333","1.089946","-4.104177",".000133","-3.246411","1.33352","-2.434467",".0181266","-3.594912",".4195275","-8.568955","9.04e-12","-3.798155","1.056525","-3.594951",".000686","-2.564946","1.310402","-1.957373",".0552947","","","","","","","","","","","","","","","",""
