"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"pm","4.549212","1.345983","3.379844",".0011021",".992486",".4077056","2.43432",".0170382","2.345029",".9984234","2.348732",".0211861",".0814261",".0440978","1.84649",".0683429"
"temp","4.046842","3.578007","1.131033",".2612602",".8053326",".6773965","1.188864",".2378431","2.076066","2.48619",".8350394",".4060643","-.2535705",".0990198","-2.560807",".0122308"
"humid","1.492361","1.304464","1.144042",".2558559",".1168283",".1962131",".5954155",".5531666",".8854539",".9296634",".9524457",".3436036",".0098231",".02727",".3602166",".7195893"
"temp2","-.0453534",".048535","-.9344467",".352752","-.015863",".0107146","-1.480505",".1424796","-.0190787",".0309225","-.6169825",".538915",".0057981",".00159","3.646673",".0004597"
"humid2","-.0051322",".0052324","-.9808474",".3294846",".0000359",".0008409",".0427295",".9660186","-.0032296",".0036512","-.8845237",".3789384","-.0001246",".0001084","-1.149338",".2536787"
"temphumid","-.0282483",".0281853","-1.002234",".3191089","-.0043361",".0045773","-.9473013",".3462025","-.0154737",".0202898","-.7626359",".4478169",".0009356",".0006931","1.349905",".1806729"
"N","89492","","","","89492","","","","89492","","","","89492","","",""
"r2","-.0010124","","","","-.0009037","","","","-.0005064","","","",".0005063","","",""
"df_m","6","","","","6","","","","6","","","","6","","",""
"df_r","84","","","","84","","","","84","","","","84","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
