"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"bwdifblk","-4986.219","2192.568","-2.274146",".0274673","50.26137","485.4933",".1035264",".9179766","-792.7424","1074.376","-.7378635",".4641896","-1754.972","956.9763","-1.833871",".0728767","-452.4288","327.8538","-1.379971",".1739897","-2036.337","424.4143","-4.797994",".000016"
"bwdifpov","639.65","2909.136",".2198762",".8269","205.189","494.1648",".4152239",".6798283","96.06576","2041.596",".0470542",".9626652","124.6452","1202.112",".1036885",".9178486","-613.2167","433.0325","-1.416099",".1632034","826.9664","488.8269","1.691737",".0971795"
"bwdifhsp","-3798.773","3653.456","-1.039775",".3036536","-499.6397","633.4563","-.7887517",".4341357","-2876.866","1454.471","-1.977947",".0536907","500.0854","1594.727",".3135869",".7551935","162.3654","616.7856",".2632445",".7934889","-1084.718","610.1704","-1.77773",".0817837"
"bwdifpsch","285.298","394.2324",".7236798",".4727746","103.0798","29.97517","3.43884",".0012175","14.19788","231.9546",".0612098",".9514463","223.3068","121.0266","1.845105",".0711964","-89.03353","58.75448","-1.515349",".1362422","33.74705","67.46664",".5002035",".6192174"
"bwdifspec","1230.825","4063.614",".3028893",".7632831","343.2507","841.9817",".40767",".6853286","-1628.313","2635.678","-.6177968",".5396295","687.3831","2434.538",".2823464",".7788918","469.4841","816.5332",".5749725",".5679953","1359.021","1128.031","1.204773",".2341977"
"bwdifell","1673.917","2045.324",".8184118",".4171667","309.8317","272.118","1.138593",".2605237","1254.679","1140.316","1.100291",".2766931","-1012.403","878.011","-1.153064",".2545938","339.6818","244.5435","1.389045",".1712303","782.1275","453.9375","1.722985",".0913288"
"bwdifcity","-325.766","529.1541","-.6156353",".5410435","-114.161","58.39213","-1.955075",".0564106","-300.3027","286.9144","-1.046663",".3004972","245.941","229.4213","1.072006",".2890777","-9.333743","60.94229","-.1531571",".8789165","-147.9096","80.64543","-1.834073",".0728463"
"bwdifothgeo","-479.8929","717.2287","-.6690932",".5066416","-270.2423","90.12964","-2.998373",".0042909","-199.255","370.158","-.5382972",".5928594","-65.58802","341.509","-.1920535",".8485105","-69.49158","73.77817","-.941899",".3509609","124.684","160.3386",".7776294",".4406036"
"prop_pov","2534.736","3404.009",".7446325",".4601242","-73.49671","466.9875","-.1573847",".8756018","730.5065","2011.84",".3631037",".7181216","1502.815","1322.932","1.135973",".2616079","222.0628","252.0237",".8811186",".3826444","152.8483","500.2966",".3055154",".7612946"
"prop_black","-9786.5","4741.323","-2.064086",".0444372","-1034.148","528.7643","-1.955783",".0563246","-3469.361","2733.247","-1.269319",".2104476","-4435.206","1711.217","-2.591844",".0126111","-390.6526","597.6808","-.6536141",".5164795","-457.1316","691.4699","-.6611012",".5117083"
"prop_hisp","-6784.509","3237.183","-2.095807",".0413972","-205.8217","403.1473","-.5105372",".6120152","-2544.864","1535.254","-1.657618",".1039172","-3297.039","1374.643","-2.398469",".0203987","-644.1378","261.3422","-2.464729",".017342","-92.64721","581.7995","-.1592425",".874146"
"prop_asian","-4390.684","8642.63","-.5080263",".6137617","-1611.319","1320.85","-1.219911",".2284588","2978.958","4586.445",".6495134",".5191028","471.8667","5233.534",".0901622",".9285335","-2699.139","936.7424","-2.88141",".0059034","-3531.051","2033.217","-1.736682",".0888579"
"prop_ind","-12234.81","7735.448","-1.581654",".1202962","-1046.267","1023.402","-1.022343",".3117439","-4519.694","4200.443","-1.076004",".2873041","-3840.475","3265.757","-1.175983",".2454014","-2375.022","640.9132","-3.705684",".0005452","-453.3482","1021.286","-.4438995",".65911"
"1999.year","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"2000.year","151.9096","74.2068","2.047111",".0461424","12.93605","7.806926","1.656997",".1040432","59.39508","44.80227","1.325716",".1912088","37.7648","27.83233","1.356868",".1811702","17.8808","8.649857","2.067179",".0441325","23.93286","13.2912","1.800655",".0780421"
"2001.year","164.318","96.33912","1.70562",".0945429","-2.264467","13.52375","-.1674437",".8677244","54.84019","61.78284",".8876281",".3791671","59.8086","41.83254","1.429715",".1592758","24.5092","12.78022","1.917744",".061104","27.42446","20.22275","1.356119",".1814068"
"2002.year","177.3314","114.6698","1.546452",".1285639","1.119556","13.92465",".080401",".9362526","56.46149","72.45592",".779253",".4396559","67.33491","49.66281","1.355842",".1814944","30.00273","13.93775","2.152624",".0364042","22.41269","20.48609","1.094045",".2793953"
"2003.year","242.1739","110.5577","2.190475",".0333792","17.90344","13.08194","1.368561",".1775081","89.64899","70.30662","1.275114",".2084062","89.96481","46.50899","1.934353",".0589762","34.65914","12.03773","2.879209",".0059386","9.997549","19.32297",".5173918",".6072589"
"2004.year","289.3376","127.2853","2.273143",".0275323","9.449903","15.75978",".5996214",".5515787","103.6885","73.24698","1.415601",".1633484","128.2406","56.70381","2.261586",".0282907","45.69211","14.49793","3.15163",".0027962","2.266588","25.66425",".0883169",".9299922"
