	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lnbpu	lnbpu	lnbto	lnbto	lnbpr	lnbpr
						
disdm4_south		-0.03		0.01		2.02***
		(0.144)		(0.192)		(0.746)
disdm4_nonsouth		-0.76***		-0.28		1.31***
		(0.244)		(0.186)		(0.485)
disdm4	-0.40**		-0.14		1.63***	
	(0.165)		(0.134)		(0.460)	
						
Observations	305	305	305	305	304	304
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
