"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"post_covid",".2246039",".040477","5.548922","3.36e-08",".2087039",".0296539","7.037991","2.88e-12","","","","","","","","","","","","","","","",""
"ln_enroll","","","","","-.1158485",".0212104","-5.461864","5.45e-08","-.1160933",".0211989","-5.476392","5.03e-08","-.2153911",".0390049","-5.522159","4.90e-08","0",".",".",".","0",".",".","."
"town","","","","",".4872264",".2594198","1.878139",".0605432",".4850286",".2591798","1.871399",".0614715",".2475236",".2377278","1.041206",".2981793","0",".",".",".","0",".",".","."
"rural","","","","","-.0209897",".1293421","-.1622803",".8711055","-.024389",".1293684","-.1885233",".8504903",".09251",".2000468",".4624419",".6439241","0",".",".",".","0",".",".","."
"urban","","","","","-.0443157",".0630233","-.7031644",".4820552","-.0480139",".0630341","-.7617126",".4463434",".0576515",".0973886",".5919742",".5540802","0",".",".",".","0",".",".","."
"perblk","","","","","-1.333926",".2019203","-6.6062","5.35e-11","-1.340889",".2021235","-6.634007","4.45e-11","-2.739764",".3471663","-7.891792","1.32e-14","0",".",".",".","0",".",".","."
"perhsp","","","","","-1.176968",".1737127","-6.775369","1.74e-11","-1.171388",".1739383","-6.734502","2.28e-11","-3.243442",".3320802","-9.767042","4.46e-21","0",".",".",".","0",".",".","."
"perfrl","","","","",".6243202",".2278017","2.740631",".0062001",".620549",".2289511","2.7104",".0067917",".406503",".3889992","1.044997",".2964251","0",".",".",".","0",".",".","."
"district_pct_trump","","","","","-.4714178",".1936269","-2.434671",".0150136","-.4694124",".1938164","-2.421944",".0155478","-1.97142",".305883","-6.445013","2.30e-10","0",".",".",".","0",".",".","."
"agg_all","","","","",".5758921",".1265949","4.549093","5.79e-06",".571241",".1267114","4.508204","7.01e-06","-.3226689",".2177908","-1.481554",".138959","0",".",".",".","0",".",".","."
"miss_scores","","","","","-.1918343",".07135","-2.688639",".0072486","-.1930736",".0713092","-2.707554",".00685","0",".",".",".","0",".",".",".","0",".",".","."
"baplusall","","","","",".3633298",".3154376","1.151828",".2495633",".3609593",".3161408","1.141767",".2537209",".5042775",".369516","1.364697",".1728354","0",".",".",".","0",".",".","."
"subdivision","","","","","-1.094936",".0465988","-23.4971","3.5e-105","-1.092697",".0465351","-23.48112","4.7e-105","-1.034566",".0792478","-13.05482","1.21e-34","0",".",".",".","0",".",".","."
"pri_partisan","","","","","-.1629876",".1722699","-.9461175",".344231","-.1673974",".1720597","-.9729029",".3307481","-.4234526",".2175562","-1.946406",".0520502","-.1689947",".5740807","-.2943745",".7685098","-2.019276",".8919863","-2.263797",".0239259"
"pri_nonpart","","","","",".2242859",".0905578","2.476717",".013362",".2289873",".0903587","2.534202",".0113647","1.407497",".1250116","11.25893","6.41e-27",".4240391",".4485739",".9453048",".3446455","0",".",".","."
"any_incumbent","","","","","-.0259226",".0376373","-.6887488",".4910808","-.0263409",".0375644","-.7012197",".4832675","-.0080854",".0580147","-.1393682",".8892038",".0408322",".0584124",".6990336",".4846323","-.0810892",".1089216","-.7444729",".456868"
"4.el_month","","","","","-.9711262",".0876837","-11.07534","1.59e-27","-.980219",".0864386","-11.34007","9.95e-29","-.1265584",".1338847","-.9452791",".3448788","-1.11754",".3840376","-2.909975",".0036643","1.448599",".3598781","4.02525",".0000638"
"5.el_month","","","","","-1.284339",".0584836","-21.96068","1.10e-93","-1.287929",".05846","-22.03093","3.34e-94",".113517",".1163074",".9760083",".329435","-1.56998",".4463468","-3.517398",".0004479",".9829397",".0818584","12.0078","4.68e-30"
"6.el_month","","","","","-.7491678",".0838908","-8.930275","1.14e-18","-.9122326",".1080481","-8.442842","6.82e-17","-.1974049",".1183704","-1.667688",".0958747","-1.333624",".4444076","-3.000903",".0027333",".9547917",".3711894","2.57225",".0103319"
"8.el_month","","","","","-.578062",".0990206","-5.837797","6.39e-09","-.6408059",".1070111","-5.988218","2.61e-09","0",".",".",".","-1.214916",".4762346","-2.551087",".0108308","0",".",".","."
"11.el_month","","","","","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"summer2020","","","","","","","","",".442303",".1062794","4.161699",".0000333",".5041883",".0986176","5.112558","4.22e-07",".28266",".1505204","1.877885",".060578",".6113559",".1358427","4.500467","8.08e-06"
"ay2022","","","","","","","","",".1961429",".0294774","6.654015","3.90e-11",".2879408",".0472935","6.088377","1.98e-09",".1065907",".0389865","2.734043",".0063249",".2451009",".0818584","2.994205",".0028595"
"_cons","-2.681793",".0416518","-64.38594","0","-.775868",".2554369","-3.037415",".0024246","-.7647874",".2561059","-2.986216",".0028673","-.202595",".3726181","-.543707",".5868355","-2.164504",".1145934","-18.88857","5.08e-72","-4.032929",".1621667","-24.86903","1.22e-95"
"N","2196","","","","2196","","","","2196","","","","821","","","","2196","","","","821","","",""
"r2",".0089192","","","",".5318603","","","",".5331039","","","",".6214198","","","",".9789032","","","",".9794034","","",""
"df_m","1","","","","20","","","","21","","","","19","","","","9","","","","6","","",""
"df_r","1606","","","","1606","","","","1606","","","","630","","","","1606","","","","630","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
