"","est1","","",""
"","b","se","t","p"
"fundgap_1_bd","-.0086372",".0008393","-10.29086","2.16e-24"
"1.StateEncode","0",".",".","."
"2.StateEncode","-.4695564",".1523678","-3.081731",".0020787"
"3.StateEncode","-.4063234",".1128555","-3.600387",".0003234"
"4.StateEncode","-.2512296",".3158229","-.7954762",".4264061"
"5.StateEncode",".1843758",".150029","1.228934",".2192031"
"6.StateEncode","-.2333014",".1159708","-2.011726",".0443475"
"7.StateEncode","-.2978636",".1178792","-2.526854",".0115653"
"8.StateEncode",".0856223",".0766668","1.116812",".2641737"
"9.StateEncode","-.4234321",".1125617","-3.761776",".0001723"
"10.StateEncode","-.2499657",".1468347","-1.702361",".0888022"
"11.StateEncode",".3570571",".0935067","3.818519",".0001373"
"12.StateEncode","-.4079387",".1123547","-3.630812",".0002878"
"13.StateEncode",".2833448",".1689872","1.676723",".0937118"
"14.StateEncode","-.2449873",".1347812","-1.817666",".0692254"
"15.StateEncode","-.3296011",".1119575","-2.943985",".0032677"
"16.StateEncode","-.0915437",".133442","-.6860186",".49276"
"17.StateEncode","-.2110741",".1332001","-1.584639",".113165"
"18.StateEncode","-.1420912",".1585225","-.8963472",".3701468"
"19.StateEncode",".0573661",".1670907",".3433228",".7313822"
"20.StateEncode","-.3801666",".1126264","-3.375467",".0007473"
"21.StateEncode","-.1453572",".1283296","-1.132686",".257446"
"22.StateEncode","-.1875955",".1160784","-1.616111",".1061865"
"23.StateEncode","-.3617139",".1172452","-3.085106",".0020553"
"24.StateEncode","-.3249206",".1486321","-2.186073",".0288954"
"25.StateEncode","-.0549137",".1798173","-.3053862",".7600954"
"26.StateEncode","-.3362428",".1157725","-2.904341",".00371"
"27.StateEncode","-.389948",".1111569","-3.508087",".0004587"
"28.StateEncode","-.3647542",".1375361","-2.652062",".0080468"
"29.StateEncode","-.1018833",".2297217","-.4435077",".6574339"
"30.StateEncode",".1942583",".1258919","1.543056",".1229337"
"31.StateEncode","-.3240631",".1460607","-2.218687",".0265905"
"32.StateEncode","-.2786922",".1167008","-2.388092",".0170041"
"33.StateEncode","-.0729391",".1442855","-.505519",".6132354"
"34.StateEncode",".1071675",".1291152",".8300145",".4066036"
"35.StateEncode",".0057725",".1459294",".039557",".9684492"
"36.StateEncode","-.2887779",".1302218","-2.217584",".0266657"
