"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyear_2001","298.3618","268.7752","1.110079",".2870768","105.8138","53.06923","1.993882",".0675764","582.2292","327.0107","1.780459",".0983695"
"_Iyear_2002","223.7254","230.8087",".9693108",".3500794","62.23701","44.43906","1.400502",".1847769","438.7377","270.4755","1.622098",".1287724"
"_Iyear_2003","207.6572","192.7044","1.077594",".3008054","24.96071","40.72651",".612886",".5505237","378.3159","234.2306","1.615143",".130278"
"_Iyear_2004","186.0949","169.5893","1.097327",".2924086","10.24217","28.50538",".3593067",".7251345","305.3253","205.8799","1.483027",".1619012"
"_Iyear_2005","181.1037","185.3632",".9770208",".3463907","-14.27603","26.24366","-.54398",".5956621","306.5696","231.71","1.323075",".2086111"
"_Iyear_2006","110.7958","134.7481",".8222441",".4257627","-7.485937","22.49804","-.3327372",".7446373","187.0158","172.4617","1.08439",".2978933"
"_Iyear_2007","149.0855","107.3332","1.388997",".1881697","1.372963","12.78659",".1073752",".9161308","208.9717","141.5935","1.475857",".1637895"
"_Iyear_2008","82.02659","77.30702","1.06105",".3079827","0",".",".",".","113.9815","94.33345","1.208283",".2484591"
"_Iyear_2009","6.580365","24.7767",".2655868",".7947226","-34.96672","15.65504","-2.233576",".043712","12.82595","32.88673",".3900038",".7028487"
"_Iyear_2010","0",".",".",".","-29.55166","15.45618","-1.911964",".0781729","0",".",".","."
"_Iyear_2011","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyear_2012","0",".",".",".","0",".",".",".","0",".",".","."
"literacy","21.52404","40.26058",".5346181",".6019383","8.458693","6.096155","1.387546",".1886014","33.23018","46.52913",".7141802",".4877417"
"urban","63.07196","18.87454","3.341642",".0053053","8.463759","11.99592",".7055534",".4929158","67.64853","21.07718","3.209562",".0068405"
"pcgdp",".0169524",".0093222","1.818492",".0920938","-.0035417",".003747","-.9452065",".3617911",".025027",".012511","2.000401",".0667924"
"unemp","84.04076","51.97736","1.616872",".1299022","38.98182","16.7325","2.329707",".0365828","136.0883","61.92772","2.197534",".0467086"
"pcpolice","577.6033","352.8928","1.636767",".125646","100.8605","70.70062","1.426586",".1772724","698.9111","425.2811","1.64341",".1242522"
"_cons","-2609.752","2181.16","-1.196497",".2528686","-1920.711","1249.387","-1.537323",".1481908","-3715.118","2645.835","-1.404138",".1837154"
"N","234","","","","294","","","","234","","",""
"r2",".8601285","","","",".9558783","","","",".8936709","","",""
"df_m","12","","","","12","","","","12","","",""
"df_r","13","","","","13","","","","13","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
