"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"mun_budget_revenue2000_pred_c",".1380655",".0185022","7.462102","5.98e-12",".1064004",".0114922","9.25847","1.77e-16",".1777409",".0175414","10.13267","8.79e-19",".1253799",".0142068","8.825347","2.34e-15",".0538338",".0070845","7.5988","2.79e-12",".81848",".0251103","32.59533","9.64e-71"
"longitude1998","8.094371","4.930634","1.641649",".1027167","-1.058146","5.010464","-.2111873",".8330221","1.221669","6.032765",".2025056",".8397905","-5.21185","3.798592","-1.372048",".1720569","2.29213","2.524679",".9078898",".3653642",".4897292","6.344709",".077187",".9385756"
"latitude1998","4.896988","4.01458","1.219801",".2244173","1.142478","2.763911",".4133556",".6799248","-1.00399","4.231375","-.2372727",".8127627","1.320012","2.9088",".4537995",".6506162",".9161971","2.053607",".4461403",".6561266","7.52944","6.098342","1.23467",".2188462"
"coastal","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"dist_federal_capital1998","-.0618317",".0393982","-1.569404",".1186196","-.0725071",".0363688","-1.99366",".0479666",".093422",".0363718","2.568526",".0111701","-.0263239",".0346772","-.7591146",".4489519","-.0059998",".0195267","-.307263",".759061","-.0665224",".0525818","-1.265123",".2077507"
"dist_state_capital1998",".0736504",".0495152","1.487431",".1389591",".0425876",".0299437","1.422258",".1569868","-.0725633",".0548723","-1.322403",".1880074","-.0021317",".0307501","-.0693235",".9448227",".0116699",".0201745",".5784463",".5638133",".1044527",".0662865","1.575775",".1171431"
"state_capital","-9.083946","11.58654","-.7840086",".4342472","35.33617","18.96121","1.863603",".064294","17.15162","21.56833",".7952223",".4277161","-15.00038","11.70771","-1.281239",".2020482","42.55027","16.09059","2.644419",".0090364","45.90291","20.14584","2.27853",".0240788"
"_Isigla_2","-21.68566","94.49979","-.2294784",".8188036","-36.7781","86.27154","-.4263063",".6704839","95.88197","150.5334",".636948",".5251106","-140.7821","78.14816","-1.801477",".0735968","5.034524","45.89962",".1096855",".9128025","-198.7845","120.0426","-1.655951",".0997814"
"_Isigla_3","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_4","-229.3877","138.769","-1.653018",".1003778","-57.92185","95.18673","-.6085076",".5437532","32.68643","146.8589",".2225702",".8241668","-22.54549","94.4761","-.2386369",".8117065","-57.06232","71.5409","-.7976183",".4263282","-314.5724","204.8033","-1.535973",".1266103"
"_Isigla_5","-52.1171","74.46178","-.6999174",".4850418","-98.418","68.05071","-1.446245",".1501539","129.9045","126.5733","1.026319",".3063612","-113.2793","68.98945","-1.64198",".1026481","-1.441067","38.95914","-.0369892",".9705418","-226.4311","104.1786","-2.17349",".0312813"
"_Isigla_6","-71.29216","109.6845","-.6499748",".5166832","-28.44287","88.21284","-.3224346",".7475636","67.68725","159.359",".4247469",".6716179","-104.755","83.67061","-1.251992",".2124832","-3.095577","52.52719","-.0589329",".9530825","-228.1007","148.6477","-1.534506",".1269706"
"_Isigla_7","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_8","18.86834","57.40452",".3286909",".7428388","-61.95015","50.84384","-1.21844",".2249324","113.1951","89.19175","1.269121",".2063253","-124.1745","53.26832","-2.331113",".0210525","-2.022783","28.32903","-.0714032",".9431701","-81.3228","79.29307","-1.025598",".3066999"
"_Isigla_9","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_10","-147.8246","110.4539","-1.338338",".1827718","-41.10062","82.68775","-.4970581",".6198616","70.80585","145.609",".486274",".6274687","-66.84821","84.2191","-.7937417",".4285751","-23.36515","55.74576","-.4191377",".6757033","-283.6626","161.6254","-1.755062",".0812503"
"_Isigla_11","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_13","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_14","-177.6253","120.3252","-1.476211",".1419424","-59.95242","83.7596","-.7157677",".4752257","71.83324","139.023",".5167002",".6061115","-55.58262","86.8726","-.6398176",".5232481","-29.41335","59.32227","-.4958231",".6207307","-283.7732","177.0808","-1.602507",".111106"
"_Isigla_15","7.485903","106.136",".0705312",".943863","-33.76056","94.91084","-.3557082",".7225491","48.02978","162.689",".2952245",".7682227","-131.2744","82.02619","-1.600396",".1115735","2.083451","49.19056",".0423547",".9662712","-192.8796","132.6479","-1.454072",".1479746"
"_Isigla_16","-48.03487","102.0214","-.4708313",".6384318","-45.91825","92.05535","-.4988113",".6186287","79.55328","158.5563",".5017353",".616575","-129.9099","79.96669","-1.62455",".1063168","17.44371","47.97714",".3635839",".7166707","-238.8038","131.1188","-1.821278",".070518"
"_Isigla_17","-145.1247","104.4026","-1.390049",".1665331","-62.70403","82.93276","-.7560828",".4507621","97.3707","152.0547",".6403664",".5228923","-84.52889","83.24328","-1.015444",".3114974","-7.893042","52.98716","-.1489614",".8817802","-302.2663","150.6705","-2.006141",".0466035"
"_Isigla_18","-42.28376","33.0555","-1.279175",".2027721","-23.16933","37.88048","-.611643",".5416817","55.82482","38.96005","1.432874",".1539341","-34.00347","32.64432","-1.041635",".2992241","-2.506065","19.3339","-.1296202",".8970372","-34.26078","58.04242","-.5902714",".5558795"
"_Isigla_19","-51.92287","46.1051","-1.126185",".2618506","-35.01736","45.19267","-.7748459",".4396266","90.1223","67.38834","1.337358",".1830907","-97.11054","44.56148","-2.179249",".0308428","3.099381","25.10437",".1234598",".901905","-102.9959","63.22015","-1.629163",".1053357"
"_Isigla_20","-33.89527","110.6566","-.3063105",".7597847","-45.63754","96.69613","-.4719686",".6376216","44.89202","163.6807",".2742658",".7842503","-147.0606","83.23069","-1.766903",".0792383","8.122511","49.84462",".1629566",".8707676","-296.6914","140.0894","-2.117873",".0358021"
"_Isigla_21","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_22","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_23","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Isigla_24","-58.10879","22.20481","-2.616946",".0097622","-19.66937","16.02824","-1.227169",".2216438","23.01518","24.01206",".9584844",".3393307","10.47951","17.85647",".5868749",".5581527","-11.27605","11.07011","-1.018604",".3099992","-63.26596","26.76526","-2.363734",".019348"
"_Isigla_25","-50.84936","85.304","-.5960958",".5519921","-89.61423","76.336","-1.173944",".2422414","235.4688","158.3936","1.486606",".1391768","-140.8626","74.21937","-1.897923",".0595897","-4.341251","41.51906","-.1045604",".9168616","-167.8025","116.1499","-1.444706",".1505855"
"_Isigla_26","-49.5662","35.72113","-1.387588",".1672803","-25.09712","33.08198","-.758634",".4492386","101.8402","50.86977","2.001979",".0470544","-120.6535","38.2155","-3.157188",".0019192","-6.3964","21.0817","-.3034101",".7619895","-82.70428","54.54035","-1.516387",".1314849"
"_Isigla_27","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_cons","-69.20081","228.0085","-.3035011",".7619204","218.3682","228.5945",".9552646",".3409508","-290.5011","377.6716","-.7691897",".4429665","328.4688","197.331","1.664557",".0980477","-75.10814","115.6631","-.6493702",".5170728","384.4472","281.2135","1.367101",".173599"
"N","176","","","","176","","","","176","","","","176","","","","176","","","","176","","",""
"r2",".7558035","","","",".7283161","","","",".5940848","","","",".5230432","","","",".5626668","","","",".9617603","","",""
"df_m","21","","","","21","","","","21","","","","21","","","","21","","","","21","","",""
"df_r","153","","","","153","","","","153","","","","153","","","","153","","","","153","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
