"","est1","","",""
"","b","se","t","p"
"_IfemXpol_1_43","-.4363597",".1191914","-3.661",".0006249"
"_IfemXpol_1_44","-.5062008",".1440832","-3.513254",".0009759"
"_IfemXpol_1_45",".1689577",".1042202","1.621161",".1115348"
"_IfemXpol_1_46","-.2231688",".111832","-1.995571",".0516726"
"_IfemXpol_1_47","-.244113",".1188825","-2.053398",".0455044"
"_IfemXpol_1_48","-.2052708",".1240638","-1.654558",".1045397"
"_IfemXpol_1_49","-.2529783",".1630886","-1.551171",".1274298"
"_cons",".078841",".236585",".3332461",".7403999"
"N","1392","","",""
"r2",".1649451","","",""
"df_m","47","","",""
"df_r","48","","",""
"df_b","","","",""
"df","","","",""
