"","est1","","","","est2","","","","est3","","","","est4","","","","schooling","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"_bs_1","4.404305","3.820659","1.15276",".2490087","5.733245","4.077954","1.405912",".1597502","5.975944","4.082715","1.463718",".143271","5.956438","3.229689","1.844276",".065143","5.649066","2.877177","1.963406",".049599"
"N","336","","","","336","","","","336","","","","336","","","","336","","",""
"r2","","","","","","","","","","","","","","","","","","","",""
"df_m","","","","","","","","","","","","","","","","","","","",""
"df_r","","","","","","","","","","","","","","","","","","","",""
"df_b","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","",""
