	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties_maycoal	number_parties_maycoal	number_parties_maycoal	number_parties_maycoal	number_parties_maycoal	number_parties_maycoal
						
t15000	-0.014	-0.111	-0.024	-0.202	0.058	0.055
	(0.216)	(0.240)	(0.177)	(0.226)	(0.326)	(0.187)
pop15000	0.000	0.000	0.000*	0.000	0.001	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
pop15000_2	0.000	-0.000	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	-0.000				
	(0.000)	(0.000)				
pop15000_4		-0.000				
		(0.000)				
t15000_int1	0.000	0.001	0.000*	0.001	-0.002*	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)
t15000_int2	-0.000	-0.000	-0.000***			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
north	-0.291***	-0.293***	-0.292***	-0.481	0.083	
	(0.108)	(0.108)	(0.108)	(0.433)	(0.178)	
CE	-0.117	-0.117	-0.119	-0.224		0.173
	(0.108)	(0.109)	(0.108)	(0.376)		(0.139)
o.south	-	-	-	-		
						
area	0.000	0.000	0.000	0.000	-0.001	0.001
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
alt_max	-0.000*	-0.000*	-0.000*	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	-0.000***	-0.000***	-0.000***	-0.000	-0.001**	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
income_pc	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.048	-0.043	-0.049	-0.492	0.307	-0.308**
	(0.087)	(0.087)	(0.086)	(0.309)	(0.280)	(0.140)
active_pop	-0.447	-0.438	-0.438	-2.147	-0.204	-0.174
	(0.821)	(0.824)	(0.820)	(2.622)	(2.988)	(1.439)
family_size	-0.541***	-0.542***	-0.542***	-1.387*	-0.011	-1.041**
	(0.192)	(0.192)	(0.191)	(0.802)	(0.463)	(0.410)
duration	0.000	0.000	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
term_limit	0.075	0.075	0.075	0.121	-0.031	0.068
	(0.055)	(0.055)	(0.055)	(0.164)	(0.137)	(0.098)
o.CE					-	
						
south					0.187	0.392*
					(0.267)	(0.211)
o.north						-
						
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.092	0.093	0.091	0.083	0.109	0.095
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
