	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal
						
t15000	1.657***	1.050**	1.676***	1.426***	1.147**	1.643***
	(0.374)	(0.448)	(0.297)	(0.384)	(0.569)	(0.299)
pop15000	0.000	0.001*	0.000	0.001	0.001	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)
pop15000_2	0.000	0.000*	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	0.000				
	(0.000)	(0.000)				
pop15000_4		0.000				
		(0.000)				
t15000_int1	-0.000	-0.000	-0.000	-0.001	-0.001	0.000
	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
t15000_int2	-0.000	-0.000*	-0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000*				
		(0.000)				
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.190	0.192	0.190	0.170	0.152	0.194
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
