	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_candidates	number_candidates	number_candidates	number_candidates	number_candidates	number_candidates
						
t15000	1.220***	1.147**	1.598***	1.331***	1.779**	1.418***
	(0.375)	(0.472)	(0.297)	(0.396)	(0.677)	(0.287)
pop15000	0.000	-0.000	-0.000	-0.000	-0.003*	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.002)	(0.000)
pop15000_2	0.000	-0.000	-0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	-0.000				
	(0.000)	(0.000)				
pop15000_4		-0.000				
		(0.000)				
t15000_int1	0.000	0.002	-0.000	0.000	0.004	-0.000
	(0.001)	(0.002)	(0.000)	(0.001)	(0.002)	(0.000)
t15000_int2	-0.000	-0.000	0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
north	0.418*	0.413*	0.419*	1.174**	0.355	
	(0.235)	(0.235)	(0.235)	(0.474)	(0.421)	
CE	-0.292	-0.292	-0.293	0.575		-0.793***
	(0.180)	(0.180)	(0.180)	(0.441)		(0.220)
o.south	-	-	-	-		
						
area	-0.000	-0.000	-0.000	-0.003	-0.004	-0.002
	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)
alt_max	0.000	0.000	0.000	0.001	0.001***	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	0.000	0.000	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
income_pc	-0.000	-0.000	-0.000	0.000	-0.000***	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.091	-0.079	-0.098	0.002	1.134	0.045
	(0.144)	(0.144)	(0.143)	(0.515)	(0.775)	(0.237)
active_pop	-0.161	-0.139	-0.209	-8.454**	-6.737	-5.381**
	(1.479)	(1.481)	(1.474)	(3.917)	(4.783)	(2.595)
family_size	-0.433	-0.431	-0.440	0.419	1.079	0.248
	(0.290)	(0.289)	(0.291)	(0.915)	(1.107)	(0.504)
duration	-0.000***	-0.000***	-0.000***	-0.001**	-0.000	-0.001***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
term_limit	-0.348***	-0.348***	-0.345***	-0.601***	-0.490	-0.274*
	(0.085)	(0.084)	(0.084)	(0.193)	(0.314)	(0.144)
o.CE					-	
						
south					-1.649**	-1.012**
					(0.654)	(0.401)
o.north						-
						
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.161	0.162	0.159	0.157	0.216	0.157
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
