	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal	number_parties_oppcoal
						
t15000	1.717***	1.055**	1.746***	1.388***	1.358**	1.733***
	(0.384)	(0.462)	(0.301)	(0.392)	(0.560)	(0.302)
pop15000	0.000	0.001*	0.000	0.001	0.000	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)
pop15000_2	0.000	0.000*	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	0.000*				
	(0.000)	(0.000)				
pop15000_4		0.000*				
		(0.000)				
t15000_int1	-0.000	0.000	-0.000	-0.001	0.000	0.000
	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
t15000_int2	-0.000	-0.000**	-0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000**				
		(0.000)				
north	-0.196	-0.187	-0.197	-0.078	-0.170	
	(0.226)	(0.227)	(0.226)	(0.509)	(0.481)	
CE	-0.541***	-0.540***	-0.542***	-0.185		-0.331
	(0.187)	(0.185)	(0.187)	(0.462)		(0.252)
o.south	-	-	-	-		
						
area	0.002	0.002*	0.002	0.001	-0.000	0.002
	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.002)
alt_max	-0.000	-0.000	-0.000	-0.001**	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	0.000	0.000	0.000	-0.000	-0.001	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
income_pc	-0.000	-0.000	-0.000	-0.000	-0.000***	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.003	-0.007	-0.005	0.525	1.759**	0.020
	(0.187)	(0.188)	(0.187)	(0.546)	(0.772)	(0.327)
active_pop	-0.630	-0.651	-0.629	-4.836	-2.506	-4.587*
	(1.570)	(1.562)	(1.569)	(3.931)	(5.939)	(2.593)
family_size	-0.819***	-0.838***	-0.820***	0.016	0.821	-0.521
	(0.294)	(0.295)	(0.293)	(1.142)	(1.640)	(0.634)
duration	0.000	0.000	0.000	-0.000*	-0.001	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
term_limit	-0.046	-0.040	-0.046	0.022	0.255	0.116
	(0.090)	(0.090)	(0.090)	(0.215)	(0.329)	(0.158)
o.CE					-	
						
south					-0.895	-0.062
					(0.582)	(0.344)
o.north						-
						
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.207	0.210	0.207	0.219	0.247	0.215
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
