"","est1","","",""
"","b","se","t","p"
"Ir_n4","-.2964108",".7262131","-.4081595",".6834588"
"Ir_n3","-.3719656",".467402","-.7958151",".4267927"
"Ir_n2","-.2818864",".4143866","-.6802498",".4968909"
"Ir_n1","-.2812064",".3402068","-.8265748",".40916"
"Ir_n0","-.0144925",".3245243","-.0446575",".9644111"
"Ir_p1","-.0073501",".0360891","-.203664",".8387594"
"Ir_p2",".0174599",".0371267",".4702788",".6385105"
"Ir_p3",".0769082",".0496985","1.547496",".1228381"
"Ir_p4",".0556333",".0604155",".9208456",".3578991"
"Ir_p5",".0391374",".0677977",".5772678",".564208"
"Ir_p6",".0511554",".0641225",".7977762",".4256554"
"Ir_p7",".0731676",".0602411","1.214579",".2255181"
"Ir_p8",".0980234",".0695566","1.40926",".1598334"
"Ir_p9",".1320257",".0645584","2.04506",".0417545"
"Ir_p10",".1445793",".0726329","1.990548",".0474723"
"Ir_p11",".1186739",".0493142","2.406484",".0167345"
"P",".029208",".0211945","1.378096",".1692398"
"lnenrtot","2.656293",".861703","3.082609",".00225"
"ellpc","-.0106104",".0763929","-.1388931",".8896314"
"blackpc","-.0355492",".1545624","-.2299989",".8182554"
"lunchfrpc","-.0415362",".0225971","-1.838122",".0670707"
"yeard1","-1.192609",".9270215","-1.286496",".1992996"
"yeard2","-.795216",".9105561","-.8733301",".3832083"
"yeard3","-.9217242",".8808114","-1.046449",".2962282"
"yeard4","-.5538476",".8079112","-.6855303",".4935588"
"yeard5","-.486456",".7588611","-.6410344",".5220084"
"yeard6","-.5491871",".7096572","-.7738766",".4396364"
"yeard7","-.6324678",".6772927","-.9338175",".3511776"
"yeard8","-.6645525",".6631822","-1.002066",".3171499"
"yeard9","-.4492421",".5923809","-.7583671",".4488493"
"yeard10","-.3233591",".5631983","-.5741479",".5663143"
"yeard11",".964114",".7595551","1.269314",".2053503"
"yeard12","1.434677",".6590859","2.176768",".0303072"
"yeard13","1.760353",".5536699","3.179427",".0016359"
"yeard14","2.03844",".5479172","3.720342",".000239"
"yeard15",".8839679",".3828105","2.309153",".0216403"
"yeard16","-.0393047",".2118924","-.1854935",".8529721"
"yeard17","0",".",".","."
"_cons",".933184","5.271036",".17704",".859601"
"N","4362","","",""
"r2",".3340306","","",""
"df_m","36","","",""
"df_r","289","","",""
"df_b","37","","",""
"df","","","",""
