"","est1","","",""
"","b","se","t","p"
"I",".2812761",".2235063","1.25847",".2092374"
"N",".81471",".866263",".9404881",".3477527"
"pretrend","-.1745698",".6357033","-.2746089",".7838129"
"posttrend",".0908729",".5505273",".1650653",".869008"
"lnenrtot","29.69918","8.093365","3.669571",".0002892"
"ellpc","-.0452531",".5621821","-.0804954",".935899"
"blackpc",".3044277",".7870577",".3867921",".6991948"
"lunchfrpc","-.090994",".1309529","-.694861",".4877007"
"yeard1","-23.67064","8.934309","-2.64941",".0085069"
"yeard2","-21.51667","8.363948","-2.57255",".0105946"
"yeard3","-27.18035","7.80802","-3.481081",".0005765"
"yeard4","-30.55252","7.31632","-4.175941",".0000393"
"yeard5","-52.0697","6.799338","-7.658055","2.86e-13"
"yeard6","-56.92793","6.373523","-8.931941","5.01e-17"
"yeard7","-57.66033","5.92003","-9.739871","1.43e-19"
"yeard8","-59.3318","5.514041","-10.76013","6.25e-23"
"yeard9","-54.29946","4.985356","-10.89179","2.25e-23"
"yeard10","-46.4792","4.365526","-10.64687","1.50e-22"
"yeard11","-36.64579","3.863096","-9.486119","9.27e-19"
"yeard12","-25.79978","3.292858","-7.835071","9.01e-14"
"yeard13","-16.54861","2.756857","-6.002707","5.81e-09"
"yeard14","-9.058434","2.527035","-3.58461",".0003961"
"yeard15","-4.940383","1.89199","-2.611209",".0094932"
"yeard16","-2.803656","1.197989","-2.340302",".0199485"
"yeard17","0",".",".","."
"_cons","21.45762","49.14717",".4365993",".6627279"
"N","4369","","",""
"r2",".5412862","","",""
"df_m","23","","",""
"df_r","289","","",""
"df_b","24","","",""
"df","","","",""
