	(1)	(2)	(3)
VARIABLES	poisson	probit	Abond
			
_IstaXyear_38	0.166	0.026	
	(0.140)	(0.015)	
_IstaXyear_39	-0.188	-0.018	
	(0.118)	(0.013)	
_IstaXyear_40	-0.143	-0.020	
	(0.111)	(0.014)	
_IstaXyear_41	-0.141	-0.019	
	(0.106)	(0.013)	
_IstaXyear_42	-0.039	0.006	
	(0.121)	(0.014)	
_IstaXyear_44	0.296	0.048	
	(0.147)	(0.023)	
_IstaXyear_45	-0.102	-0.011	
	(0.107)	(0.013)	
_IstaXyear_46	-0.030	-0.003	
	(0.111)	(0.013)	
_IstaXyear_47	0.052	0.003	
	(0.110)	(0.015)	
_IstaXyear_48	-0.123	-0.074	
	(0.232)	(0.031)	
_IstaXyear_49	0.071	-0.002	
	(0.127)	(0.013)	
_IstaXyear_50	-0.210	-0.027	
	(0.109)	(0.014)	
_IstaXyear_51	-0.155	-0.029	
	(0.111)	(0.014)	
_IstaXyear_53	0.029	-0.015	
	(0.137)	(0.016)	
_IstaXyear_54	-0.194	-0.014	
	(0.129)	(0.017)	
_IstaXyear_55	-0.219	-0.025	
	(0.106)	(0.013)	
_IstaXyear_56	-0.179	-0.011	
	(0.120)	(0.016)	
o._Iyear_1979	-		
			
_Iyear_1980	40.537		
	(12.760)		
_Iyear_1981	39.183	0.083	
	(12.284)	(0.097)	
_Iyear_1982	37.304	0.031	
	(11.810)	(0.076)	
_Iyear_1983	20.084		
	(11.337)		
_Iyear_1984	18.582		
	(10.863)		
_Iyear_1985	31.821	-0.067	
	(10.402)	(0.044)	
_Iyear_1986	30.320	-0.052	
	(9.936)	(0.054)	
_Iyear_1987	30.039	0.039	
	(9.454)	(0.089)	
_Iyear_1988	27.973	0.034	
	(8.981)	(0.093)	
_Iyear_1989	25.796	-0.041	
	(8.524)	(0.063)	
_Iyear_1990	25.111	0.048	
	(8.037)	(0.094)	
_Iyear_1991	22.764	-0.049	
	(7.584)	(0.060)	
_Iyear_1992	23.596	0.334	
	(7.083)	(0.132)	
_Iyear_1993	22.171	0.479	
	(6.610)	(0.126)	
_Iyear_1994	20.768	0.465	
	(6.136)	(0.133)	
_Iyear_1995	19.432	0.483	
	(5.663)	(0.124)	
_Iyear_1996	16.650	0.034	
	(5.197)	(0.075)	
_Iyear_1997	16.828	0.493	
	(4.712)	(0.107)	
_Iyear_1998	14.737	0.264	
	(4.239)	(0.106)	
_Iyear_1999	13.370	0.380	
	(3.762)	(0.113)	
_Iyear_2000	12.083	0.673	
	(3.285)	(0.093)	
_Iyear_2001	7.956	-0.078	
	(2.840)	(0.028)	
_Iyear_2002	6.370	-0.093	
	(2.392)	(0.024)	
_Iyear_2003	5.551	-0.065	
	(1.889)	(0.035)	
_Iyear_2004	4.251	-0.053	
	(1.421)	(0.042)	
_Iyear_2005	1.769	-0.097	
	(1.030)	(0.022)	
o._Iyear_2006	-		
			
o._Iyear_2007	-		
			
_Iyear_2006		-0.098	
		(0.021)	
L.experiment_pooled			-0.071
			(0.028)
dyear3			0.093
			(0.131)
dyear4			0.073
			(0.130)
dyear6			-0.120
			(0.131)
dyear7			-0.128
			(0.130)
dyear8			-0.076
			(0.130)
dyear9			-0.072
			(0.130)
dyear10			0.045
			(0.131)
dyear11			-0.015
			(0.131)
dyear12			-0.056
			(0.132)
dyear13			-0.007
			(0.132)
dyear14			-0.066
			(0.132)
dyear15			0.376
			(0.131)
dyear16			0.528
			(0.132)
dyear17			0.648
			(0.134)
dyear18			0.762
			(0.134)
dyear19			0.171
			(0.132)
dyear20			1.151
			(0.131)
dyear21			0.668
			(0.135)
dyear22			0.753
			(0.134)
dyear23			1.083
			(0.134)
dyear24			0.054
			(0.135)
dyear25			-0.016
			(0.133)
dyear26			0.112
			(0.135)
dyear27			0.183
			(0.133)
dyear28			0.043
			(0.134)
