	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	cubic trend	decade FE		margin career	D(>median)	limit>1	drop nolimit	growth	add X
									
_IstaXyear_24	-0.000		-0.000	0.004	0.002	0.001	-0.008	-0.012	-0.009
	(0.011)		(0.023)	(0.022)	(0.022)	(0.022)	(0.026)	(0.024)	(0.026)
_IstaXyear_25	0.001		-0.001	-0.004	-0.004	-0.001	-0.575	-0.010	-0.004
	(0.007)		(0.015)	(0.013)	(0.013)	(0.014)	(0.112)	(0.016)	(0.015)
_IstaXyear_26	-0.017		0.032	0.032	0.030	0.034	0.042	0.004	0.031
	(0.008)		(0.017)	(0.017)	(0.017)	(0.017)	(0.028)	(0.016)	(0.017)
_IstaXyear_27	-0.000		0.000	-0.001	-0.002	0.002		-0.006	-0.006
	(0.008)		(0.017)	(0.016)	(0.016)	(0.016)		(0.017)	(0.017)
_IstaXyear_28	0.003		-0.005	-0.010	-0.009	-0.024	0.001	0.000	-0.010
	(0.008)		(0.016)	(0.016)	(0.015)	(0.017)	(0.017)	(0.016)	(0.017)
_IstaXyear_29	0.006		-0.016	-0.013	-0.013	-0.011	-0.012	-0.017	-0.014
	(0.007)		(0.016)	(0.015)	(0.014)	(0.014)	(0.015)	(0.015)	(0.016)
_IstaXyear_30	-0.000		0.004	-0.004	-0.003	-0.002	0.034	0.014	-0.001
	(0.006)		(0.015)	(0.013)	(0.013)	(0.013)	(0.025)	(0.014)	(0.014)
_IstaXyear_32	0.002		-0.002	-0.008	-0.007	-0.004	-0.021	-0.017	-0.008
	(0.010)		(0.020)	(0.019)	(0.019)	(0.019)	(0.025)	(0.019)	(0.021)
_IstaXyear_33	-0.003		-0.001	-0.000	0.001	0.005		0.014	0.006
	(0.008)		(0.017)	(0.017)	(0.016)	(0.016)		(0.017)	(0.016)
_IstaXyear_34	0.000		0.003	-0.005	-0.005	0.000	-0.004	-0.013	0.000
	(0.010)		(0.021)	(0.019)	(0.019)	(0.020)	(0.022)	(0.019)	(0.020)
_IstaXyear_35	-0.002		0.011	-0.004	-0.002	0.002	-0.002	0.012	-0.001
	(0.007)		(0.018)	(0.016)	(0.015)	(0.022)	(0.015)	(0.016)	(0.018)
