"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"du_diff_news_TOT",".0045404",".0016888","2.688503",".0073593",".0762826",".0484986","1.572883",".1162378",".1076061",".0535267","2.010325",".0449499"
"diff_log_unem",".0006157",".0040335",".1526461",".8787243",".1045257",".1092771",".9565203",".3391689","-.372532",".1231283","-3.025561",".0026135"
"diff_own_espresso","-.0276083",".0071232","-3.87584",".0001169",".0726596",".1722902",".4217278",".6733646",".3995783",".1198337","3.33444",".0009202"
"diff_own_rcs","-.0018222",".0056759","-.3210402",".748282",".1320301",".145157",".9095676",".3633914",".3851509",".1278337","3.012905",".0027229"
"diff_own_caltagirone",".0047519",".0033806","1.405641",".1603033","-.1124692",".0846302","-1.328949",".1843362",".0205237",".0962932",".2131374",".8313093"
"diff_own_lastampa",".0049727",".0061368",".8103042",".4180587",".2578467",".2098025","1.228997",".2195224",".0599863",".1652794",".3629384",".716809"
"diff_own_athesis","0",".",".",".","0",".",".",".","0",".",".","."
"diff_own_sesaab",".0159998",".0117914","1.356902",".1752783","-.2382698",".2994783","-.7956164",".4265487",".2415458",".1967785","1.227501",".2202298"
"diff_own_edisud","-.0042239",".0043945","-.9611769",".3368168",".164972",".1169936","1.410094",".1589954","-.1060851",".1465504","-.7238813",".4694876"
"diff_own_monrif","-.010728",".0039867","-2.690936",".0073064",".0970868",".1105073",".878556",".3799703","-.0030331",".1015184","-.029877",".9761774"
"diff_own_ciarrapico",".0027876",".0116119",".2400659",".810354","-.7039936",".1852958","-3.799296",".0001589","-.4102774",".1910991","-2.146935",".0322936"
"diff_delta_log_comm","-.0015958",".003399","-.4695102",".6388607","-.167536",".1001011","-1.673669",".094682","-.011623",".1053012","-.1103781",".9121551"
"diff_delta_log_finan",".0014249",".0026112",".5456782",".5854724",".0124451",".0648869",".1917963",".8479623",".0286031",".0706648",".4047719",".6858237"
"diff_logpop_res_tagliacarne","-.0366507",".0212043","-1.728456",".0843763","-.5240581",".3872547","-1.353265",".1764466","-.2645252",".3471343","-.7620254",".4464153"
"_cons","-.0216697",".0011766","-18.41675","2.20e-61",".4031523",".0416372","9.682503","8.65e-21",".5804722",".0500566","11.59631","1.30e-27"
"N","2014","","","","924","","","","546","","",""
"r2",".6195243","","","",".1761387","","","",".2231584","","",""
"df_m","13","","","","13","","","","13","","",""
"df_r","657","","","","643","","","","485","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
