"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"marathaland","-.9420521",".3680827","-2.559349",".0110342","-.3990689",".1315839","-3.032809",".0026596","-.0825955",".0402641","-2.051341",".0412021","-.920063",".3409825","-2.698271",".0074109","-.0219891",".0452783","-.4856427",".6276158"
"propc1","-1.039886",".5745375","-1.809954",".0714188","-.3503975",".207362","-1.689787",".0922273",".0250105",".0879537",".2843597",".7763535","-1.004057",".5420273","-1.85241",".0650624","-.0358297",".0703553","-.5092685",".6109815"
"mlandc1","1.436499",".7481881","1.919971",".055919",".694382",".2758558","2.517192",".0124111",".1815467",".1057256","1.717149",".087103","1.527574",".7005917","2.180405",".0300942","-.0910745",".0872852","-1.043413",".297694"
"gppop","-.0000156",".0000916","-.1705161",".8647324","-.0000174",".0000248","-.7009347",".4839496","-9.43e-06","4.79e-06","-1.969605",".0499096","-.0000132",".0000842","-.1564817",".8757707","-2.44e-06","8.37e-06","-.2915624",".7708459"
"reserved",".2053784",".2177197",".9433157",".3463659",".1077022",".0771866","1.395349",".1640615",".0268641",".0226561","1.185738",".2367722",".1759127",".1990962",".8835564",".3777247",".0294657",".0258824","1.138443",".2559485"
"propc4",".8207797",".6381314","1.286224",".199471",".3063984",".230674","1.328275",".1852132",".0585441",".0735573",".7958974",".4267935",".7722937",".590204","1.30852",".1918139",".048486",".078966",".6140111",".5397269"
"longitude","1.366481",".2153735","6.344702","9.40e-10",".4155065",".0750801","5.534173","7.42e-08",".0774192",".0218586","3.541822",".0004682","1.28911",".1967515","6.551972","2.88e-10",".0773704",".0263026","2.941554",".0035501"
"latitude",".2543698",".2332875","1.09037",".2765259",".086548",".0818834","1.056966",".2914754",".0381183",".026231","1.453176",".1473406",".2862323",".2180123","1.312918",".1903295","-.0318625",".0258932","-1.230536",".2195712"
"elevation",".0024403",".0011015","2.215538",".0275606",".0007412",".0003899","1.901096",".058358",".0003923",".000135","2.907296",".0039495",".002453",".0010217","2.400885",".0170348","-.0000127",".0001344","-.0945926",".9247089"
"distancetowater","-.0000373",".0000484","-.7703993",".4417392","-7.96e-06",".000016","-.4978791",".618976","-1.79e-06","4.56e-06","-.3924111",".6950652","-.0000351",".0000443","-.7909261",".4296839","-2.25e-06","5.86e-06","-.3835857",".7015885"
"distancetoroad","-.0000553",".0000419","-1.318471",".1884675","-7.97e-06",".0000155","-.5154157",".6066859","-1.63e-06","3.70e-06","-.4415021",".6592042","-.0000468",".0000381","-1.229247",".2200534","-8.51e-06","4.87e-06","-1.746888",".081798"
"distancetorail","-2.01e-06","6.41e-06","-.3139898",".7537722","-1.10e-06","2.28e-06","-.4852908",".6278651","-7.15e-07","6.72e-07","-1.063149",".288668","-2.63e-06","5.84e-06","-.4504445",".6527528","6.15e-07","8.01e-07",".7683486",".4429541"
"water",".0862103",".2425751",".3553964",".7225711","-.0110615",".0859814","-.12865",".8977307","-.0174177",".0239635","-.7268445",".4679533",".0512297",".2244849",".2282099",".8196564",".0349807",".0284142","1.231097",".219362"
"avgyrain",".5069073",".0358187","14.15201","2.31e-34",".1736037",".0122436","14.17918","1.85e-34",".0270895",".0045228","5.989555","6.72e-09",".4683769",".0327676","14.29391","7.26e-35",".0385305",".0051304","7.510186","8.73e-13"
"wmahar","7.543418",".5984233","12.60549","6.10e-29","2.573637",".2137582","12.03994","5.40e-27",".357876",".0665082","5.380931","1.61e-07","6.885484",".5535243","12.43935","2.29e-28",".6579333",".071255","9.233498","8.12e-18"
"marath","5.668818",".3225296","17.57612","1.42e-46","1.803082",".1133058","15.91342","1.23e-40",".1462861",".0444057","3.294312",".001119","5.040063",".3019982","16.68905","2.08e-43",".6287555",".0482248","13.03801","1.91e-30"
"evidar","1.185384",".5434657","2.181156",".030038",".2920835",".1841039","1.586515",".1137974",".0382673",".0634038",".6035484",".5466525","1.149342",".5047436","2.277081",".0235668",".0360416",".0724917",".4971817",".619467"
"secoc",".1192185",".1205821",".9886908",".3237029",".0544503",".0395023","1.378408",".1692227",".0215343",".0138501","1.554817",".1211654",".1387572",".1116053","1.243285",".2148452","-.0195388",".0162449","-1.202763",".2301258"
"secph","-.0055235",".0980733","-.05632",".9551287",".0115667",".0327775",".3528849",".7244511",".0104801",".0111389",".9408591",".3476212","-.005187",".0880991","-.0588772",".9530937","-.0003365",".0136434","-.0246628",".9803422"
"secnit","-.2232301",".1700171","-1.312986",".1903065","-.0831446",".0591021","-1.406795",".1606424","-.0297731",".0168695","-1.764907",".0787142","-.236919",".1557923","-1.520736",".1295006",".0136889",".0219332",".6241175",".5330794"
"jjarain","-.0427369",".0033268","-12.84624","8.91e-30","-.0144793",".0011618","-12.46329","1.89e-28","-.0021912",".0004504","-4.865185","1.95e-06","-.0394565",".0030707","-12.84939","8.69e-30","-.0032804",".0004643","-7.065108","1.38e-11"
"_cons","-121.6924","19.7273","-6.168731","2.52e-09","-37.78392","6.93225","-5.450456","1.14e-07","-7.491922","2.070668","-3.618119",".0003544","-115.5166","18.11607","-6.376471","7.86e-10","-6.175783","2.356547","-2.620692",".0092742"
"N","291","","","","291","","","","291","","","","291","","","","291","","",""
"r2",".5700961","","","",".5629912","","","",".3289616","","","",".5696321","","","",".4990411","","",""
"df_m","21","","","","21","","","","21","","","","21","","","","21","","",""
"df_r","269","","","","269","","","","269","","","","269","","","","269","","",""
"df_b","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","",""
