"","est1","","",""
"","b","se","t","p"
"zavglogdist90_adj","-.1429574",".0540277","-2.646002",".0093612"
"lgdppc",".543951",".0886539","6.135669","1.43e-08"
"lpop","-.0671836",".0355158","-1.891655",".0612156"
"SP_URB_TOTL_IN_ZS",".0036086",".0032076","1.125011",".2630783"
"maj","-.3605581",".2730111","-1.320672",".1894025"
"pres","-.1973574",".1246188","-1.583689",".1161886"
"elf_eth","-.1865527",".1921912","-.970662",".3338855"
"reg_eap",".0834078",".2093046",".3984999",".6910485"
"reg_eca","-.2287491",".2411129","-.9487221",".3448801"
"reg_mena","-.2762768",".2413246","-1.144835",".2548084"
"reg_sa","0",".",".","."
"reg_we",".4083905",".2558384","1.596283",".1133476"
"reg_na",".6007252",".2423918","2.478323",".0147481"
"reg_ssa",".3422672",".2291507","1.493634",".1381872"
"reg_lac","-.2713849",".2291326","-1.184401",".2388544"
"leg_british",".0659644",".1851618",".3562525",".7223465"
"leg_french","-.1332944",".1618064","-.8237894",".4118747"
"leg_socialist","0",".",".","."
"leg_german",".140097",".1719766",".8146284",".4170777"
"leg_scandinavian",".1678698",".2148116",".7814748",".4362331"
"_cons","-3.220118",".9924115","-3.244741",".0015652"
"N","127","","",""
"r2",".8297761","","",""
"df_m","18","","",""
"df_r","108","","",""
"df_b","","","",""
"df","","","",""
