"","est1","","",""
"","b","se","t","p"
"avg_logcapdist","-.0266061",".0106822","-2.490699",".0158562"
"avg_loggcppc","-.0191633",".0179937","-1.065002",".291614"
"avg_logpop",".004691",".002769","1.694141",".0959994"
"imr",".0000351",".0000232","1.515602",".1354522"
"logttime","-.0126075",".0067112","-1.878572",".0657057"
"logcellarea",".0081789",".0107405",".7614967",".4496734"
"avg_logdist_LNC",".0098838",".0070716","1.397682",".1679244"
"mountain2000","-.0157656",".0187904","-.839023",".4051554"
"ycoord","-.0040113",".0031726","-1.26437",".2115275"
"avg_degtemper","-.0031682",".0017928","-1.76715",".0828538"
"avg_prec","-.0000136",".0000361","-.3759572",".7084217"
"_cons",".4857211",".2821375","1.721576",".0908711"
"N","14676","","",""
"r2",".8685808","","",""
"df_m","11","","",""
"df_r","54","","",""
"df_b","","","",""
"df","","","",""
