"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"ui_avail_yr_avg_diff","-.0019929",".0011679","-1.706457",".0881973","-.0017378",".0009703","-1.790987",".0735647","-.0019277",".0010227","-1.884991",".0596912"
"2004.year","0",".",".",".","","","","","","","",""
"2005.year",".000163",".0006148",".2651462",".7909451","0",".",".",".","","","",""
"2006.year",".0004755",".0007888",".6027821",".5467744",".0001356",".0006614",".2049999",".8376093","","","",""
"2007.year",".005668",".0012654","4.479364","8.25e-06",".0052893",".0012514","4.226638",".0000256","0",".",".","."
"2008.year",".0052931",".0014835","3.56805",".0003747",".0050444",".0013794","3.656914",".0002671","-.0000598",".0008835","-.0677365",".9460075"
"2009.year",".0048111",".0013476","3.570221",".0003716",".0043837",".001286","3.408714",".0006759","-.000738",".0012762","-.5782735",".5631964"
"2010.year",".0101216",".0059872","1.690541",".0911998",".0098131",".0061876","1.585919",".1130392",".0046726",".0062004",".7536053",".4512455"
"2011.year",".0133706",".0065397","2.044539",".0411313",".0131004",".0067455","1.942099",".0523749",".0083748",".0067626","1.238389",".2158329"
"L.ui_avail_yr_avg_diff","","","","","-.0008129",".0005338","-1.522695",".1281166","-.0007467",".0005249","-1.422537",".1551503"
"L2.ui_avail_yr_avg_diff","","","","","","","","","-.0009045",".0003583","-2.524032",".0117398"
"L3.ui_avail_yr_avg_diff","","","","","","","","",".0003038",".0009534",".3187023",".750012"
"_cons",".1531466",".0017003","90.06788","0",".152369",".0019319","78.87025","0",".1562988",".0025366","61.61774","0"
"N","2631856","","","","2122461","","","","1404106","","",""
"r2",".0043842","","","",".0062794","","","",".0094964","","",""
"df_m","7","","","","7","","","","7","","",""
"df_r","1132","","","","1123","","","","1114","","",""
"df_b","8","","","","8","","","","8","","",""
"df","","","","","","","","","","","",""
