"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"gov_d_lper_earn","-.0288436",".0079672","-3.62031",".0031088","-.1384926",".0468218","-2.957864",".0030978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gov_d_lper_emp","","","","","","","","","-.0395422",".0122398","-3.230621",".0065687","-.3176676",".1051898","-3.019947",".0025282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pres_d_lper_earn","","","","","","","","","","","","","","","","","-.0042816",".0029286","-1.461972",".1674988",".0327953",".0273986","1.196972",".2313177","","","","","","","","","","","","","","","","","","","","","","","",""
"pres_d_lper_emp","","","","","","","","","","","","","","","","","","","","","","","","",".0076204",".012395",".6147954",".5493001",".0682441",".06576","1.037775",".2993748","","","","","","","","","","","","","","","",""
"sen6_d_lper_earn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.0214425",".0072372","-2.962799",".010998","-.0503383",".0256432","-1.963027",".049643","","","","","","","",""
"sen6_d_lper_emp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.0225855",".0115983","-1.947319",".073426","-.1251625",".0946765","-1.322002",".1861675"
"N","4751","","","","4751","","","","4751","","","","4751","","","","4412","","","","4412","","","","4412","","","","4412","","","","6014","","","","6014","","","","6014","","","","6014","","",""
"r2",".6012179","","","",".5617171","","","",".5999513","","","",".5273856","","","",".4455592","","","",".4345335","","","",".445538","","","",".4375743","","","",".925677","","","",".9252115","","","",".9255059","","","",".9237479","","",""
"df_m","9","","","","71","","","","9","","","","71","","","","9","","","","65","","","","9","","","","65","","","","9","","","","85","","","","9","","","","85","","",""
"df_r","13","","","","","","","","13","","","","","","","","13","","","","","","","","13","","","","","","","","13","","","","","","","","13","","","","","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
