"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11","","est12","","est13","","est14","","est15","","est16",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"lper_earn","0.032","0.007","","","","","","","","","","","","","","","0.024","0.007","","","","","","","","","","","","","",""
"lper_emp","","","0.044","0.013","","","","","","","","","","","","","","","","","","","","","0.037","0.009","","","","","",""
"congr4_d_lper_earn","","","","","-0.019","0.007","","","-0.034","0.010","-0.134","0.030","","","","","","","","","","","","","","","","","","","",""
"congr4_d_lper_emp","","","","","","","-0.020","0.009","","","","","-0.030","0.012","-0.305","0.086","","","","","","","","","","","","","","","",""
"st4_d_lper_earn","","","","","","","","","","","","","","","","","","","-0.026","0.011","-0.037","0.014","-0.373","0.105","","","","","","","",""
"st4_d_lper_emp","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.051","0.013","-0.044","0.015","-0.735","0.253"
"N","29962","","29962","","24420","","24420","","8621","","8621","","8621","","8621","","12902","","9811","","3429","","3429","","12902","","9811","","3429","","3429",""
