"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"_Istate_50","","","","","-283.4742","3002.17","-.0944231",".9247884"
"_Istate_51","","","","","0",".",".","."
"_Istate_53","","","","","7262.573","3316.688","2.189707",".0287324"
"_Istate_54","","","","","6404.493","3375.21","1.89751",".0579941"
"_Istate_55","","","","","-3384.793","2788.883","-1.213673",".225105"
"_Istate_56","","","","","0",".",".","."
"_cons","-258834.2","41594.87","-6.222743","6.68e-10","-25069.38","4051.682","-6.187402","8.31e-10"
"N","1373","","","","1373","","",""
"r2",".9522556","","","",".9498748","","",""
"df_m","139","","","","139","","",""
"df_r","1233","","","","1233","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
