"","est1","","",""
"","b","se","t","p"
"incrate","","","",""
"ymonthrelative",".2243792",".2219449","1.010968",".3120316"
"ymonthrelative2","-.0011941",".008664","-.1378211",".8903818"
"post","-38.11605","3.502879","-10.88135","0"
"postmonth",".5010912",".4114675","1.217815",".2232944"
"postmonth2",".0180038",".0115621","1.557139",".1194374"
"_Imonth_2",".6108088",".2691871","2.269086",".0232631"
"_Imonth_3","1.284954",".6896327","1.863244",".062428"
"_Imonth_4","1.786951",".6903317","2.588539",".0096384"
"_Imonth_5","2.14683",".7088112","3.028776",".0024555"
"_Imonth_6","2.669949",".7270637","3.672235",".0002404"
"_Imonth_7","2.455804",".7816827","3.14169",".0016798"
"_Imonth_8","1.758757",".8159568","2.155454",".0311263"
"_Imonth_9","1.82858",".8304714","2.201858",".0276753"
"_Imonth_10","1.530821",".8521573","1.796407",".0724298"
"_Imonth_11","1.982979",".8806332","2.251765",".0243371"
"_Imonth_12","2.037607",".904402","2.252988",".0242599"
"_Iyear_2005",".6411673","1.582261",".4052222",".6853142"
"_Iyear_2006",".9245272","1.922122",".480993",".6305215"
"_Iyear_2007",".9278169","1.966535",".471803",".6370674"
"_cons","100.6944","2.713378","37.11036","0"
"ARMA","","","",""
"L.ar",".9154858",".0851558","10.75071","0"
"sigma","","","",""
"_cons",".435855",".0586851","7.427012","1.11e-13"
"N","60","","",""
"r2","","","",""
"df_m","20","","",""
"df_r","","","",""
"df_b","","","",""
"df","","","",""
