"","est1","","",""
"","b","se","t","p"
"pardonrate","3.222732",".856858","3.761104",".000288"
"pardonincrate","-.0156552",".0064267","-2.435981",".0166574"
"L.incrate",".610328",".2506502","2.434979",".0167009"
"L.crate","-.0781804",".0496328","-1.575176",".1184387"
"_cons","-57.89049","30.8543","-1.876253",".0635962"
"N","103","","",""
"r2",".2481771","","",""
"df_m","4","","",""
"df_r","98","","",""
"df_b","","","",""
"df","","","",""
