	(1)	(2)	(3)	(4)
VARIABLES	allapps	DIonly	SSItotal	SSDItotal
				
MAXpost1	0.0407*	0.0295*	0.0113	0.0295
	(0.0198)	(0.0134)	(0.0254)	(0.0247)
MAXpost2	0.0800***	0.0647***	0.0153	0.0703**
	(0.0152)	(0.0170)	(0.0189)	(0.0264)
MAXpost3	0.0148	0.0405	-0.0257	0.0234
	(0.0560)	(0.0325)	(0.0374)	(0.0272)
post1	-0.0905	-0.109***	0.0186	-0.0176
	(0.110)	(0.0292)	(0.111)	(0.0944)
post2	-0.0160	-0.110***	0.0938	0.0410
	(0.0890)	(0.0320)	(0.0759)	(0.0537)
post3	0.283	0.0448	0.238	0.358***
	(0.199)	(0.0871)	(0.131)	(0.0904)
ue	0.0218	0.00537	0.0165	-0.0110
	(0.0483)	(0.0205)	(0.0451)	(0.0403)
stnum1	-0.335***	0.0531***	-0.388***	-0.259***
	(0.0125)	(0.0111)	(0.00583)	(0.00775)
stnum3	0.602***	0.374***	0.228***	0.649***
	(0.0148)	(0.0124)	(0.00704)	(0.00944)
stnum4	-0.253***	0.243***	-0.496***	0.0291
	(0.0598)	(0.0323)	(0.0496)	(0.0473)
stnum5	-0.538***	-0.0187**	-0.519***	-0.400***
	(0.0109)	(0.00739)	(0.0107)	(0.00860)
stnum6	-0.0934***	0.0949***	-0.188***	-0.231***
	(0.0193)	(0.00510)	(0.0218)	(0.0173)
stnum7	0.637***	0.230***	0.407***	0.399***
	(0.0106)	(0.00791)	(0.00965)	(0.00798)
stnum8	0.326***	0.310***	0.0154	0.276***
	(0.0342)	(0.00879)	(0.0367)	(0.0303)
stnum9	0.0313	0.140***	-0.108**	0.159***
	(0.0528)	(0.0293)	(0.0431)	(0.0415)
169.qnum	-0.00135	0.0285**	-0.0298	0.0231
	(0.0275)	(0.00860)	(0.0261)	(0.0227)
170.qnum	0.00305	0.0211	-0.0180	0.0376
	(0.0208)	(0.0173)	(0.0263)	(0.0212)
171.qnum	-0.179***	-0.0622***	-0.117**	-0.0761*
	(0.0391)	(0.0149)	(0.0422)	(0.0336)
172.qnum	0.0119	0.00702	0.00488	0.0729**
	(0.0561)	(0.0117)	(0.0510)	(0.0287)
173.qnum	0.138**	0.0744***	0.0641	0.200***
	(0.0537)	(0.0161)	(0.0644)	(0.0380)
174.qnum	0.117	0.0166	0.101	0.194***
	(0.0669)	(0.0126)	(0.0749)	(0.0392)
175.qnum	-0.126	-0.0616**	-0.0641	0.0204
	(0.114)	(0.0214)	(0.107)	(0.0843)
176.qnum	0.157	0.0203	0.136	0.231**
	(0.132)	(0.0210)	(0.117)	(0.0779)
177.qnum	0.160	0.0559**	0.105	0.250**
	(0.109)	(0.0185)	(0.114)	(0.0907)
178.qnum	0.154	0.0495*	0.105	0.222*
	(0.116)	(0.0252)	(0.104)	(0.103)
179.qnum	-0.192**	-0.0864***	-0.106	-0.0508
	(0.0795)	(0.0248)	(0.0938)	(0.0838)
180.qnum	0.0376	0.00185	0.0358	0.125
	(0.112)	(0.0346)	(0.0869)	(0.0942)
181.qnum	-0.00313	-0.0204	0.0172	0.0837
	(0.0866)	(0.0290)	(0.102)	(0.0822)
182.qnum	-0.0329	-0.0650**	0.0321	0.0517
	(0.134)	(0.0232)	(0.132)	(0.106)
183.qnum	-0.286**	-0.153***	-0.133	-0.147
	(0.120)	(0.0301)	(0.129)	(0.0951)
184.qnum	0.102	-0.0120	0.114	0.141
	(0.111)	(0.0246)	(0.102)	(0.0827)
185.qnum	0.0385	-0.0272	0.0656	0.119
	(0.0938)	(0.0385)	(0.0965)	(0.0847)
186.qnum	-0.0266	-0.0804***	0.0537	0.0497
	(0.0899)	(0.0238)	(0.0950)	(0.0818)
187.qnum	-0.190***	-0.0622	-0.128***	-0.149***
	(0.0507)	(0.0342)	(0.0247)	(0.0397)
188.qnum	0.0572**	0.0439***	0.0133	0.0531**
	(0.0210)	(0.00986)	(0.0221)	(0.0206)
189.qnum	0.0718*	0.0378**	0.0340	0.0578**
	(0.0352)	(0.0152)	(0.0220)	(0.0182)
190o.qnum	-	-	-	-
				
191.qnum	-0.340***	-0.101**	-0.239***	-0.259***
	(0.0524)	(0.0379)	(0.0450)	(0.0425)
192.qnum	-0.0213	0.0221	-0.0434**	0.000208
	(0.0158)	(0.0154)	(0.0146)	(0.0135)
193.qnum	-0.0527	0.00729	-0.0600**	-0.0310
	(0.0397)	(0.0270)	(0.0254)	(0.0281)
194o.qnum	-	-	-	-
				
195.qnum	-0.461***	-0.214***	-0.247*	-0.420***
	(0.122)	(0.0521)	(0.110)	(0.0997)
196.qnum	-0.0117	-0.0148	0.00312	-0.0317
	(0.0344)	(0.0143)	(0.0267)	(0.0389)
197.qnum	-0.0433	-0.0143	-0.0290	-0.0392
	(0.0392)	(0.0112)	(0.0366)	(0.0258)
198o.qnum	-	-	-	-
				
Constant	2.549***	0.901***	1.648***	1.994***
	(0.269)	(0.114)	(0.280)	(0.258)
				
Observations	279	279	279	279
R-squared	0.962	0.917	0.958	0.960
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
