	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
	(0.00596)	(0.0797)	(0.0186)	(0.0660)	(0.0685)	(0.0797)	(0.0186)	(0.0660)	(0.0685)	(0.0797)	(0.0186)	(0.0660)	(0.0685)	(0.0797)	(0.0186)	(0.0660)	(0.0685)
42019.county	1.013***	-0.0269	0.209***	-0.236***	0.249***	-0.0269	0.209***	-0.236***	0.249***	-0.0269	0.209***	-0.236***	0.249***	-0.0269	0.209***	-0.236***	0.249***
	(0.00615)	(0.0512)	(0.0119)	(0.0425)	(0.0440)	(0.0512)	(0.0119)	(0.0425)	(0.0440)	(0.0512)	(0.0119)	(0.0425)	(0.0440)	(0.0512)	(0.0119)	(0.0425)	(0.0440)
42021.county	2.703***	1.668***	0.567***	1.101***	1.254***	1.668***	0.567***	1.101***	1.254***	1.668***	0.567***	1.101***	1.254***	1.668***	0.567***	1.101***	1.254***
	(0.0441)	(0.0380)	(0.00879)	(0.0316)	(0.0327)	(0.0380)	(0.00879)	(0.0316)	(0.0327)	(0.0380)	(0.00879)	(0.0316)	(0.0327)	(0.0380)	(0.00879)	(0.0316)	(0.0327)
42025.county	2.022***																
	(0.0484)																
42027.county	-0.124***																
	(0.0115)																
42029.county	-0.170***																
	(0.0248)																
42031.county	1.729***																
	(0.0256)																
42033.county	2.545***	1.511***	0.661***	0.850***	1.316***	1.511***	0.661***	0.850***	1.316***	1.511***	0.661***	0.850***	1.316***	1.511***	0.661***	0.850***	1.316***
	(0.0461)	(0.0426)	(0.00992)	(0.0353)	(0.0366)	(0.0426)	(0.00992)	(0.0353)	(0.0366)	(0.0426)	(0.00992)	(0.0353)	(0.0366)	(0.0426)	(0.00992)	(0.0353)	(0.0366)
42035.county	1.959***	0.924***	0.440***	0.484***	0.923***	0.924***	0.440***	0.484***	0.923***	0.924***	0.440***	0.484***	0.923***	0.924***	0.440***	0.484***	0.923***
	(0.0447)	(0.0394)	(0.00915)	(0.0327)	(0.0339)	(0.0394)	(0.00915)	(0.0327)	(0.0339)	(0.0394)	(0.00915)	(0.0327)	(0.0339)	(0.0394)	(0.00915)	(0.0327)	(0.0339)
42037.county	1.910***																
	(0.0389)																
42039.county	2.624***																
	(0.0327)																
42041.county	0.239***																
	(0.0203)																
42043.county	1.828***	0.787***	0.297***	0.490***	0.753***	0.787***	0.297***	0.490***	0.753***	0.787***	0.297***	0.490***	0.753***	0.787***	0.297***	0.490***	0.753***
	(0.00333)	(0.0735)	(0.0171)	(0.0609)	(0.0632)	(0.0735)	(0.0171)	(0.0609)	(0.0632)	(0.0735)	(0.0171)	(0.0609)	(0.0632)	(0.0735)	(0.0171)	(0.0609)	(0.0632)
42045.county	1.225***	0.185**	0.260***	-0.0742	0.201***	0.185**	0.260***	-0.0742	0.201***	0.185**	0.260***	-0.0742	0.201***	0.185**	0.260***	-0.0742	0.201***
	(0.00461)	(0.0548)	(0.0128)	(0.0454)	(0.0471)	(0.0548)	(0.0128)	(0.0454)	(0.0471)	(0.0548)	(0.0128)	(0.0454)	(0.0471)	(0.0548)	(0.0128)	(0.0454)	(0.0471)
42047.county	2.317***	1.279***	0.756***	0.523***	1.331***	1.279***	0.756***	0.523***	1.331***	1.279***	0.756***	0.523***	1.331***	1.279***	0.756***	0.523***	1.331***
	(0.0199)	(0.0187)	(0.00446)	(0.0154)	(0.0160)	(0.0187)	(0.00446)	(0.0154)	(0.0160)	(0.0187)	(0.00446)	(0.0154)	(0.0160)	(0.0187)	(0.00446)	(0.0154)	(0.0160)
42049.county	2.721***	1.685***	0.281***	1.404***	1.160***	1.685***	0.281***	1.404***	1.160***	1.685***	0.281***	1.404***	1.160***	1.685***	0.281***	1.404***	1.160***
	(0.0280)	(0.000170)	(2.99e-05)	(0.000156)	(0.000168)	(0.000170)	(2.99e-05)	(0.000156)	(0.000168)	(0.000170)	(2.99e-05)	(0.000156)	(0.000168)	(0.000170)	(2.99e-05)	(0.000156)	(0.000168)
42051.county	4.339***	3.307***	0.747***	2.559***	2.158***	3.307***	0.747***	2.559***	2.158***	3.307***	0.747***	2.559***	2.158***	3.307***	0.747***	2.559***	2.158***
	(0.0649)	(0.0868)	(0.0202)	(0.0720)	(0.0746)	(0.0868)	(0.0202)	(0.0720)	(0.0746)	(0.0868)	(0.0202)	(0.0720)	(0.0746)	(0.0868)	(0.0202)	(0.0720)	(0.0746)
42055.county	0.970***																
	(0.0228)																
42059.county	2.839***	1.805***	0.437***	1.367***	1.149***	1.805***	0.437***	1.367***	1.149***	1.805***	0.437***	1.367***	1.149***	1.805***	0.437***	1.367***	1.149***
	(0.0432)	(0.0359)	(0.00832)	(0.0298)	(0.0309)	(0.0359)	(0.00832)	(0.0298)	(0.0309)	(0.0359)	(0.00832)	(0.0298)	(0.0309)	(0.0359)	(0.00832)	(0.0298)	(0.0309)
42061.county	1.740***	0.705***	0.432***	0.272***	0.697***	0.705***	0.432***	0.272***	0.697***	0.705***	0.432***	0.272***	0.697***	0.705***	0.432***	0.272***	0.697***
	(0.0422)	(0.0335)	(0.00779)	(0.0278)	(0.0288)	(0.0335)	(0.00779)	(0.0278)	(0.0288)	(0.0335)	(0.00779)	(0.0278)	(0.0288)	(0.0335)	(0.00779)	(0.0278)	(0.0288)
42063.county	1.608***																
	(0.0264)																
42065.county	2.357***																
	(0.0252)																
42069.county	2.382***	1.345***	0.644***	0.702***	1.256***	1.345***	0.644***	0.702***	1.256***	1.345***	0.644***	0.702***	1.256***	1.345***	0.644***	0.702***	1.256***
	(0.0268)	(0.00279)	(0.000654)	(0.00231)	(0.00239)	(0.00279)	(0.000654)	(0.00231)	(0.00239)	(0.00279)	(0.000654)	(0.00231)	(0.00239)	(0.00279)	(0.000654)	(0.00231)	(0.00239)
42071.county	1.156***																
	(0.0189)																
42073.county	3.391***	2.356***	0.549***	1.807***	1.774***	2.356***	0.549***	1.807***	1.774***	2.356***	0.549***	1.807***	1.774***	2.356***	0.549***	1.807***	1.774***
	(0.0408)	(0.0302)	(0.00697)	(0.0251)	(0.0260)	(0.0302)	(0.00697)	(0.0251)	(0.0260)	(0.0302)	(0.00697)	(0.0251)	(0.0260)	(0.0302)	(0.00697)	(0.0251)	(0.0260)
42075.county	1.152***																
	(0.0202)																
42077.county	1.920***	0.881***	0.257***	0.624***	0.809***	0.881***	0.257***	0.624***	0.809***	0.881***	0.257***	0.624***	0.809***	0.881***	0.257***	0.624***	0.809***
	(0.0166)	(0.0266)	(0.00614)	(0.0221)	(0.0230)	(0.0266)	(0.00614)	(0.0221)	(0.0230)	(0.0266)	(0.00614)	(0.0221)	(0.0230)	(0.0266)	(0.00614)	(0.0221)	(0.0230)
42079.county	2.514***	1.479***	0.730***	0.749***	1.341***	1.479***	0.730***	0.749***	1.341***	1.479***	0.730***	0.749***	1.341***	1.479***	0.730***	0.749***	1.341***
	(0.0389)	(0.0259)	(0.00602)	(0.0214)	(0.0222)	(0.0259)	(0.00602)	(0.0214)	(0.0222)	(0.0259)	(0.00602)	(0.0214)	(0.0222)	(0.0259)	(0.00602)	(0.0214)	(0.0222)
42081.county	1.871***	0.835***	0.451***	0.385***	0.758***	0.835***	0.451***	0.385***	0.758***	0.835***	0.451***	0.385***	0.758***	0.835***	0.451***	0.385***	0.758***
	(0.0319)	(0.00926)	(0.00212)	(0.00771)	(0.00799)	(0.00926)	(0.00212)	(0.00771)	(0.00799)	(0.00926)	(0.00212)	(0.00771)	(0.00799)	(0.00926)	(0.00212)	(0.00771)	(0.00799)
42083.county	2.627***	1.591***	0.616***	0.975***	1.340***	1.591***	0.616***	0.975***	1.340***	1.591***	0.616***	0.975***	1.340***	1.591***	0.616***	0.975***	1.340***
	(0.0335)	(0.0131)	(0.00300)	(0.0109)	(0.0113)	(0.0131)	(0.00300)	(0.0109)	(0.0113)	(0.0131)	(0.00300)	(0.0109)	(0.0113)	(0.0131)	(0.00300)	(0.0109)	(0.0113)
42085.county	2.669***	1.635***	0.615***	1.019***	1.415***	1.635***	0.615***	1.019***	1.415***	1.635***	0.615***	1.019***	1.415***	1.635***	0.615***	1.019***	1.415***
	(0.0489)	(0.0493)	(0.0114)	(0.0409)	(0.0424)	(0.0493)	(0.0114)	(0.0409)	(0.0424)	(0.0493)	(0.0114)	(0.0409)	(0.0424)	(0.0493)	(0.0114)	(0.0409)	(0.0424)
42087.county	3.019***	1.984***	0.454***	1.530***	1.622***	1.984***	0.454***	1.530***	1.622***	1.984***	0.454***	1.530***	1.622***	1.984***	0.454***	1.530***	1.622***
	(0.0384)	(0.0246)	(0.00572)	(0.0204)	(0.0211)	(0.0246)	(0.00572)	(0.0204)	(0.0211)	(0.0246)	(0.00572)	(0.0204)	(0.0211)	(0.0246)	(0.00572)	(0.0204)	(0.0211)
42089.county	1.645***																
	(0.0319)																
42091.county	0.0989***	-0.944***	0.0274	-0.971***	-0.453***	-0.944***	0.0274	-0.971***	-0.453***	-0.944***	0.0274	-0.971***	-0.453***	-0.944***	0.0274	-0.971***	-0.453***
	(0.0155)	(0.102)	(0.0238)	(0.0845)	(0.0877)	(0.102)	(0.0238)	(0.0845)	(0.0877)	(0.102)	(0.0238)	(0.0845)	(0.0877)	(0.102)	(0.0238)	(0.0845)	(0.0877)
42095.county	1.171***																
	(0.0159)																
42097.county	2.116***	1.080***	0.631***	0.449***	1.139***	1.080***	0.631***	0.449***	1.139***	1.080***	0.631***	0.449***	1.139***	1.080***	0.631***	0.449***	1.139***
	(0.0374)	(0.0222)	(0.00514)	(0.0185)	(0.0192)	(0.0222)	(0.00514)	(0.0185)	(0.0192)	(0.0222)	(0.00514)	(0.0185)	(0.0192)	(0.0222)	(0.00514)	(0.0185)	(0.0192)
42101.county	4.891***	3.859***	0.260***	3.599***	1.633***	3.859***	0.260***	3.599***	1.633***	3.859***	0.260***	3.599***	1.633***	3.859***	0.260***	3.599***	1.633***
	(0.0657)	(0.0888)	(0.0207)	(0.0736)	(0.0763)	(0.0888)	(0.0207)	(0.0736)	(0.0763)	(0.0888)	(0.0207)	(0.0736)	(0.0763)	(0.0888)	(0.0207)	(0.0736)	(0.0763)
42103.county	1.319***																
	(0.0434)																
42107.county	2.368***	1.333***	0.974***	0.359***	1.283***	1.333***	0.974***	0.359***	1.283***	1.333***	0.974***	0.359***	1.283***	1.333***	0.974***	0.359***	1.283***
	(0.0396)	(0.0275)	(0.00640)	(0.0228)	(0.0236)	(0.0275)	(0.00640)	(0.0228)	(0.0236)	(0.0275)	(0.00640)	(0.0228)	(0.0236)	(0.0275)	(0.00640)	(0.0228)	(0.0236)
42109.county	0.808***																
	(0.0108)																
42111.county	1.871***																
	(0.0454)																
42115.county	2.084***																
	(0.0182)																
42117.county	2.337***																
	(0.0405)																
42121.county	2.928***	1.892***	0.564***	1.328***	1.525***	1.892***	0.564***	1.328***	1.525***	1.892***	0.564***	1.328***	1.525***	1.892***	0.564***	1.328***	1.525***
	(0.0304)	(0.00582)	(0.00129)	(0.00489)	(0.00506)	(0.00582)	(0.00129)	(0.00489)	(0.00506)	(0.00582)	(0.00129)	(0.00489)	(0.00506)	(0.00582)	(0.00129)	(0.00489)	(0.00506)
42123.county	2.228***	1.191***	0.694***	0.496***	1.130***	1.191***	0.694***	0.496***	1.130***	1.191***	0.694***	0.496***	1.130***	1.191***	0.694***	0.496***	1.130***
	(0.0201)	(0.0184)	(0.00437)	(0.0152)	(0.0157)	(0.0184)	(0.00437)	(0.0152)	(0.0157)	(0.0184)	(0.00437)	(0.0152)	(0.0157)	(0.0184)	(0.00437)	(0.0152)	(0.0157)
42125.county	2.268***	1.231***	0.603***	0.628***	1.119***	1.231***	0.603***	0.628***	1.119***	1.231***	0.603***	0.628***	1.119***	1.231***	0.603***	0.628***	1.119***
	(0.0230)	(0.0117)	(0.00272)	(0.00969)	(0.0100)	(0.0117)	(0.00272)	(0.00969)	(0.0100)	(0.0117)	(0.00272)	(0.00969)	(0.0100)	(0.0117)	(0.00272)	(0.00969)	(0.0100)
42127.county	1.944***																
	(0.00943)																
42129.county	1.744***																
	(0.0232)																
42131.county	1.779***																
	(0.0333)																
42133.county	1.076***	0.0344	0.273***	-0.238**	0.271***	0.0344	0.273***	-0.238**	0.271***	0.0344	0.273***	-0.238**	0.271***	0.0344	0.273***	-0.238**	0.271***
	(0.00501)	(0.0775)	(0.0180)	(0.0643)	(0.0667)	(0.0775)	(0.0180)	(0.0643)	(0.0667)	(0.0775)	(0.0180)	(0.0643)	(0.0667)	(0.0775)	(0.0180)	(0.0643)	(0.0667)
50003.county	1.530***	0.489***	0.265***	0.223**	0.630***	0.489***	0.265***	0.223**	0.630***	0.489***	0.265***	0.223**	0.630***	0.489***	0.265***	0.223**	0.630***
	(0.0111)	(0.0917)	(0.0214)	(0.0760)	(0.0788)	(0.0917)	(0.0214)	(0.0760)	(0.0788)	(0.0917)	(0.0214)	(0.0760)	(0.0788)	(0.0917)	(0.0214)	(0.0760)	(0.0788)
50007.county	0.219***																
	(0.0284)																
50011.county	1.273***	0.232**	0.319***	-0.0869	0.464***	0.232**	0.319***	-0.0869	0.464***	0.232**	0.319***	-0.0869	0.464***	0.232**	0.319***	-0.0869	0.464***
	(0.00259)	(0.0717)	(0.0167)	(0.0595)	(0.0617)	(0.0717)	(0.0167)	(0.0595)	(0.0617)	(0.0717)	(0.0167)	(0.0595)	(0.0617)	(0.0717)	(0.0167)	(0.0595)	(0.0617)
50019.county	1.781***																
	(0.0424)																
50021.county	1.422***	0.381***	0.186***	0.195**	0.577***	0.381***	0.186***	0.195**	0.577***	0.381***	0.186***	0.195**	0.577***	0.381***	0.186***	0.195**	0.577***
	(0.00276)	(0.0721)	(0.0168)	(0.0598)	(0.0620)	(0.0721)	(0.0168)	(0.0598)	(0.0620)	(0.0721)	(0.0168)	(0.0598)	(0.0620)	(0.0721)	(0.0168)	(0.0598)	(0.0620)
50023.county	0.811***	-0.231**	0.0287	-0.259**	0.108	-0.231**	0.0287	-0.259**	0.108	-0.231**	0.0287	-0.259**	0.108	-0.231**	0.0287	-0.259**	0.108
	(0.0102)	(0.0895)	(0.0209)	(0.0741)	(0.0769)	(0.0895)	(0.0209)	(0.0741)	(0.0769)	(0.0895)	(0.0209)	(0.0741)	(0.0769)	(0.0895)	(0.0209)	(0.0741)	(0.0769)
50025.county	1.102***	0.0602	0.141***	-0.0810	0.381***	0.0602	0.141***	-0.0810	0.381***	0.0602	0.141***	-0.0810	0.381***	0.0602	0.141***	-0.0810	0.381***
	(0.0139)	(0.0982)	(0.0229)	(0.0813)	(0.0844)	(0.0982)	(0.0229)	(0.0813)	(0.0844)	(0.0982)	(0.0229)	(0.0813)	(0.0844)	(0.0982)	(0.0229)	(0.0813)	(0.0844)
50027.county	0.967***	-0.0779	0.270***	-0.348**	0.301**	-0.0779	0.270***	-0.348**	0.301**	-0.0779	0.270***	-0.348**	0.301**	-0.0779	0.270***	-0.348**	0.301**
	(0.0321)	(0.141)	(0.0329)	(0.117)	(0.121)	(0.141)	(0.0329)	(0.117)	(0.121)	(0.141)	(0.0329)	(0.117)	(0.121)	(0.141)	(0.0329)	(0.117)	(0.121)
Constant	1.706***	2.780***	0.852***	1.928***	1.859***	2.780***	0.852***	1.928***	1.859***	2.780***	0.852***	1.928***	1.859***	2.780***	0.852***	1.928***	1.859***
	(0.145)	(0.385)	(0.0840)	(0.324)	(0.330)	(0.385)	(0.0840)	(0.324)	(0.330)	(0.385)	(0.0840)	(0.324)	(0.330)	(0.385)	(0.0840)	(0.324)	(0.330)
																	
Observations	2,912	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088	1,088
R-squared	0.971	0.972	0.835	0.979	0.936	0.972	0.835	0.979	0.936	0.972	0.835	0.979	0.936	0.972	0.835	0.979	0.936
Robust standard errors in parentheses																	
*** p<0.01, ** p<0.05, * p<0.1																	
