	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
	(0.0216)	(0.0460)	(0.0278)	(0.0314)	(0.0469)	(0.0460)	(0.0278)	(0.0314)	(0.0469)	(0.0460)	(0.0278)	(0.0314)	(0.0469)	(0.0460)	(0.0278)	(0.0314)	(0.0469)
qnum11	0.0722**	0.0752	0.0393*	0.0359	0.0880***	0.0752	0.0393*	0.0359	0.0880***	0.0752	0.0393*	0.0359	0.0880***	0.0752	0.0393*	0.0359	0.0880***
	(0.0272)	(0.0402)	(0.0192)	(0.0279)	(0.0196)	(0.0402)	(0.0192)	(0.0279)	(0.0196)	(0.0402)	(0.0192)	(0.0279)	(0.0196)	(0.0402)	(0.0192)	(0.0279)	(0.0196)
o.qnum12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
qnum13	-0.393***	-0.538***	-0.143***	-0.395***	-0.305***	-0.538***	-0.143***	-0.395***	-0.305***	-0.538***	-0.143***	-0.395***	-0.305***	-0.538***	-0.143***	-0.395***	-0.305***
	(0.0250)	(0.105)	(0.00704)	(0.102)	(0.0795)	(0.105)	(0.00704)	(0.102)	(0.0795)	(0.105)	(0.00704)	(0.102)	(0.0795)	(0.105)	(0.00704)	(0.102)	(0.0795)
qnum14	-0.0358**	-0.0875**	0.0135	-0.101**	-0.0182	-0.0875**	0.0135	-0.101**	-0.0182	-0.0875**	0.0135	-0.101**	-0.0182	-0.0875**	0.0135	-0.101**	-0.0182
	(0.0123)	(0.0328)	(0.0125)	(0.0409)	(0.0286)	(0.0328)	(0.0125)	(0.0409)	(0.0286)	(0.0328)	(0.0125)	(0.0409)	(0.0286)	(0.0328)	(0.0125)	(0.0409)	(0.0286)
qnum15	-0.0753***	-0.160**	-0.0242	-0.136*	-0.0560	-0.160**	-0.0242	-0.136*	-0.0560	-0.160**	-0.0242	-0.136*	-0.0560	-0.160**	-0.0242	-0.136*	-0.0560
