	(1)	(2)	(3)	(4)
VARIABLES	DIonly_mntime	SSItotal_mntime	DIonly_mntime	SSItotal_mntime
				
36083.county	-4.963***	6.503***		
	(0.0161)	(0.0122)		
36085.county	-3.332***	10.02***		
	(0.0601)	(0.0460)		
36087.county	-1.857***	12.48***		
	(0.0229)	(0.0150)		
36089.county	-4.136***	11.25***		
	(0.221)	(0.158)		
36091.county	-3.325***	8.764***		
	(0.0512)	(0.0357)		
36093.county	-2.612***	11.46***		
	(0.0112)	(0.00948)		
36101.county	-3.602***	6.092***		
	(0.151)	(0.107)		
36103.county	-2.180***	13.38***		
	(0.00477)	(0.00296)		
36105.county	-2.485***	9.132***		
	(0.127)	(0.0912)		
36107.county	-2.225***	8.129***		
	(0.0551)	(0.0383)		
36109.county	-2.030***	9.994***		
	(0.0728)	(0.0509)		
36111.county	-2.260***	7.823***		
	(0.0338)	(0.0244)		
36113.county	-1.247***	7.883***		
	(0.0566)	(0.0415)		
36115.county	-4.061***	10.55***		
	(0.0282)	(0.0201)		
36117.county	-3.940***	8.288***		
	(0.0885)	(0.0625)		
36119.county	-3.533***	10.50***		
	(0.0242)	(0.0163)		
36121.county	-4.402***	5.674***		
	(0.119)	(0.0842)		
42001.county	-4.708***	3.151***		
	(0.0770)	(0.0546)		
42005.county	-5.452***	2.322***		
	(0.152)	(0.108)		
42011.county	-3.349***	3.786***		
	(0.0436)	(0.0326)		
42015.county	-4.515***	1.321***		
	(0.0687)	(0.0482)		
42025.county	-5.027***	6.108***		
	(0.190)	(0.138)		
42027.county	-4.940***	2.620***		
	(0.0441)	(0.0287)		
42029.county	-2.538***	4.846***		
	(0.0953)	(0.0662)		
42031.county	-6.507***	1.285***		
	(0.0995)	(0.0712)		
42037.county	-4.260***	3.347***		
	(0.152)	(0.110)		
42039.county	-5.292***	2.340***		
	(0.127)	(0.0912)		
42041.county	-4.379***	3.684***		
	(0.0781)	(0.0542)		
42055.county	-2.494***	3.044***		
	(0.0872)	(0.0601)		
42063.county	-4.934***	1.933***		
	(0.103)	(0.0737)		
42065.county	-6.032***	1.550***		
	(0.0980)	(0.0697)		
42071.county	-3.301***	3.795***		
	(0.0729)	(0.0505)		
42075.county	-5.372***	3.989***		
	(0.0776)	(0.0539)		
42089.county	-4.996***	3.497***		
	(0.125)	(0.0904)		
42095.county	-5.032***	3.743***		
	(0.0629)	(0.0471)		
42103.county	-5.753***	4.074***		
	(0.171)	(0.126)		
42109.county	-2.090***	1.972***		
	(0.0423)	(0.0307)		
42111.county	-5.287***	2.098***		
	(0.177)	(0.126)		
42115.county	-3.608***	2.483***		
	(0.0706)	(0.0492)		
42117.county	-5.092***	2.751***		
	(0.157)	(0.112)		
42127.county	-4.992***	3.607***		
	(0.0381)	(0.0304)		
42129.county	-5.298***	1.973***		
	(0.0904)	(0.0643)		
42131.county	-4.943***	3.987***		
	(0.129)	(0.0926)		
50007.county	-3.573***	1.940***		
	(0.110)	(0.0768)		
50019.county	2.291***	3.093***		
	(0.165)	(0.118)		
9005.county			-1.054***	-0.805***
			(0.252)	(0.140)
9007.county			0.186	-0.223
			(0.393)	(0.219)
9009.county			-1.329***	-0.0590***
			(0.0195)	(0.0108)
9011.county			-1.485***	-0.293*
			(0.268)	(0.149)
9013.county			-2.372***	-0.711**
			(0.393)	(0.215)
9015.county			-1.630***	0.0217
			(0.119)	(0.0775)
23001.county			-2.634***	5.050***
			(0.132)	(0.0736)
23005.county			-1.476**	5.299***
			(0.583)	(0.324)
23011.county			-2.572***	5.576***
			(0.154)	(0.0856)
23017.county			-2.223***	6.263***
			(0.268)	(0.149)
23019.county			-3.051***	3.377***
			(0.00261)	(0.00153)
23025.county			-4.399***	4.690***
			(0.740)	(0.412)
23027.county			-4.722***	3.963***
			(0.0961)	(0.0535)
23031.county			-3.790***	3.717***
			(0.372)	(0.207)
25001.county			0.486*	1.545***
			(0.236)	(0.190)
25003.county			1.128**	0.767**
			(0.390)	(0.269)
25005.county			-1.389***	0.818***
			(0.317)	(0.198)
25011.county			2.365***	0.676*
			(0.426)	(0.288)
25013.county			0.849**	-0.0527
			(0.259)	(0.177)
25021.county			-0.124	1.749***
			(0.487)	(0.319)
25023.county			-0.612*	0.717**
			(0.259)	(0.202)
25027.county			0.686**	0.429*
			(0.217)	(0.179)
33013.county			-2.822***	5.168***
			(0.684)	(0.380)
33015.county			-3.273***	8.932***
			(0.425)	(0.236)
36005.county			2.579***	3.943***
			(0.659)	(0.366)
36015.county			-3.042***	5.340***
			(0.0455)	(0.0255)
36029.county			-2.778***	5.349***
			(0.0167)	(0.00955)
36055.county			-2.357***	5.288***
			(0.186)	(0.104)
36063.county			-3.963***	5.741***
			(0.183)	(0.102)
42003.county			-3.896***	1.194***
			(0.225)	(0.125)
42007.county			-5.111***	1.062***
			(0.0520)	(0.0291)
42009.county			-4.478***	2.359***
			(0.424)	(0.236)
42013.county			-4.984***	2.303***
			(0.163)	(0.0905)
42017.county			-2.215***	4.834***
			(0.409)	(0.228)
42019.county			-4.604***	1.387***
			(0.263)	(0.146)
42021.county			-4.523***	1.730***
			(0.195)	(0.108)
42033.county			-5.092***	1.692***
			(0.219)	(0.122)
42035.county			-5.266***	2.938***
			(0.202)	(0.112)
42043.county			-3.239***	3.565***
			(0.378)	(0.210)
42045.county			-2.848***	3.243***
			(0.282)	(0.157)
42047.county			-6.668***	2.053***
			(0.0969)	(0.0541)
42049.county			-4.430***	1.245***
			(0.000885)	(0.000555)
42051.county			-5.066***	1.255***
			(0.446)	(0.248)
42059.county			-5.599***	2.571***
			(0.185)	(0.103)
42061.county			-2.795***	2.763***
			(0.172)	(0.0957)
42069.county			-3.222***	3.569***
			(0.0143)	(0.00792)
42073.county			-2.685***	1.735***
			(0.155)	(0.0859)
42077.county			-3.009***	3.196***
			(0.136)	(0.0755)
42079.county			-3.961***	2.673***
			(0.133)	(0.0740)
42081.county			-4.823***	2.609***
			(0.0474)	(0.0263)
42083.county			-2.387***	3.262***
			(0.0669)	(0.0371)
42085.county			-5.293***	2.036***
			(0.253)	(0.141)
42087.county			-5.483***	1.701***
			(0.126)	(0.0699)
42091.county			-1.506**	4.891***
			(0.524)	(0.292)
42097.county			-3.863***	2.146***
			(0.114)	(0.0632)
42101.county			-1.875***	1.957***
			(0.456)	(0.253)
42107.county			-4.244***	3.061***
			(0.141)	(0.0785)
42121.county			-5.115***	0.859***
			(0.0296)	(0.0164)
42123.county			-3.735***	1.131***
			(0.0950)	(0.0530)
42125.county			-4.513***	1.569***
			(0.0600)	(0.0333)
42133.county			-3.660***	3.118***
			(0.398)	(0.221)
50003.county			0.246	0.465
			(0.472)	(0.262)
50011.county			-2.033***	2.501***
			(0.369)	(0.205)
50021.county			-4.727***	2.432***
			(0.371)	(0.206)
50023.county			-1.198**	1.539***
			(0.460)	(0.256)
50025.county			-0.886	1.953***
			(0.505)	(0.281)
50027.county			-1.172	0.807*
			(0.726)	(0.404)
Constant	13.53***	4.099***	12.03***	2.808**
	(0.531)	(0.753)	(2.115)	(1.135)
				
Observations	1,824	1,821	1,088	1,086
R-squared	0.491	0.618	0.427	0.660
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
