"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"blk_lf_share","-2.706354","1.125577","-2.404414",".0236174","-1.981911",".8547412","-2.318727",".0276598"
"hisp_lf_share","-3.363817",".8688464","-3.87159",".0006529","-3.283316",".6287025","-5.222367",".0000137"
"blue_share","5.06835","1.418607","3.572765",".0014093","5.77003","1.146354","5.033377",".0000231"
"punemp4",".0042519",".1100097",".03865",".9694647","","","",""
"punemp7",".0203778",".0451944",".4508916",".6558057","","","",""
"punemp13","-.1381341",".0636262","-2.171027",".0392434","-.1429546",".0413528","-3.456951",".0017067"
"confederate",".2535176",".2083748","1.216642",".2346698","","","",""
"_cons",".0019796",".7831917",".0025276",".9980026","-.0801269",".7544767","-.106202",".9161533"
"N","34","","","","34","","",""
"r2",".735829","","","",".7167305","","",""
"df_m","7","","","","4","","",""
"df_r","26","","","","29","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
