	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	var3_ordinaria_cs	var3_ordinaria_cs	var3_ordinaria_cs	var3_ordinaria_cs	var3_ordinaria_cs	var3_ordinaria_cs
						
t15000	-0.627**	-0.856***	-0.352*	-0.736**	-0.832	-0.371*
	(0.276)	(0.306)	(0.199)	(0.274)	(0.278)	(0.184)
pop15000	0.001**	0.001	0.000	0.001	-0.000	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)
pop15000_2	0.000**	0.000	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000**	0.000				
	(0.000)	(0.000)				
pop15000_4		0.000				
		(0.000)				
t15000_int1	-0.001	-0.000	0.000	-0.000	0.004	-0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)
t15000_int2	-0.000*	-0.000	-0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000*	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
north	-0.378	-0.407	-0.368	-1.055	3.064	-0.509
	(0.270)	(0.286)	(0.260)	(0.673)	(0.622)	(0.309)
CE	-0.154	-0.146	-0.140	-0.589	1.838	-0.047
	(0.340)	(0.328)	(0.333)	(1.072)	(0.457)	(0.453)
area	-0.003	-0.002	-0.002	0.001	0.029*	0.001
	(0.002)	(0.002)	(0.002)	(0.004)	(0.003)	(0.003)
alt_max	-0.000	-0.000	-0.000	-0.001	0.003	-0.000
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)
						
Observations	92	92	92	19	9	37
R-squared	0.186	0.201	0.156	0.475	0.964	0.328
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
