"","reg_T_Emp_Rate_Ann__cer","","ivreg_T_Emp_Rate_Ann__cer","","reg_T_Emp_Rate_Obl__cer","","ivreg_T_Emp_Rate_Obl__cer","","reg_T_Emp_Rate_Pay__cer","","ivreg_T_Emp_Rate_Pay__cer",""
"","b","se","b","se","b","se","b","se","b","se","b","se"
"ann_lessDOL_mill_cap","4.3044","2.371779","8.074697","3.53996","","","","","","","",""
"RealAnnualPI_3yrMADifference","-4.818571","1.349525","-4.518657","1.305823","-4.785597","1.32965","-4.561823","1.263061","-4.357971","1.342246","-3.978104","1.308049"
"taxbenefits_cap","13.21466","5.901516","18.2702","6.710725","8.829158","4.946016","9.655537","4.697954","5.337212","4.916244","4.34108","4.712341"
"cont_drchange_emp_rate",".2584976",".0703874",".1941483",".0816667",".2644507",".0649639",".2242044",".0657706",".2966537",".0579126",".2799505",".0565099"
"cont_lchange_emp_rate","-.0349908",".0143411","-.0397543",".0141101","-.03179",".0138726","-.0331238",".0131297","-.0299158",".0136514","-.0300877",".0128525"
"house_price_runup",".0014432",".0039419","-.0019076",".0044722",".0025589",".0035209",".0009436",".0034591",".0032905",".0033435",".0023548",".0032559"
"obl_lessDOL_mill_cap","","","","","6.387829","2.983753","10.19585","3.598511","","","",""
"pay_lessDOL_mill_cap","","","","","","","","","15.04543","6.212783","22.16281","8.621809"
"_cons","-.0012333",".0073964","-.0053698",".0076636","-.0028101",".007436","-.0065652",".0073633","-.0023204",".0071532","-.0050686",".0071645"
"N","50","","50","","50","","50","","50","","50",""
