	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**		86352304.688		0.925**		21,685.327*		0.925**		86.352		0.925**
		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)		(73317152.908)		(0.350)		(8,615.196)		(0.350)		(73.317)		(0.350)
stunemprate		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001		-646,109.850		0.001		-13.609		0.001		-0.646		0.001
		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)		(2005580.870)		(0.012)		(320.428)		(0.012)		(2.006)		(0.012)
stbaabove_p		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005		2908558.593*		0.005		9.988		0.005		2.909*		0.005
		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)		(1293385.745)		(0.006)		(133.248)		(0.006)		(1.293)		(0.006)
ln_stcollage2		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151		16478518.391		-0.151		-494.533		-0.151		16.479		-0.151
		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)		(18914536.607)		(0.093)		(2,262.442)		(0.093)		(18.915)		(0.093)
stcoll2_black_p		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001		-119,234.651		0.001		-19.074		0.001		-0.119		0.001
		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)		(195,286.898)		(0.002)		(60.526)		(0.002)		(0.195)		(0.002)
