	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*	-219,478.630*	-176,079.967*	-0.004**	-0.002*	-40.183	-111.363**	-0.000	-0.002*	-0.219*	-0.176*	-0.004**	-0.002*
	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)	(101,159.337)	(82,534.109)	(0.001)	(0.001)	(29.567)	(40.928)	(0.001)	(0.001)	(0.101)	(0.083)	(0.001)	(0.001)
ln_tuition2		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013		-943,692.046		0.013		133.077		0.013		-0.944		0.013
		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)		(701,741.649)		(0.008)		(291.151)		(0.008)		(0.702)		(0.008)
ln_fteug		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***		34558899.442***		0.644***		-20,257.696		-0.356***		34.559***		0.644***
		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)		(9447435.684)		(0.086)		(10,799.726)		(0.086)		(9.447)		(0.086)
ln_instruct_fte		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***		20747385.602**		0.490***		274.166		0.490***		20.747**		0.490***
		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)		(6942520.170)		(0.116)		(6,125.936)		(0.116)		(6.943)		(0.116)
