	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																								
local_pct	49,753.577	86,493.164	0.002	0.003*	258.736	-186.228	0.004**	0.003*	0.050	0.086	0.002	0.003*	49,753.577	86,493.164	0.002	0.003*	258.736	-186.228	0.004**	0.003*	0.050	0.086	0.002	0.003*
	(76,641.959)	(74,010.964)	(0.001)	(0.001)	(222.245)	(199.700)	(0.001)	(0.001)	(0.077)	(0.074)	(0.001)	(0.001)	(76,641.959)	(74,010.964)	(0.001)	(0.001)	(222.245)	(199.700)	(0.001)	(0.001)	(0.077)	(0.074)	(0.001)	(0.001)
ln_tuition2		-359,204.877		0.024***		2,728.933		0.024***		-0.359		0.024***		-359,204.877		0.024***		2,728.933		0.024***		-0.359		0.024***
		(674,589.731)		(0.007)		(4,119.923)		(0.007)		(0.675)		(0.007)		(674,589.731)		(0.007)		(4,119.923)		(0.007)		(0.675)		(0.007)
ln_fteug		34077524.608**		0.505***		-245,499.181		-0.495***		34.078**		0.505***		34077524.608**		0.505***		-245,499.181		-0.495***		34.078**		0.505***
		(10744861.450)		(0.074)		(184,090.709)		(0.074)		(10.745)		(0.074)		(10744861.450)		(0.074)		(184,090.709)		(0.074)		(10.745)		(0.074)
ln_instruct_fte		22681030.707**		0.401***		-150,627.440		0.401***		22.681**		0.401***		22681030.707**		0.401***		-150,627.440		0.401***		22.681**		0.401***
		(6897509.744)		(0.072)		(126,084.580)		(0.072)		(6.898)		(0.072)		(6897509.744)		(0.072)		(126,084.580)		(0.072)		(6.898)		(0.072)
ln_stinccap		15189606.189		0.357***		75,483.112		0.357***		15.190		0.357***		15189606.189		0.357***		75,483.112		0.357***		15.190		0.357***
		(11094330.994)		(0.097)		(59,695.187)		(0.097)		(11.094)		(0.097)		(11094330.994)		(0.097)		(59,695.187)		(0.097)		(11.094)		(0.097)
stunemprate		136,787.984		0.001		-752.605		0.001		0.137		0.001		136,787.984		0.001		-752.605		0.001		0.137		0.001
		(288,263.242)		(0.003)		(954.374)		(0.003)		(0.288)		(0.003)		(288,263.242)		(0.003)		(954.374)		(0.003)		(0.288)		(0.003)
stbaabove_p		354,007.703		-0.001		-219.125		-0.001		0.354		-0.001		354,007.703		-0.001		-219.125		-0.001		0.354		-0.001
		(196,903.583)		(0.002)		(576.673)		(0.002)		(0.197)		(0.002)		(196,903.583)		(0.002)		(576.673)		(0.002)		(0.197)		(0.002)
ln_stcollage2		5338872.811*		-0.019		13,867.187		-0.019		5.339*		-0.019		5338872.811*		-0.019		13,867.187		-0.019		5.339*		-0.019
		(2391866.210)		(0.018)		(13,117.506)		(0.018)		(2.392)		(0.018)		(2391866.210)		(0.018)		(13,117.506)		(0.018)		(2.392)		(0.018)
