	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191		5723610.814		0.191		6,322.635		0.191		5.724		0.191
		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)		(6540923.823)		(0.187)		(3,565.521)		(0.187)		(6.541)		(0.187)
stunemprate		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012		958.981		0.012		375.124		0.012		0.001		0.012
		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)		(595,960.539)		(0.017)		(315.863)		(0.017)		(0.596)		(0.017)
stbaabove_p		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005		-91,488.097		-0.005		12.834		-0.005		-0.091		-0.005
		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)		(249,407.772)		(0.008)		(165.114)		(0.008)		(0.249)		(0.008)
ln_stcollage2		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034		820,254.341		0.034		1,788.340		0.034		0.820		0.034
		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)		(3345620.882)		(0.133)		(2,270.275)		(0.133)		(3.346)		(0.133)
stcoll2_black_p		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002		24,145.237		-0.002		-30.197		-0.002		0.024		-0.002
		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)		(77,941.241)		(0.004)		(71.133)		(0.004)		(0.078)		(0.004)
