	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*		1.166e+08***		0.551*		26,952.453		0.551*		116.599***		0.551*
		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)		(34268623.710)		(0.244)		(18,924.526)		(0.244)		(34.269)		(0.244)
stunemprate		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008		1562354.092		-0.008		-1,309.884		-0.008		1.562		-0.008
		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)		(1081658.792)		(0.009)		(1,005.151)		(0.009)		(1.082)		(0.009)
stbaabove_p		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*		1828570.013*		0.010*		87.596		0.010*		1.829*		0.010*
		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)		(859,648.626)		(0.004)		(305.574)		(0.004)		(0.860)		(0.004)
ln_stcollage2		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**		-1.304e+07		-0.236**		-5,894.305		-0.236**		-13.042		-0.236**
		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)		(7804042.539)		(0.085)		(4,335.644)		(0.085)		(7.804)		(0.085)
stcoll2_black_p		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**		211,764.216		0.005**		342.384		0.005**		0.212		0.005**
		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)		(175,289.873)		(0.002)		(246.908)		(0.002)		(0.175)		(0.002)
