	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***		17257865.852		0.644***		35,995.541*		0.644***		17.258		0.644***
		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)		(12288515.572)		(0.121)		(15,280.112)		(0.121)		(12.289)		(0.121)
stunemprate		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002		-57,508.842		0.002		-82.262		0.002		-0.058		0.002
		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)		(525,783.864)		(0.004)		(315.204)		(0.004)		(0.526)		(0.004)
stbaabove_p		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001		209,728.037		0.001		-636.002		0.001		0.210		0.001
		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)		(195,121.114)		(0.002)		(695.586)		(0.002)		(0.195)		(0.002)
ln_stcollage2		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010		5554379.365		-0.010		1,699.993		-0.010		5.554		-0.010
		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)		(3920004.721)		(0.024)		(3,468.250)		(0.024)		(3.920)		(0.024)
stcoll2_black_p		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000		-89,488.389		0.000		12.799		0.000		-0.089		0.000
		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)		(46,642.409)		(0.001)		(58.249)		(0.001)		(0.047)		(0.001)
