	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**	183,229.474	181,850.611	0.005*	0.005**	467.508	-48.625	0.005**	0.005**	0.183	0.182	0.005*	0.005**
	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)	(122,503.215)	(117,328.653)	(0.002)	(0.002)	(402.172)	(398.714)	(0.002)	(0.002)	(0.123)	(0.117)	(0.002)	(0.002)
ln_tuition2		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**		-1679151.440		0.018**		7,111.585		0.018**		-1.679		0.018**
		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)		(882,216.528)		(0.006)		(10,214.350)		(0.006)		(0.882)		(0.006)
ln_fteug		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***		33373724.112***		0.455***		-493,566.027		-0.545***		33.374***		0.455***
		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)		(9857743.839)		(0.109)		(342,998.837)		(0.109)		(9.858)		(0.109)
ln_instruct_fte		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***		23465814.058**		0.319***		-332,605.787		0.319***		23.466**		0.319***
		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)		(7480677.185)		(0.078)		(242,770.316)		(0.078)		(7.481)		(0.078)
