	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001	21,860.716	-354,620.121	0.001	-0.001	-71.622*	-11.729	-0.006**	-0.001	0.022	-0.355	0.001	-0.001
	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)	(666,942.996)	(490,694.384)	(0.002)	(0.001)	(27.990)	(27.739)	(0.002)	(0.001)	(0.667)	(0.491)	(0.002)	(0.001)
ln_tuition2		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039		-5463135.521		0.039		497.063		0.039		-5.463		0.039
		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)		(37061454.302)		(0.075)		(1,243.349)		(0.075)		(37.061)		(0.075)
ln_fteug		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***		85109535.825***		0.452***		-7,962.566*		-0.548***		85.110***		0.452***
		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)		(19305820.033)		(0.105)		(3,059.310)		(0.105)		(19.306)		(0.105)
ln_instruct_fte		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**		34838852.421		0.308**		3,985.006		0.308**		34.839		0.308**
		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)		(18333686.640)		(0.096)		(2,396.616)		(0.096)		(18.334)		(0.096)
