	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***		1747420.006		0.515***		31,482.987*		0.515***		1.747		0.515***
		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)		(13321707.933)		(0.116)		(13,206.463)		(0.116)		(13.322)		(0.116)
stunemprate		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003		100,030.460		0.003		384.637		0.003		0.100		0.003
		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)		(243,475.121)		(0.003)		(225.864)		(0.003)		(0.243)		(0.003)
stbaabove_p		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003		-144,699.874		-0.003		-726.192		-0.003		-0.145		-0.003
		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)		(297,812.758)		(0.002)		(678.115)		(0.002)		(0.298)		(0.002)
ln_stcollage2		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**		-3825209.169*		-0.062**		-937.538		-0.062**		-3.825*		-0.062**
		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)		(1690357.530)		(0.022)		(2,076.645)		(0.022)		(1.690)		(0.022)
stcoll2_black_p		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000		-14,186.955		-0.000		-3.734		-0.000		-0.014		-0.000
		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)		(32,955.591)		(0.000)		(45.105)		(0.000)		(0.033)		(0.000)
stcoll2_hisp_p		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001		129,143.313		0.001		15.015		0.001		0.129		0.001
		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)		(76,973.357)		(0.001)		(38.865)		(0.001)		(0.077)		(0.001)
stcoll2_amind_p		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000		-5,773.776		0.000		15.441		0.000		-0.006		0.000
		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)		(8,963.745)		(0.000)		(11.804)		(0.000)		(0.009)		(0.000)
