	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001	-116,044.030	7,685.903	-0.002	-0.001	-9.505	-63.177	-0.002	-0.001	-0.116	0.008	-0.002	-0.001
	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)	(204,078.774)	(156,757.826)	(0.002)	(0.001)	(28.468)	(101.924)	(0.001)	(0.001)	(0.204)	(0.157)	(0.002)	(0.001)
ln_tuition2		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008		-902,995.238		-0.008		-2,183.846		-0.008		-0.903		-0.008
		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)		(3808699.597)		(0.027)		(2,962.910)		(0.027)		(3.809)		(0.027)
ln_fteug		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**		38327757.653**		0.456**		-56,281.114		-0.544***		38.328**		0.456**
		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)		(13788037.891)		(0.140)		(35,570.391)		(0.140)		(13.788)		(0.140)
ln_instruct_fte		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***		27181172.090*		0.360***		-22,903.011		0.360***		27.181*		0.360***
		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)		(10622281.650)		(0.100)		(23,682.366)		(0.100)		(10.622)		(0.100)
