	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
ln_stinccap		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212		35783632.552		0.212		7,535.516		0.212		35.784		0.212
		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)		(18031907.434)		(0.312)		(6,001.445)		(0.312)		(18.032)		(0.312)
stunemprate		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010		902,828.112		0.010		229.789		0.010		0.903		0.010
		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)		(928,455.825)		(0.009)		(173.635)		(0.009)		(0.928)		(0.009)
stbaabove_p		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001		209,204.899		0.001		96.200		0.001		0.209		0.001
		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)		(523,187.198)		(0.005)		(99.427)		(0.005)		(0.523)		(0.005)
ln_stcollage2		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117		-9136536.345*		-0.117		-2,036.682*		-0.117		-9.137*		-0.117
		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)		(3673724.531)		(0.063)		(957.383)		(0.063)		(3.674)		(0.063)
stcoll2_black_p		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008		677,640.316*		0.008		159.625*		0.008		0.678*		0.008
		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)		(277,046.848)		(0.004)		(63.878)		(0.004)		(0.277)		(0.004)
