"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_U_urXyea_4_1971",".8888877","1.290424",".6888341",".4909805",".3571339",".62624",".5702829",".5685282","1.521836",".5981575","2.544207",".0110019"
"_U_urXyea_4_1972",".0607026","1.495607",".0405873",".9676276","-.2910851",".5654988","-.5147404",".606772",".9328359",".5073591","1.838611",".0660704"
"_U_urXyea_4_1973","1.438546","2.088569",".6887712",".4910201",".0521474",".5173292",".1008012",".9197149","1.3241",".4983733","2.656844",".007929"
"_U_urXyea_4_1974",".4849539","1.38009",".3513929",".7253181",".0213498",".3549372",".060151",".9520394","1.336347",".3553313","3.760849",".0001725"
"_U_urXyea_4_1975","-.3299237","1.138429","-.2898061",".7719844","-.0965844",".3387078","-.2851555",".7755446","1.257459",".2944679","4.270276",".0000201"
"_U_urXyea_4_1976","-.3414299",".9963427","-.3426832",".7318606","-.4467374",".2951079","-1.51381",".1301784",".9215025",".2708017","3.402868",".0006755"
"_U_urXyea_4_1977","-1.361633",".8870907","-1.534942",".1249026","-.8894103",".3677797","-2.418323",".0156509",".5161597",".302142","1.708335",".0876767"
"_U_urXyea_4_1978","-1.000864",".9270633","-1.079607",".2804032","-.5891388",".4033783","-1.460512",".1442532",".8301647",".3181068","2.609704",".0091067"
"_U_urXyea_4_1979","-.4627677",".9544436","-.484856",".6278136",".1551358",".4542606",".3415128",".7327413","1.642577",".3643861","4.507792","6.80e-06"
"_U_urXyea_4_1980","-1.405294",".991252","-1.417696",".1563825","-.2048894",".2373389","-.8632779",".3880531","1.349199",".2822899","4.779481","1.84e-06"
"_U_urXyea_4_1981","-.7313931",".9041598","-.8089201",".4186247","-.6160533",".2913801","-2.11426",".0345746","1.007652",".2719966","3.704649",".0002155"
"_U_urXyea_4_1982","-.996479",".6532551","-1.525406",".1272625","-.6532314",".3039767","-2.148952",".0317173","1.042275",".288868","3.608135",".0003134"
"_U_urXyea_4_1983",".0447143",".7472239",".0598406",".9522865","-.2500555",".3344015","-.7477702",".4546569","1.517252",".319873","4.743294","2.20e-06"
"_U_urXyea_4_1984","-1.492543",".6482631","-2.302372",".0213817","-.8574882",".3668758","-2.337271",".01949",".9816197",".3165824","3.100677",".0019486"
"_U_urXyea_4_1985","-.9654702",".6760912","-1.428018",".15339","-.6302275",".4022161","-1.566888",".1172455","1.280681",".3831868","3.342185",".0008413"
"_U_urXyea_4_1986","-1.051886",".6088098","-1.727775",".0841307","-.8158742",".3662223","-2.227811",".0259664","1.166835",".3531486","3.304092",".0009639"
"_U_urXyea_4_1987","-.8003149",".6873568","-1.164337",".2443793","-.4870299",".2791559","-1.744652",".081147","1.567481",".3488208","4.493656","7.26e-06"
"_U_urXyea_4_1988","-2.083586",".948332","-2.197106",".0280884","-.9760509",".365706","-2.66895",".0076495","1.150261",".3356622","3.426839",".0006188"
"_Ojoint_1",".9534062",".3309264","2.881022",".0039918",".7758419",".2495077","3.109491",".0018915","1.308737",".3437721","3.806991",".0001435"
"_Ojoint_2","-.0291429",".3367431","-.0865435",".9310401",".1781989",".1613865","1.104175",".2696052",".259564",".1708114","1.519594",".1287175"
"_Ojoint_4",".9900109",".6321625","1.56607",".1174367",".4041741",".2231947","1.810859",".0702618",".3987976",".2216299","1.799385",".0720574"
"_Ojoint_5","1.940745","1.016905","1.908483",".0564234","1.018116",".3964457","2.56811",".010273","1.048425",".3911354","2.680466",".0073918"
"_Ojoint_6","1.888618",".6707119","2.815841",".0048965","1.16199",".2968838","3.913955",".0000928","1.285951",".2889246","4.450819","8.86e-06"
"_Ojoint_7","1.077586",".4080859","2.640586",".0083188",".6977822",".2696934","2.587317",".0097189","1.048242",".2592675","4.043089",".0000541"
"_SstfXyea_4_1961","","","","",".5720735",".3337632","1.71401",".0866292",".6919112",".4028335","1.717611",".0859699"
